version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,United Arab Emirates
info,gender,female
info,season,2023
info,date,2023/06/14
info,event,Asian Cricket Council Women's Emerging Teams Cup
info,match_number,6
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,United Arab Emirates
info,toss_decision,field
info,player_of_match,Vaishnave Mahesh
info,umpire,LDVV Silva
info,umpire,N Perera
info,reserve_umpire,Shathira Jakir
info,tv_umpire,Humaira Farah
info,match_referee,JM Pereira
info,winner,United Arab Emirates
info,winner_wickets,5
info,player,Malaysia,Wan Julia
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,Mas Elysa
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,Nur Arianna Natsya
info,player,Malaysia,Aina Najwa
info,player,Malaysia,Yusrina Yaakop
info,player,Malaysia,Christina Baret
info,player,Malaysia,Aisya Eleesa
info,player,Malaysia,Nur Dania Syuhada
info,player,Malaysia,Nik Nur Atiela
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Chaya Mughal
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,AS Patil
info,player,United Arab Emirates,I Nandakumar
info,player,United Arab Emirates,J Peter
info,registry,people,AS Patil,ca707bdc
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Aisya Eleesa,2cd18a73
info,registry,people,Chaya Mughal,77b26349
info,registry,people,Christina Baret,b42d42b1
info,registry,people,ER Oza,fdc6b34d
info,registry,people,Humaira Farah,6b6d6623
info,registry,people,I Nandakumar,9f87d0f0
info,registry,people,J Peter,ce1e39da
info,registry,people,JM Pereira,f9a4a039
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,LDVV Silva,6e226c31
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,Mas Elysa,857de42e
info,registry,people,N Perera,129709f9
info,registry,people,Nik Nur Atiela,cfdfe39c
info,registry,people,Nur Arianna Natsya,4db4c8be
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,Vaishnave Mahesh,31c56f40
info,registry,people,Wan Julia,bee0c85c
info,registry,people,Yusrina Yaakop,c74d14f1
ball,1,0.1,Malaysia,Wan Julia,Ainna Hamizah Hashim,Vaishnave Mahesh,1,0,,,,,,"",""
ball,1,0.2,Malaysia,Ainna Hamizah Hashim,Wan Julia,Vaishnave Mahesh,0,0,,,,,,stumped,Ainna Hamizah Hashim
ball,1,0.3,Malaysia,Mas Elysa,Wan Julia,Vaishnave Mahesh,4,0,,,,,,"",""
ball,1,0.4,Malaysia,Mas Elysa,Wan Julia,Vaishnave Mahesh,0,0,,,,,,"",""
ball,1,0.5,Malaysia,Mas Elysa,Wan Julia,Vaishnave Mahesh,0,1,,,1,,,"",""
ball,1,0.6,Malaysia,Wan Julia,Mas Elysa,Vaishnave Mahesh,0,0,,,,,,stumped,Wan Julia
ball,1,1.1,Malaysia,Mas Elysa,Mahirah Izzati Ismail,Chaya Mughal,1,1,,1,,,,"",""
ball,1,1.2,Malaysia,Mahirah Izzati Ismail,Mas Elysa,Chaya Mughal,1,0,,,,,,"",""
ball,1,1.3,Malaysia,Mas Elysa,Mahirah Izzati Ismail,Chaya Mughal,2,0,,,,,,"",""
ball,1,1.4,Malaysia,Mas Elysa,Mahirah Izzati Ismail,Chaya Mughal,0,0,,,,,,"",""
ball,1,1.5,Malaysia,Mas Elysa,Mahirah Izzati Ismail,Chaya Mughal,0,2,2,,,,,"",""
ball,1,1.6,Malaysia,Mahirah Izzati Ismail,Mas Elysa,Chaya Mughal,0,0,,,,,,"",""
ball,1,1.7,Malaysia,Mahirah Izzati Ismail,Mas Elysa,Chaya Mughal,1,0,,,,,,"",""
ball,1,1.8,Malaysia,Mas Elysa,Mahirah Izzati Ismail,Chaya Mughal,0,1,1,,,,,"",""
ball,1,1.9,Malaysia,Mas Elysa,Mahirah Izzati Ismail,Chaya Mughal,1,0,,,,,,"",""
ball,1,2.1,Malaysia,Mas Elysa,Mahirah Izzati Ismail,KKN Egodage,0,0,,,,,,bowled,Mas Elysa
ball,1,2.2,Malaysia,Nur Arianna Natsya,Mahirah Izzati Ismail,KKN Egodage,0,0,,,,,,"",""
ball,1,2.3,Malaysia,Nur Arianna Natsya,Mahirah Izzati Ismail,KKN Egodage,0,0,,,,,,"",""
ball,1,2.4,Malaysia,Nur Arianna Natsya,Mahirah Izzati Ismail,KKN Egodage,1,0,,,,,,"",""
ball,1,2.5,Malaysia,Mahirah Izzati Ismail,Nur Arianna Natsya,KKN Egodage,0,0,,,,,,"",""
ball,1,2.6,Malaysia,Mahirah Izzati Ismail,Nur Arianna Natsya,KKN Egodage,0,1,1,,,,,"",""
ball,1,2.7,Malaysia,Mahirah Izzati Ismail,Nur Arianna Natsya,KKN Egodage,0,1,1,,,,,"",""
