version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Hong Kong
info,gender,male
info,season,2024
info,date,2024/08/23
info,event,Malaysia Tri-Nation T20I Series
info,match_number,3
info,venue,"Selangor Turf Club, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Hong Kong
info,toss_decision,field
info,player_of_match,Yasim Murtaza
info,umpire,John Prakash
info,umpire,N Sivan
info,reserve_umpire,Mudassar Rasool
info,match_referee,R Madhavan
info,winner,Hong Kong
info,winner_wickets,6
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Rajkumar Rajendran
info,player,Malaysia,S Muniandy
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,Ahmed Aqeel
info,player,Malaysia,M Syahadat Ramli
info,player,Malaysia,Khizar Hayat
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,Rizwan Haider
info,player,Malaysia,Pavandeep Singh
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Anas Khan
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Ateeq Iqbal
info,player,Hong Kong,A Mehmood
info,registry,people,A Mehmood,7cefb2a2
info,registry,people,Ahmed Aqeel,92f0e10e
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Anas Khan,66a7f213
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Ateeq Iqbal,29b322c7
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,John Prakash,b5f3d429
info,registry,people,Khizar Hayat,78bbeba1
info,registry,people,M Coetzee,3f149080
info,registry,people,M Syahadat Ramli,5efa8af3
info,registry,people,Mudassar Rasool,d5bf4c14
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,N Sivan,8f4a0102
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,R Madhavan,d0cff8fd
info,registry,people,Rajkumar Rajendran,33ef1bd5
info,registry,people,Rizwan Haider,dc60abdc
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,Syed Aziz,6667067e
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zeeshan Ali,987187b9
ball,1,0.1,Malaysia,Syed Aziz,Rajkumar Rajendran,A Mehmood,0,0,,,,,,"",""
ball,1,0.2,Malaysia,Syed Aziz,Rajkumar Rajendran,A Mehmood,0,0,,,,,,"",""
ball,1,0.3,Malaysia,Syed Aziz,Rajkumar Rajendran,A Mehmood,2,0,,,,,,"",""
ball,1,0.4,Malaysia,Syed Aziz,Rajkumar Rajendran,A Mehmood,1,0,,,,,,"",""
ball,1,0.5,Malaysia,Rajkumar Rajendran,Syed Aziz,A Mehmood,0,0,,,,,,"",""
ball,1,0.6,Malaysia,Rajkumar Rajendran,Syed Aziz,A Mehmood,0,0,,,,,,"",""
ball,1,1.1,Malaysia,Syed Aziz,Rajkumar Rajendran,Ateeq Iqbal,1,0,,,,,,"",""
ball,1,1.2,Malaysia,Rajkumar Rajendran,Syed Aziz,Ateeq Iqbal,0,1,1,,,,,"",""
ball,1,1.3,Malaysia,Rajkumar Rajendran,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.4,Malaysia,Rajkumar Rajendran,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.5,Malaysia,Rajkumar Rajendran,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.6,Malaysia,Rajkumar Rajendran,Syed Aziz,Ateeq Iqbal,1,0,,,,,,"",""
ball,1,1.7,Malaysia,Syed Aziz,Rajkumar Rajendran,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,2.1,Malaysia,Rajkumar Rajendran,Syed Aziz,A Mehmood,1,0,,,,,,"",""
ball,1,2.2,Malaysia,Syed Aziz,Rajkumar Rajendran,A Mehmood,6,0,,,,,,"",""
ball,1,2.3,Malaysia,Syed Aziz,Rajkumar Rajendran,A Mehmood,0,0,,,,,,"",""
ball,1,2.4,Malaysia,Syed Aziz,Rajkumar Rajendran,A Mehmood,4,0,,,,,,"",""
ball,1,2.5,Malaysia,Syed Aziz,Rajkumar Rajendran,A Mehmood,4,0,,,,,,"",""
ball,1,2.6,Malaysia,Syed Aziz,Rajkumar Rajendran,A Mehmood,1,0,,,,,,"",""
ball,1,3.1,Malaysia,Syed Aziz,Rajkumar Rajendran,Ateeq Iqbal,4,0,,,,,,"",""
ball,1,3.2,Malaysia,Syed Aziz,Rajkumar Rajendran,Ateeq Iqbal,2,0,,,,,,"",""
ball,1,3.3,Malaysia,Syed Aziz,Rajkumar Rajendran,Ateeq Iqbal,1,0,,,,,,"",""
