version,1.7.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Sri Lanka
info,gender,male
info,season,2025
info,date,2025/09/03
info,event,Sri Lanka tour of Zimbabwe
info,match_number,1
info,venue,Harare Sports Club
info,city,Harare
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,PHKD Mendis
info,umpire,F Mutizwa
info,umpire,P Sizara
info,reserve_umpire,I Chabi
info,tv_umpire,L Rusere
info,match_referee,JJ Crowe
info,winner,Sri Lanka
info,winner_wickets,4
info,player,Zimbabwe,BJ Bennett
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,T Musekiwa
info,player,Zimbabwe,T Munyonga
info,player,Zimbabwe,B Evans
info,player,Zimbabwe,TT Maposa
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,B Muzarabani
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,MDKJ Perera
info,player,Sri Lanka,MNK Fernando
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,PHKD Mendis
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,MADI Hemantha
info,player,Sri Lanka,PVD Chameera
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,N Thushara
info,registry,people,B Evans,e7e86505
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,BJ Bennett,eaa36b2a
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,I Chabi,5e39110e
info,registry,people,JJ Crowe,2e760301
info,registry,people,KIC Asalanka,732c038e
info,registry,people,L Rusere,6a4734ae
info,registry,people,M Theekshana,f24c6701
info,registry,people,MADI Hemantha,58431ca0
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,MDKJ Perera,f21043a5
info,registry,people,MNK Fernando,ba603555
info,registry,people,N Thushara,ee1b6c27
info,registry,people,P Nissanka,8ee36b18
info,registry,people,P Sizara,5d45bb7f
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PVD Chameera,327b58d3
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,SC Williams,afe57f7a
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Marumani,3d5d51a5
info,registry,people,T Munyonga,fbcfa528
info,registry,people,T Musekiwa,06fc82b8
info,registry,people,TT Maposa,5feead83
ball,1,0.1,Zimbabwe,BJ Bennett,T Marumani,N Thushara,4,0,,,,,,"",""
ball,1,0.2,Zimbabwe,BJ Bennett,T Marumani,N Thushara,4,0,,,,,,"",""
ball,1,0.3,Zimbabwe,BJ Bennett,T Marumani,N Thushara,0,0,,,,,,"",""
ball,1,0.4,Zimbabwe,BJ Bennett,T Marumani,N Thushara,0,0,,,,,,"",""
ball,1,0.5,Zimbabwe,BJ Bennett,T Marumani,N Thushara,0,0,,,,,,"",""
ball,1,0.6,Zimbabwe,BJ Bennett,T Marumani,N Thushara,1,0,,,,,,"",""
ball,1,1.1,Zimbabwe,BJ Bennett,T Marumani,M Theekshana,1,0,,,,,,"",""
ball,1,1.2,Zimbabwe,T Marumani,BJ Bennett,M Theekshana,0,5,5,,,,,"",""
ball,1,1.3,Zimbabwe,T Marumani,BJ Bennett,M Theekshana,0,0,,,,,,"",""
ball,1,1.4,Zimbabwe,T Marumani,BJ Bennett,M Theekshana,4,0,,,,,,"",""
ball,1,1.5,Zimbabwe,T Marumani,BJ Bennett,M Theekshana,2,0,,,,,,"",""
ball,1,1.6,Zimbabwe,T Marumani,BJ Bennett,M Theekshana,0,0,,,,,,"",""
ball,1,1.7,Zimbabwe,T Marumani,BJ Bennett,M Theekshana,1,0,,,,,,"",""
ball,1,2.1,Zimbabwe,T Marumani,BJ Bennett,PVD Chameera,0,0,,,,,,"",""
ball,1,2.2,Zimbabwe,T Marumani,BJ Bennett,PVD Chameera,0,0,,,,,,caught,T Marumani
ball,1,2.3,Zimbabwe,SC Williams,BJ Bennett,PVD Chameera,4,0,,,,,,"",""
ball,1,2.4,Zimbabwe,SC Williams,BJ Bennett,PVD Chameera,2,0,,,,,,"",""
ball,1,2.5,Zimbabwe,SC Williams,BJ Bennett,PVD Chameera,0,0,,,,,,"",""
ball,1,2.6,Zimbabwe,SC Williams,BJ Bennett,PVD Chameera,0,0,,,,,,"",""
ball,1,3.1,Zimbabwe,BJ Bennett,SC Williams,N Thushara,1,0,,,,,,"",""
ball,1,3.2,Zimbabwe,SC Williams,BJ Bennett,N Thushara,1,0,,,,,,"",""
ball,1,3.3,Zimbabwe,BJ Bennett,SC Williams,N Thushara,1,0,,,,,,"",""
ball,1,3.4,Zimbabwe,SC Williams,BJ Bennett,N Thushara,1,0,,,,,,"",""
ball,1,3.5,Zimbabwe,BJ Bennett,SC Williams,N Thushara,4,0,,,,,,"",""
ball,1,3.6,Zimbabwe,BJ Bennett,SC Williams,N Thushara,4,0,,,,,,"",""
ball,1,4.1,Zimbabwe,SC Williams,BJ Bennett,PVD Chameera,1,0,,,,,,"",""
ball,1,4.2,Zimbabwe,BJ Bennett,SC Williams,PVD Chameera,4,0,,,,,,"",""
ball,1,4.3,Zimbabwe,BJ Bennett,SC Williams,PVD Chameera,4,0,,,,,,"",""
ball,1,4.4,Zimbabwe,BJ Bennett,SC Williams,PVD Chameera,1,0,,,,,,"",""
ball,1,4.5,Zimbabwe,SC Williams,BJ Bennett,PVD Chameera,1,0,,,,,,"",""
ball,1,4.6,Zimbabwe,BJ Bennett,SC Williams,PVD Chameera,1,0,,,,,,"",""
