version,1.7.0
info,balls_per_over,6
info,team,Mongolia
info,team,China
info,gender,female
info,season,2024/25
info,date,2024/11/07
info,event,Women's T20I Quadrangular Series (in China)
info,match_number,2
info,venue,Zhejiang University of Technology Cricket Field
info,city,Hangzhou
info,toss_winner,Mongolia
info,toss_decision,bat
info,player_of_match,Wang Huiying
info,umpire,Aye Min Than
info,umpire,John Prakash
info,reserve_umpire,Huang Zhuo
info,tv_umpire,Sun Meng Yao
info,match_referee,G Sankaranarayanan
info,winner,China
info,winner_wickets,8
info,player,Mongolia,G Anujin
info,player,Mongolia,J Tugsjargal
info,player,Mongolia,B Ichinkhorloo
info,player,Mongolia,O Erdenebaatar
info,player,Mongolia,T Ariuntsetseg
info,player,Mongolia,B Namuunzul
info,player,Mongolia,U Bayarjavkhlan
info,player,Mongolia,M Batnasan
info,player,Mongolia,G Urjindulam
info,player,Mongolia,M Enkhzul
info,player,Mongolia,O Amarjargal
info,player,China,Jing Yang
info,player,China,Zi Mei
info,player,China,Cai Yuzhi
info,player,China,Mengting Liu
info,player,China,Ma Ruike
info,player,China,Xu Qian
info,player,China,M Zhu
info,player,China,Wang Huiying
info,player,China,Yan Zuying
info,player,China,Yang Shen
info,player,China,Jiaping Li
info,registry,people,Aye Min Than,37f3bba0
info,registry,people,B Ichinkhorloo,3cc55f88
info,registry,people,B Namuunzul,e14e70c0
info,registry,people,Cai Yuzhi,80d30c5f
info,registry,people,G Anujin,e749f016
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,G Urjindulam,a51e7c73
info,registry,people,Huang Zhuo,edbbe245
info,registry,people,J Tugsjargal,e7af8a61
info,registry,people,Jiaping Li,35cac794
info,registry,people,Jing Yang,03f1a623
info,registry,people,John Prakash,b5f3d429
info,registry,people,M Batnasan,0e01e881
info,registry,people,M Enkhzul,5f45a88b
info,registry,people,M Zhu,36c3302e
info,registry,people,Ma Ruike,8ccef7e2
info,registry,people,Mengting Liu,1119a645
info,registry,people,O Amarjargal,c054cf6f
info,registry,people,O Erdenebaatar,f40bc7e3
info,registry,people,Sun Meng Yao,84a96566
info,registry,people,T Ariuntsetseg,2f8c4e6e
info,registry,people,U Bayarjavkhlan,92c81a4f
info,registry,people,Wang Huiying,c84a3e06
info,registry,people,Xu Qian,4d382b64
info,registry,people,Yan Zuying,0311d9ec
info,registry,people,Yang Shen,eae39ba0
info,registry,people,Zi Mei,72070f05
ball,1,0.1,Mongolia,G Anujin,J Tugsjargal,Xu Qian,0,0,,,,,,"",""
ball,1,0.2,Mongolia,G Anujin,J Tugsjargal,Xu Qian,0,0,,,,,,"",""
ball,1,0.3,Mongolia,G Anujin,J Tugsjargal,Xu Qian,0,0,,,,,,"",""
ball,1,0.4,Mongolia,G Anujin,J Tugsjargal,Xu Qian,2,0,,,,,,"",""
ball,1,0.5,Mongolia,G Anujin,J Tugsjargal,Xu Qian,0,0,,,,,,"",""
ball,1,0.6,Mongolia,G Anujin,J Tugsjargal,Xu Qian,0,1,,,1,,,"",""
ball,1,1.1,Mongolia,G Anujin,J Tugsjargal,Mengting Liu,1,0,,,,,,"",""
ball,1,1.2,Mongolia,J Tugsjargal,G Anujin,Mengting Liu,1,0,,,,,,"",""
ball,1,1.3,Mongolia,G Anujin,J Tugsjargal,Mengting Liu,0,3,3,,,,,"",""
ball,1,1.4,Mongolia,G Anujin,J Tugsjargal,Mengting Liu,0,0,,,,,,"",""
ball,1,1.5,Mongolia,G Anujin,J Tugsjargal,Mengting Liu,0,0,,,,,,"",""
ball,1,1.6,Mongolia,G Anujin,J Tugsjargal,Mengting Liu,0,0,,,,,,"",""
ball,1,1.7,Mongolia,G Anujin,J Tugsjargal,Mengting Liu,0,0,,,,,,"",""
ball,1,2.1,Mongolia,J Tugsjargal,G Anujin,Xu Qian,0,0,,,,,,"",""
ball,1,2.2,Mongolia,J Tugsjargal,G Anujin,Xu Qian,0,0,,,,,,"",""
ball,1,2.3,Mongolia,J Tugsjargal,G Anujin,Xu Qian,0,0,,,,,,"",""
ball,1,2.4,Mongolia,J Tugsjargal,G Anujin,Xu Qian,0,0,,,,,,"",""
ball,1,2.5,Mongolia,J Tugsjargal,G Anujin,Xu Qian,0,0,,,,,,"",""
ball,1,2.6,Mongolia,J Tugsjargal,G Anujin,Xu Qian,0,0,,,,,,"",""
ball,1,3.1,Mongolia,G Anujin,J Tugsjargal,Wang Huiying,0,1,1,,,,,"",""
ball,1,3.2,Mongolia,G Anujin,J Tugsjargal,Wang Huiying,0,0,,,,,,"",""
ball,1,3.3,Mongolia,G Anujin,J Tugsjargal,Wang Huiying,0,0,,,,,,bowled,G Anujin
ball,1,3.4,Mongolia,B Ichinkhorloo,J Tugsjargal,Wang Huiying,1,0,,,,,,"",""
ball,1,3.5,Mongolia,J Tugsjargal,B Ichinkhorloo,Wang Huiying,0,0,,,,,,"",""
ball,1,3.6,Mongolia,J Tugsjargal,B Ichinkhorloo,Wang Huiying,4,0,,,,,,"",""
ball,1,3.7,Mongolia,J Tugsjargal,B Ichinkhorloo,Wang Huiying,0,0,,,,,,lbw,J Tugsjargal
ball,1,4.1,Mongolia,B Ichinkhorloo,O Erdenebaatar,Ma Ruike,0,0,,,,,,"",""
ball,1,4.2,Mongolia,B Ichinkhorloo,O Erdenebaatar,Ma Ruike,0,0,,,,,,"",""
ball,1,4.3,Mongolia,B Ichinkhorloo,O Erdenebaatar,Ma Ruike,0,0,,,,,,"",""
ball,1,4.4,Mongolia,B Ichinkhorloo,O Erdenebaatar,Ma Ruike,0,0,,,,,,"",""
ball,1,4.5,Mongolia,B Ichinkhorloo,O Erdenebaatar,Ma Ruike,0,1,1,,,,,"",""
ball,1,4.6,Mongolia,B Ichinkhorloo,O Erdenebaatar,Ma Ruike,0,0,,,,,,"",""
ball,1,4.7,Mongolia,B Ichinkhorloo,O Erdenebaatar,Ma Ruike,0,0,,,,,,"",""
ball,1,5.1,Mongolia,O Erdenebaatar,B Ichinkhorloo,Yang Shen,0,0,,,,,,run out,B Ichinkhorloo
ball,1,5.2,Mongolia,T Ariuntsetseg,O Erdenebaatar,Yang Shen,0,0,,,,,,"",""
ball,1,5.3,Mongolia,T Ariuntsetseg,O Erdenebaatar,Yang Shen,0,0,,,,,,"",""
ball,1,5.4,Mongolia,T Ariuntsetseg,O Erdenebaatar,Yang Shen,0,0,,,,,,"",""
ball,1,5.5,Mongolia,T Ariuntsetseg,O Erdenebaatar,Yang Shen,0,0,,,,,,"",""
ball,1,5.6,Mongolia,T Ariuntsetseg,O Erdenebaatar,Yang Shen,0,0,,,,,,"",""
ball,1,6.1,Mongolia,O Erdenebaatar,T Ariuntsetseg,Ma Ruike,0,0,,,,,,"",""
ball,1,6.2,Mongolia,O Erdenebaatar,T Ariuntsetseg,Ma Ruike,0,0,,,,,,"",""
ball,1,6.3,Mongolia,O Erdenebaatar,T Ariuntsetseg,Ma Ruike,0,1,1,,,,,"",""
ball,1,6.4,Mongolia,O Erdenebaatar,T Ariuntsetseg,Ma Ruike,0,0,,,,,,"",""
ball,1,6.5,Mongolia,O Erdenebaatar,T Ariuntsetseg,Ma Ruike,0,0,,,,,,"",""
ball,1,6.6,Mongolia,O Erdenebaatar,T Ariuntsetseg,Ma Ruike,1,0,,,,,,"",""
ball,1,6.7,Mongolia,T Ariuntsetseg,O Erdenebaatar,Ma Ruike,0,0,,,,,,"",""
ball,1,7.1,Mongolia,O Erdenebaatar,T Ariuntsetseg,Yang Shen,0,0,,,,,,"",""
ball,1,7.2,Mongolia,O Erdenebaatar,T Ariuntsetseg,Yang Shen,0,0,,,,,,"",""
ball,1,7.3,Mongolia,O Erdenebaatar,T Ariuntsetseg,Yang Shen,0,0,,,,,,"",""
ball,1,7.4,Mongolia,O Erdenebaatar,T Ariuntsetseg,Yang Shen,0,0,,,,,,"",""
ball,1,7.5,Mongolia,O Erdenebaatar,T Ariuntsetseg,Yang Shen,0,0,,,,,,"",""
ball,1,7.6,Mongolia,O Erdenebaatar,T Ariuntsetseg,Yang Shen,0,0,,,,,,"",""
ball,1,8.1,Mongolia,T Ariuntsetseg,O Erdenebaatar,Wang Huiying,0,1,1,,,,,"",""
ball,1,8.2,Mongolia,T Ariuntsetseg,O Erdenebaatar,Wang Huiying,1,0,,,,,,"",""
ball,1,8.3,Mongolia,O Erdenebaatar,T Ariuntsetseg,Wang Huiying,0,0,,,,,,"",""
ball,1,8.4,Mongolia,O Erdenebaatar,T Ariuntsetseg,Wang Huiying,0,0,,,,,,"",""
ball,1,8.5,Mongolia,O Erdenebaatar,T Ariuntsetseg,Wang Huiying,0,0,,,,,,"",""
ball,1,8.6,Mongolia,O Erdenebaatar,T Ariuntsetseg,Wang Huiying,1,0,,,,,,"",""
ball,1,8.7,Mongolia,T Ariuntsetseg,O Erdenebaatar,Wang Huiying,0,0,,,,,,"",""
ball,1,9.1,Mongolia,O Erdenebaatar,T Ariuntsetseg,Mengting Liu,0,0,,,,,,"",""
ball,1,9.2,Mongolia,O Erdenebaatar,T Ariuntsetseg,Mengting Liu,0,0,,,,,,"",""
ball,1,9.3,Mongolia,O Erdenebaatar,T Ariuntsetseg,Mengting Liu,0,0,,,,,,"",""
ball,1,9.4,Mongolia,O Erdenebaatar,T Ariuntsetseg,Mengting Liu,0,0,,,,,,caught,O Erdenebaatar
