version,1.7.0
info,balls_per_over,6
info,team,Portugal
info,team,Norway
info,gender,male
info,season,2025
info,date,2025/04/09
info,event,Norway tour of Portugal
info,match_number,3
info,venue,Santarem Cricket Ground
info,city,Albergaria
info,toss_winner,Portugal
info,toss_decision,bat
info,player_of_match,D Norotam
info,winner,Portugal
info,winner_runs,54
info,player,Portugal,J Vijay
info,player,Portugal,D Norotam
info,player,Portugal,C Greenshields
info,player,Portugal,M Machado
info,player,Portugal,Amandeep Singh
info,player,Portugal,Najjam Shahzad
info,player,Portugal,R Hashu
info,player,Portugal,U Shantu
info,player,Portugal,JAM Henri
info,player,Portugal,S Vaz
info,player,Portugal,Sirajullah Khadim
info,player,Norway,Khizer Ahmed
info,player,Norway,Usman Arif
info,player,Norway,D Abeyrathna
info,player,Norway,Tafseer Ali
info,player,Norway,Junaid Mehmood
info,player,Norway,Faisal Raza
info,player,Norway,Sher Sahak
info,player,Norway,Qamar Mushtaque
info,player,Norway,Vinay Ravi
info,player,Norway,Ahmadullah Shinwari
info,player,Norway,AJ Parmar
info,registry,people,AJ Parmar,94113d54
info,registry,people,Ahmadullah Shinwari,e068d48e
info,registry,people,Amandeep Singh,d0d32c30
info,registry,people,C Greenshields,55f0e741
info,registry,people,D Abeyrathna,ee17d329
info,registry,people,D Norotam,90b73986
info,registry,people,Faisal Raza,dccb802c
info,registry,people,J Vijay,709525fc
info,registry,people,JAM Henri,04df9697
info,registry,people,Junaid Mehmood,3e46c4f3
info,registry,people,Khizer Ahmed,723ca856
info,registry,people,M Machado,fd34bcb0
info,registry,people,Najjam Shahzad,58aa33cd
info,registry,people,Qamar Mushtaque,fc362c5d
info,registry,people,R Hashu,a53029a1
info,registry,people,S Vaz,ad67ab56
info,registry,people,Sher Sahak,8299b9a2
info,registry,people,Sirajullah Khadim,ff36e706
info,registry,people,Tafseer Ali,b9c3ffcd
info,registry,people,U Shantu,0e80e47d
info,registry,people,Usman Arif,fccc2d5a
info,registry,people,Vinay Ravi,9c181b99
ball,1,0.1,Portugal,J Vijay,D Norotam,Vinay Ravi,0,1,,,,1,,"",""
ball,1,0.2,Portugal,D Norotam,J Vijay,Vinay Ravi,4,0,,,,,,"",""
ball,1,0.3,Portugal,D Norotam,J Vijay,Vinay Ravi,0,0,,,,,,"",""
ball,1,0.4,Portugal,D Norotam,J Vijay,Vinay Ravi,2,0,,,,,,"",""
ball,1,0.5,Portugal,D Norotam,J Vijay,Vinay Ravi,0,0,,,,,,"",""
ball,1,0.6,Portugal,D Norotam,J Vijay,Vinay Ravi,4,0,,,,,,"",""
ball,1,1.1,Portugal,J Vijay,D Norotam,Ahmadullah Shinwari,4,0,,,,,,"",""
ball,1,1.2,Portugal,J Vijay,D Norotam,Ahmadullah Shinwari,0,0,,,,,,"",""
ball,1,1.3,Portugal,J Vijay,D Norotam,Ahmadullah Shinwari,1,0,,,,,,"",""
ball,1,1.4,Portugal,D Norotam,J Vijay,Ahmadullah Shinwari,1,0,,,,,,"",""
ball,1,1.5,Portugal,J Vijay,D Norotam,Ahmadullah Shinwari,0,0,,,,,,"",""
ball,1,1.6,Portugal,J Vijay,D Norotam,Ahmadullah Shinwari,1,0,,,,,,"",""
ball,1,2.1,Portugal,J Vijay,D Norotam,Vinay Ravi,0,0,,,,,,"",""
ball,1,2.2,Portugal,J Vijay,D Norotam,Vinay Ravi,1,0,,,,,,"",""
ball,1,2.3,Portugal,D Norotam,J Vijay,Vinay Ravi,0,0,,,,,,"",""
ball,1,2.4,Portugal,D Norotam,J Vijay,Vinay Ravi,4,0,,,,,,"",""
ball,1,2.5,Portugal,D Norotam,J Vijay,Vinay Ravi,6,0,,,,,,"",""
ball,1,2.6,Portugal,D Norotam,J Vijay,Vinay Ravi,0,0,,,,,,"",""
ball,1,3.1,Portugal,J Vijay,D Norotam,Ahmadullah Shinwari,0,0,,,,,,caught,J Vijay
ball,1,3.2,Portugal,C Greenshields,D Norotam,Ahmadullah Shinwari,0,0,,,,,,"",""
