version,1.7.0
info,balls_per_over,6
info,team,South Africa
info,team,Australia
info,gender,female
info,season,2022/23
info,date,2023/02/18
info,event,ICC Women's T20 World Cup
info,match_number,15
info,venue,"St George's Park, Gqeberha"
info,city,Gqeberha
info,toss_winner,Australia
info,toss_decision,field
info,player_of_match,TM McGrath
info,umpire,JM Williams
info,umpire,N Perera
info,reserve_umpire,Kim Cotton
info,tv_umpire,AY Harris
info,match_referee,JM Pereira
info,winner,Australia
info,winner_wickets,6
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,M Kapp
info,player,South Africa,S Luus
info,player,South Africa,CL Tryon
info,player,South Africa,D Tucker
info,player,South Africa,N de Klerk
info,player,South Africa,S Jafta
info,player,South Africa,S Ismail
info,player,South Africa,M Klaas
info,player,South Africa,N Mlaba
info,player,Australia,BL Mooney
info,player,Australia,EA Perry
info,player,Australia,MM Lanning
info,player,Australia,A Gardner
info,player,Australia,TM McGrath
info,player,Australia,GM Harris
info,player,Australia,G Wareham
info,player,Australia,A Sutherland
info,player,Australia,A King
info,player,Australia,ML Schutt
info,player,Australia,D Brown
info,registry,people,A Gardner,bc969efb
info,registry,people,A King,83558266
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AY Harris,90d95b82
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,CL Tryon,4d4605e6
info,registry,people,D Brown,2e81be88
info,registry,people,D Tucker,2b425403
info,registry,people,EA Perry,be150fc8
info,registry,people,G Wareham,f0b4e47d
info,registry,people,GM Harris,72166006
info,registry,people,JM Pereira,f9a4a039
info,registry,people,JM Williams,b61d9d70
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Klaas,ce85fcaf
info,registry,people,ML Schutt,17608a6f
info,registry,people,MM Lanning,27e003ce
info,registry,people,N Mlaba,686362af
info,registry,people,N Perera,129709f9
info,registry,people,N de Klerk,ea544967
info,registry,people,S Ismail,108c4c09
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,T Brits,06659caa
info,registry,people,TM McGrath,ca5acfa4
ball,1,0.1,South Africa,L Wolvaardt,T Brits,ML Schutt,0,1,1,,,,,"",""
ball,1,0.2,South Africa,L Wolvaardt,T Brits,ML Schutt,0,4,,,,4,,"",""
ball,1,0.3,South Africa,L Wolvaardt,T Brits,ML Schutt,0,0,,,,,,"",""
ball,1,0.4,South Africa,L Wolvaardt,T Brits,ML Schutt,4,0,,,,,,"",""
ball,1,0.5,South Africa,L Wolvaardt,T Brits,ML Schutt,0,0,,,,,,"",""
ball,1,0.6,South Africa,L Wolvaardt,T Brits,ML Schutt,0,0,,,,,,"",""
ball,1,0.7,South Africa,L Wolvaardt,T Brits,ML Schutt,1,0,,,,,,"",""
ball,1,1.1,South Africa,L Wolvaardt,T Brits,D Brown,0,0,,,,,,"",""
ball,1,1.2,South Africa,L Wolvaardt,T Brits,D Brown,0,0,,,,,,"",""
ball,1,1.3,South Africa,L Wolvaardt,T Brits,D Brown,0,0,,,,,,"",""
ball,1,1.4,South Africa,L Wolvaardt,T Brits,D Brown,1,0,,,,,,"",""
ball,1,1.5,South Africa,T Brits,L Wolvaardt,D Brown,0,0,,,,,,"",""
ball,1,1.6,South Africa,T Brits,L Wolvaardt,D Brown,0,0,,,,,,"",""
ball,1,2.1,South Africa,L Wolvaardt,T Brits,EA Perry,1,0,,,,,,"",""
ball,1,2.2,South Africa,T Brits,L Wolvaardt,EA Perry,0,0,,,,,,"",""
ball,1,2.3,South Africa,T Brits,L Wolvaardt,EA Perry,1,0,,,,,,"",""
ball,1,2.4,South Africa,L Wolvaardt,T Brits,EA Perry,0,0,,,,,,"",""
ball,1,2.5,South Africa,L Wolvaardt,T Brits,EA Perry,0,0,,,,,,"",""
ball,1,2.6,South Africa,L Wolvaardt,T Brits,EA Perry,0,0,,,,,,"",""
ball,1,3.1,South Africa,T Brits,L Wolvaardt,D Brown,0,0,,,,,,"",""
ball,1,3.2,South Africa,T Brits,L Wolvaardt,D Brown,0,0,,,,,,"",""
ball,1,3.3,South Africa,T Brits,L Wolvaardt,D Brown,0,1,1,,,,,"",""
ball,1,3.4,South Africa,T Brits,L Wolvaardt,D Brown,2,0,,,,,,"",""
ball,1,3.5,South Africa,T Brits,L Wolvaardt,D Brown,4,0,,,,,,"",""
ball,1,3.6,South Africa,T Brits,L Wolvaardt,D Brown,2,0,,,,,,"",""
ball,1,3.7,South Africa,T Brits,L Wolvaardt,D Brown,0,0,,,,,,"",""
ball,1,4.1,South Africa,L Wolvaardt,T Brits,ML Schutt,0,0,,,,,,"",""
ball,1,4.2,South Africa,L Wolvaardt,T Brits,ML Schutt,1,0,,,,,,"",""
ball,1,4.3,South Africa,T Brits,L Wolvaardt,ML Schutt,0,0,,,,,,"",""
ball,1,4.4,South Africa,T Brits,L Wolvaardt,ML Schutt,0,0,,,,,,"",""
ball,1,4.5,South Africa,T Brits,L Wolvaardt,ML Schutt,1,0,,,,,,"",""
ball,1,4.6,South Africa,L Wolvaardt,T Brits,ML Schutt,4,0,,,,,,"",""
ball,1,5.1,South Africa,T Brits,L Wolvaardt,A Gardner,4,0,,,,,,"",""
ball,1,5.2,South Africa,T Brits,L Wolvaardt,A Gardner,2,0,,,,,,"",""
ball,1,5.3,South Africa,T Brits,L Wolvaardt,A Gardner,1,0,,,,,,"",""
ball,1,5.4,South Africa,L Wolvaardt,T Brits,A Gardner,1,0,,,,,,"",""
ball,1,5.5,South Africa,T Brits,L Wolvaardt,A Gardner,4,0,,,,,,"",""
ball,1,5.6,South Africa,T Brits,L Wolvaardt,A Gardner,1,0,,,,,,"",""
ball,1,6.1,South Africa,T Brits,L Wolvaardt,A Sutherland,1,0,,,,,,"",""
