version,1.7.0
info,balls_per_over,6
info,team,Bahrain
info,team,Qatar
info,gender,male
info,season,2022/23
info,date,2022/12/22
info,event,Quadrangular Twenty20 Series (Malaysia)
info,match_number,12
info,venue,"UKM-YSD Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Qatar
info,toss_decision,field
info,umpire,Tabarak Dar
info,umpire,Zaidan Taha
info,match_referee,Ramesh Menon
info,outcome,no result
info,player,Bahrain,P Kurup
info,player,Bahrain,Yousif Wali
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Sarfaraz Ali
info,player,Bahrain,Haider Butt
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,Zeeshan Abbas
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Imran Khan
info,player,Qatar,Mohammad Rizlan
info,player,Qatar,Kamran Khan
info,player,Qatar,Mohammed Nadeem
info,player,Qatar,Gayan Munaweera
info,player,Qatar,Akash Babu
info,player,Qatar,Dharmang Patel
info,player,Qatar,I Liyanage
info,player,Qatar,Assad Borham
info,player,Qatar,Ikramullah Khan
info,player,Qatar,Muhammad Tanveer
info,player,Qatar,VN Veetil
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Akash Babu,fb59e5bc
info,registry,people,Assad Borham,219a417a
info,registry,people,Dharmang Patel,643f2e6a
info,registry,people,Gayan Munaweera,62141a22
info,registry,people,Haider Butt,14fd10b5
info,registry,people,I Liyanage,826e1017
info,registry,people,Ikramullah Khan,c6e1354c
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Imran Khan,da3b91fd
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,Kamran Khan,922e3dcc
info,registry,people,Mohammad Rizlan,82afc034
info,registry,people,Mohammed Nadeem,856cbb1e
info,registry,people,Muhammad Tanveer,aef39fe4
info,registry,people,P Kurup,50ceaef6
info,registry,people,Ramesh Menon,4ed80d22
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,Sarfaraz Ali,db95ddeb
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,VN Veetil,3cf5a041
info,registry,people,Yousif Wali,ed27d267
info,registry,people,Zaidan Taha,a29dd0ec
info,registry,people,Zeeshan Abbas,328cca93
ball,1,0.1,Bahrain,P Kurup,Yousif Wali,Ikramullah Khan,0,1,,,,1,,"",""
ball,1,0.2,Bahrain,Yousif Wali,P Kurup,Ikramullah Khan,2,0,,,,,,"",""
ball,1,0.3,Bahrain,Yousif Wali,P Kurup,Ikramullah Khan,0,0,,,,,,caught,Yousif Wali
ball,1,0.4,Bahrain,Imran Anwar,P Kurup,Ikramullah Khan,0,0,,,,,,"",""
ball,1,0.5,Bahrain,Imran Anwar,P Kurup,Ikramullah Khan,1,0,,,,,,"",""
ball,1,0.6,Bahrain,P Kurup,Imran Anwar,Ikramullah Khan,1,0,,,,,,"",""
ball,1,1.1,Bahrain,P Kurup,Imran Anwar,Gayan Munaweera,0,0,,,,,,"",""
ball,1,1.2,Bahrain,P Kurup,Imran Anwar,Gayan Munaweera,4,0,,,,,,"",""
ball,1,1.3,Bahrain,P Kurup,Imran Anwar,Gayan Munaweera,1,0,,,,,,"",""
ball,1,1.4,Bahrain,Imran Anwar,P Kurup,Gayan Munaweera,1,0,,,,,,"",""
ball,1,1.5,Bahrain,P Kurup,Imran Anwar,Gayan Munaweera,0,0,,,,,,"",""
ball,1,1.6,Bahrain,P Kurup,Imran Anwar,Gayan Munaweera,0,0,,,,,,"",""
ball,1,2.1,Bahrain,Imran Anwar,P Kurup,Ikramullah Khan,1,0,,,,,,"",""
ball,1,2.2,Bahrain,P Kurup,Imran Anwar,Ikramullah Khan,0,0,,,,,,"",""
ball,1,2.3,Bahrain,P Kurup,Imran Anwar,Ikramullah Khan,1,0,,,,,,"",""
ball,1,2.4,Bahrain,Imran Anwar,P Kurup,Ikramullah Khan,1,0,,,,,,"",""
ball,1,2.5,Bahrain,P Kurup,Imran Anwar,Ikramullah Khan,1,0,,,,,,"",""
ball,1,2.6,Bahrain,Imran Anwar,P Kurup,Ikramullah Khan,0,0,,,,,,"",""
ball,1,3.1,Bahrain,P Kurup,Imran Anwar,Mohammed Nadeem,1,0,,,,,,"",""
ball,1,3.2,Bahrain,Imran Anwar,P Kurup,Mohammed Nadeem,0,0,,,,,,"",""
ball,1,3.3,Bahrain,Imran Anwar,P Kurup,Mohammed Nadeem,0,0,,,,,,"",""
ball,1,3.4,Bahrain,Imran Anwar,P Kurup,Mohammed Nadeem,2,0,,,,,,"",""
ball,1,3.5,Bahrain,Imran Anwar,P Kurup,Mohammed Nadeem,1,0,,,,,,"",""
ball,1,3.6,Bahrain,P Kurup,Imran Anwar,Mohammed Nadeem,0,0,,,,,,lbw,P Kurup
ball,1,4.1,Bahrain,Imran Anwar,Sohail Ahmed,Muhammad Tanveer,1,0,,,,,,"",""
ball,1,4.2,Bahrain,Sohail Ahmed,Imran Anwar,Muhammad Tanveer,4,0,,,,,,"",""
ball,1,4.3,Bahrain,Sohail Ahmed,Imran Anwar,Muhammad Tanveer,0,0,,,,,,"",""
ball,1,4.4,Bahrain,Sohail Ahmed,Imran Anwar,Muhammad Tanveer,1,0,,,,,,"",""
ball,1,4.5,Bahrain,Imran Anwar,Sohail Ahmed,Muhammad Tanveer,1,0,,,,,,"",""
ball,1,4.6,Bahrain,Sohail Ahmed,Imran Anwar,Muhammad Tanveer,1,0,,,,,,"",""
ball,1,5.1,Bahrain,Sohail Ahmed,Imran Anwar,Gayan Munaweera,0,0,,,,,,"",""
