version,1.7.0
info,balls_per_over,6
info,team,Germany
info,team,Ireland
info,gender,female
info,season,2025
info,date,2025/08/20
info,event,ICC Women's T20 World Cup Europe Division 1 Qualifier
info,match_number,2
info,venue,"Hazelaarweg, Rotterdam"
info,city,Rotterdam
info,toss_winner,Germany
info,toss_decision,bat
info,player_of_match,L Delany
info,umpire,J Jensen
info,umpire,Rizwan Akram
info,reserve_umpire,Aidan Seaver
info,match_referee,GH Pienaar
info,winner,Ireland
info,winner_wickets,10
info,player,Germany,W Hornero-Garcia
info,player,Germany,K Vijayaraghavan
info,player,Germany,S Kolcharam
info,player,Germany,CM Gough
info,player,Germany,A Kanukuntla
info,player,Germany,Rameesha Shahid
info,player,Germany,N Kingsley
info,player,Germany,V Stolle
info,player,Germany,A Kohli
info,player,Germany,I Edwards
info,player,Germany,Ashwini Balaji
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,A Canning
info,player,Ireland,C Murray
info,player,Ireland,AN Kelly
info,player,Ireland,J Maguire
info,player,Ireland,LA McBride
info,player,Ireland,L Delany
info,player,Ireland,L Paul
info,player,Ireland,O Prendergast
info,player,Ireland,R Stokell
info,registry,people,A Canning,ffd5fcd8
info,registry,people,A Hunter,e8fa03ed
info,registry,people,A Kanukuntla,2fa8a697
info,registry,people,A Kohli,eb9082b2
info,registry,people,AN Kelly,397369e0
info,registry,people,Aidan Seaver,862c0b16
info,registry,people,Ashwini Balaji,81283f75
info,registry,people,C Murray,5a50471c
info,registry,people,CM Gough,f1328a90
info,registry,people,GH Lewis,1b9d1579
info,registry,people,GH Pienaar,3516e46b
info,registry,people,I Edwards,42095275
info,registry,people,J Jensen,fc80e7a2
info,registry,people,J Maguire,1b1c23bb
info,registry,people,K Vijayaraghavan,048da365
info,registry,people,L Delany,b4f73b44
info,registry,people,L Paul,07248d8e
info,registry,people,LA McBride,9bd0d19d
info,registry,people,N Kingsley,31036a1d
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,R Stokell,def7b1bb
info,registry,people,Rameesha Shahid,b810425e
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,S Kolcharam,761c929e
info,registry,people,V Stolle,0dc4ac6c
info,registry,people,W Hornero-Garcia,7d5fef52
ball,1,0.1,Germany,W Hornero-Garcia,K Vijayaraghavan,O Prendergast,1,0,,,,,,"",""
ball,1,0.2,Germany,K Vijayaraghavan,W Hornero-Garcia,O Prendergast,0,1,1,,,,,"",""
ball,1,0.3,Germany,K Vijayaraghavan,W Hornero-Garcia,O Prendergast,0,0,,,,,,"",""
ball,1,0.4,Germany,K Vijayaraghavan,W Hornero-Garcia,O Prendergast,0,1,,,1,,,"",""
ball,1,0.5,Germany,W Hornero-Garcia,K Vijayaraghavan,O Prendergast,0,0,,,,,,lbw,W Hornero-Garcia
ball,1,0.6,Germany,S Kolcharam,K Vijayaraghavan,O Prendergast,0,0,,,,,,"",""
ball,1,0.7,Germany,S Kolcharam,K Vijayaraghavan,O Prendergast,1,0,,,,,,"",""
ball,1,1.1,Germany,S Kolcharam,K Vijayaraghavan,A Canning,4,0,,,,,,"",""
ball,1,1.2,Germany,S Kolcharam,K Vijayaraghavan,A Canning,0,0,,,,,,"",""
ball,1,1.3,Germany,S Kolcharam,K Vijayaraghavan,A Canning,1,0,,,,,,"",""
ball,1,1.4,Germany,K Vijayaraghavan,S Kolcharam,A Canning,0,0,,,,,,"",""
ball,1,1.5,Germany,K Vijayaraghavan,S Kolcharam,A Canning,0,0,,,,,,"",""
ball,1,1.6,Germany,K Vijayaraghavan,S Kolcharam,A Canning,0,1,1,,,,,"",""
ball,1,1.7,Germany,K Vijayaraghavan,S Kolcharam,A Canning,0,0,,,,,,"",""
ball,1,2.1,Germany,S Kolcharam,K Vijayaraghavan,O Prendergast,0,0,,,,,,"",""
ball,1,2.2,Germany,S Kolcharam,K Vijayaraghavan,O Prendergast,0,0,,,,,,"",""
ball,1,2.3,Germany,S Kolcharam,K Vijayaraghavan,O Prendergast,0,0,,,,,,"",""
ball,1,2.4,Germany,S Kolcharam,K Vijayaraghavan,O Prendergast,0,0,,,,,,"",""
ball,1,2.5,Germany,S Kolcharam,K Vijayaraghavan,O Prendergast,1,0,,,,,,"",""
ball,1,2.6,Germany,K Vijayaraghavan,S Kolcharam,O Prendergast,0,0,,,,,,"",""
ball,1,3.1,Germany,S Kolcharam,K Vijayaraghavan,A Canning,0,0,,,,,,"",""
