version,1.7.0
info,balls_per_over,6
info,team,Tanzania
info,team,Zimbabwe
info,gender,male
info,season,2023/24
info,date,2023/11/23
info,event,ICC Men's T20 World Cup Africa Region Qualifier
info,match_number,5
info,venue,"United Cricket Club Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,R Ngarava
info,umpire,IO Oyieko
info,umpire,Kehinde Olanbiwonnu
info,reserve_umpire,Stephen Harris
info,match_referee,GH Pienaar
info,winner,Zimbabwe
info,winner_wickets,9
info,player,Tanzania,AR Patwa
info,player,Tanzania,II Selemani
info,player,Tanzania,AJ Jabiri
info,player,Tanzania,MO Kitunda
info,player,Tanzania,AP Rajeevan
info,player,Tanzania,K Nassoro
info,player,Tanzania,Akhil Anil
info,player,Tanzania,S Thakor
info,player,Tanzania,AM Kimote
info,player,Tanzania,SA Jumbe
info,player,Tanzania,HA Chohan
info,player,Zimbabwe,I Kaia
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,C Madande
info,player,Zimbabwe,WP Masakadza
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,B Muzarabani
info,player,Zimbabwe,TL Chatara
info,registry,people,AJ Jabiri,90624d37
info,registry,people,AM Kimote,34e36b65
info,registry,people,AP Rajeevan,63d6f031
info,registry,people,AR Patwa,b43f7a6a
info,registry,people,Akhil Anil,c06c25fd
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,C Madande,3560a786
info,registry,people,GH Pienaar,3516e46b
info,registry,people,HA Chohan,847b4bdd
info,registry,people,I Kaia,5ad8c974
info,registry,people,II Selemani,b2dadc51
info,registry,people,IO Oyieko,de4828fa
info,registry,people,K Nassoro,29ee9bf9
info,registry,people,Kehinde Olanbiwonnu,e7e9f2cd
info,registry,people,MO Kitunda,badef0dc
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,S Thakor,0848ac5f
info,registry,people,SA Jumbe,91056862
info,registry,people,SC Williams,afe57f7a
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Marumani,3d5d51a5
info,registry,people,TL Chatara,5bbabe59
info,registry,people,W Madhevere,a879b92c
info,registry,people,WP Masakadza,4bc0a378
ball,1,0.1,Tanzania,AR Patwa,II Selemani,WP Masakadza,0,0,,,,,,"",""
ball,1,0.2,Tanzania,AR Patwa,II Selemani,WP Masakadza,0,0,,,,,,"",""
ball,1,0.3,Tanzania,AR Patwa,II Selemani,WP Masakadza,0,0,,,,,,"",""
ball,1,0.4,Tanzania,AR Patwa,II Selemani,WP Masakadza,0,1,,,,1,,"",""
ball,1,0.5,Tanzania,II Selemani,AR Patwa,WP Masakadza,0,0,,,,,,"",""
ball,1,0.6,Tanzania,II Selemani,AR Patwa,WP Masakadza,1,0,,,,,,"",""
ball,1,1.1,Tanzania,II Selemani,AR Patwa,R Ngarava,0,0,,,,,,"",""
ball,1,1.2,Tanzania,II Selemani,AR Patwa,R Ngarava,0,0,,,,,,"",""
ball,1,1.3,Tanzania,II Selemani,AR Patwa,R Ngarava,0,0,,,,,,bowled,II Selemani
ball,1,1.4,Tanzania,AJ Jabiri,AR Patwa,R Ngarava,0,0,,,,,,"",""
ball,1,1.5,Tanzania,AJ Jabiri,AR Patwa,R Ngarava,0,0,,,,,,"",""
ball,1,1.6,Tanzania,AJ Jabiri,AR Patwa,R Ngarava,0,0,,,,,,"",""
ball,1,2.1,Tanzania,AR Patwa,AJ Jabiri,WP Masakadza,4,0,,,,,,"",""
ball,1,2.2,Tanzania,AR Patwa,AJ Jabiri,WP Masakadza,0,0,,,,,,"",""
ball,1,2.3,Tanzania,AR Patwa,AJ Jabiri,WP Masakadza,0,0,,,,,,"",""
ball,1,2.4,Tanzania,AR Patwa,AJ Jabiri,WP Masakadza,4,0,,,,,,"",""
ball,1,2.5,Tanzania,AR Patwa,AJ Jabiri,WP Masakadza,0,0,,,,,,"",""
ball,1,2.6,Tanzania,AR Patwa,AJ Jabiri,WP Masakadza,0,1,1,,,,,"",""
ball,1,2.7,Tanzania,AR Patwa,AJ Jabiri,WP Masakadza,0,0,,,,,,"",""
ball,1,3.1,Tanzania,AJ Jabiri,AR Patwa,R Ngarava,0,0,,,,,,"",""
ball,1,3.2,Tanzania,AJ Jabiri,AR Patwa,R Ngarava,0,0,,,,,,caught,AJ Jabiri
ball,1,3.3,Tanzania,MO Kitunda,AR Patwa,R Ngarava,0,0,,,,,,"",""
ball,1,3.4,Tanzania,MO Kitunda,AR Patwa,R Ngarava,0,0,,,,,,"",""
ball,1,3.5,Tanzania,MO Kitunda,AR Patwa,R Ngarava,0,0,,,,,,"",""
