version,1.7.0
info,balls_per_over,6
info,team,Tanzania
info,team,Qatar
info,gender,female
info,season,2022/23
info,date,2022/12/18
info,event,Kenya Quadrangular Women's T20 Series
info,match_number,10
info,venue,"Gymkhana Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Tanzania
info,toss_decision,bat
info,player_of_match,FO Kibasu
info,umpire,Charles Kariuki
info,umpire,D Odhiambo
info,reserve_umpire,J Karuri
info,winner,Tanzania
info,winner_runs,96
info,player,Tanzania,FO Kibasu
info,player,Tanzania,S Mtae
info,player,Tanzania,SH Mohamedi
info,player,Tanzania,HM Omary
info,player,Tanzania,PZ Kamunya
info,player,Tanzania,TS Omary
info,player,Tanzania,AS Qwele
info,player,Tanzania,Rahima Yahaya
info,player,Tanzania,M Pascal
info,player,Tanzania,A Mohamed
info,player,Tanzania,Sheila Shamte
info,player,Qatar,Shahreeennawab
info,player,Qatar,SK Rana
info,player,Qatar,Aysha
info,player,Qatar,S Dhadwal
info,player,Qatar,H Agarwal
info,player,Qatar,Aleena Khan
info,player,Qatar,T Kale
info,player,Qatar,A Mare
info,player,Qatar,RS Quyn
info,player,Qatar,SA Panayan
info,player,Qatar,Sarrinah Ahmed
info,registry,people,A Mare,57a25400
info,registry,people,A Mohamed,86a68879
info,registry,people,AS Qwele,26b3df21
info,registry,people,Aleena Khan,97f2faf0
info,registry,people,Aysha,37ceee4e
info,registry,people,Charles Kariuki,8de34db0
info,registry,people,D Odhiambo,45994517
info,registry,people,FO Kibasu,1c726c76
info,registry,people,H Agarwal,3f886270
info,registry,people,HM Omary,2cbe5db1
info,registry,people,J Karuri,5a9b694c
info,registry,people,M Pascal,729c5ab5
info,registry,people,PZ Kamunya,6e60bbe2
info,registry,people,RS Quyn,41721f6b
info,registry,people,Rahima Yahaya,d75bec48
info,registry,people,S Dhadwal,7e2c16a3
info,registry,people,S Mtae,bb641155
info,registry,people,SA Panayan,cad60789
info,registry,people,SH Mohamedi,10ab6a37
info,registry,people,SK Rana,47884f8e
info,registry,people,Sarrinah Ahmed,d949bc42
info,registry,people,Shahreeennawab,faa8843f
info,registry,people,Sheila Shamte,23156185
info,registry,people,T Kale,bc9bd4c6
info,registry,people,TS Omary,88e90658
ball,1,0.1,Tanzania,FO Kibasu,S Mtae,A Mare,0,0,,,,,,"",""
ball,1,0.2,Tanzania,FO Kibasu,S Mtae,A Mare,1,0,,,,,,"",""
ball,1,0.3,Tanzania,S Mtae,FO Kibasu,A Mare,1,0,,,,,,"",""
ball,1,0.4,Tanzania,FO Kibasu,S Mtae,A Mare,1,0,,,,,,"",""
ball,1,0.5,Tanzania,S Mtae,FO Kibasu,A Mare,0,1,1,,,,,"",""
ball,1,0.6,Tanzania,S Mtae,FO Kibasu,A Mare,4,0,,,,,,"",""
ball,1,0.7,Tanzania,S Mtae,FO Kibasu,A Mare,2,0,,,,,,"",""
ball,1,1.1,Tanzania,FO Kibasu,S Mtae,H Agarwal,0,0,,,,,,"",""
ball,1,1.2,Tanzania,FO Kibasu,S Mtae,H Agarwal,1,0,,,,,,"",""
ball,1,1.3,Tanzania,S Mtae,FO Kibasu,H Agarwal,0,0,,,,,,"",""
ball,1,1.4,Tanzania,S Mtae,FO Kibasu,H Agarwal,0,0,,,,,,"",""
ball,1,1.5,Tanzania,S Mtae,FO Kibasu,H Agarwal,0,0,,,,,,"",""
ball,1,1.6,Tanzania,S Mtae,FO Kibasu,H Agarwal,1,0,,,,,,"",""
ball,1,2.1,Tanzania,S Mtae,FO Kibasu,A Mare,4,0,,,,,,"",""
ball,1,2.2,Tanzania,S Mtae,FO Kibasu,A Mare,2,0,,,,,,"",""
ball,1,2.3,Tanzania,S Mtae,FO Kibasu,A Mare,0,0,,,,,,"",""
ball,1,2.4,Tanzania,S Mtae,FO Kibasu,A Mare,6,0,,,,,,"",""
ball,1,2.5,Tanzania,S Mtae,FO Kibasu,A Mare,1,0,,,,,,"",""
ball,1,2.6,Tanzania,FO Kibasu,S Mtae,A Mare,0,0,,,,,,"",""
ball,1,3.1,Tanzania,S Mtae,FO Kibasu,H Agarwal,1,0,,,,,,"",""
ball,1,3.2,Tanzania,FO Kibasu,S Mtae,H Agarwal,4,0,,,,,,"",""
ball,1,3.3,Tanzania,FO Kibasu,S Mtae,H Agarwal,4,0,,,,,,"",""
ball,1,3.4,Tanzania,FO Kibasu,S Mtae,H Agarwal,0,0,,,,,,"",""
