version,1.7.0
info,balls_per_over,6
info,team,Papua New Guinea
info,team,Vanuatu
info,gender,female
info,season,2023
info,date,2023/09/01
info,event,ICC Women's T20 World Cup East Asia-Pacific Region Qualifier
info,match_number,2
info,venue,Vanuatu Cricket Ground
info,city,Port Vila
info,toss_winner,Papua New Guinea
info,toss_decision,bat
info,player_of_match,S Solman
info,umpire,Ashlee Gibbons
info,umpire,K Tanuvasa
info,reserve_umpire,Kim Cotton
info,match_referee,RW Stratford
info,winner,Vanuatu
info,winner_wickets,5
info,player,Papua New Guinea,S Jimmy
info,player,Papua New Guinea,N Vare
info,player,Papua New Guinea,T Ruma
info,player,Papua New Guinea,B Tau
info,player,Papua New Guinea,P Siaka
info,player,Papua New Guinea,K Arua
info,player,Papua New Guinea,HL Tau
info,player,Papua New Guinea,I Toua
info,player,Papua New Guinea,HJ Thomas
info,player,Papua New Guinea,GP Tom
info,player,Papua New Guinea,V Araa
info,player,Vanuatu,R Andrew
info,player,Vanuatu,V Langiatu
info,player,Vanuatu,N Navaika
info,player,Vanuatu,S Solman
info,player,Vanuatu,A Chilia
info,player,Vanuatu,L Chilia
info,player,Vanuatu,M Carlot
info,player,Vanuatu,V Mansale
info,player,Vanuatu,R Ova
info,player,Vanuatu,V Vira
info,player,Vanuatu,M Tarimiala
info,registry,people,A Chilia,a0d07fd6
info,registry,people,Ashlee Gibbons,b81712f7
info,registry,people,B Tau,3a6cbb8e
info,registry,people,GP Tom,88bcd09d
info,registry,people,HJ Thomas,a3034d3d
info,registry,people,HL Tau,ace63b7f
info,registry,people,I Toua,83cde44d
info,registry,people,K Arua,8ce69204
info,registry,people,K Tanuvasa,34fa0472
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,L Chilia,87ac786c
info,registry,people,M Carlot,dac46b52
info,registry,people,M Tarimiala,0030a57d
info,registry,people,N Navaika,b0023708
info,registry,people,N Vare,20ace887
info,registry,people,P Siaka,595433d2
info,registry,people,R Andrew,66c1accf
info,registry,people,R Ova,88bba252
info,registry,people,RW Stratford,85489579
info,registry,people,S Jimmy,2daa8e40
info,registry,people,S Solman,24ed1f75
info,registry,people,T Ruma,3697a0ff
info,registry,people,V Araa,040f11e8
info,registry,people,V Langiatu,fdd18ca0
info,registry,people,V Mansale,7163637f
info,registry,people,V Vira,94271647
ball,1,0.1,Papua New Guinea,S Jimmy,N Vare,S Solman,1,0,,,,,,"",""
ball,1,0.2,Papua New Guinea,N Vare,S Jimmy,S Solman,0,1,1,,,,,"",""
ball,1,0.3,Papua New Guinea,N Vare,S Jimmy,S Solman,0,0,,,,,,"",""
ball,1,0.4,Papua New Guinea,N Vare,S Jimmy,S Solman,0,0,,,,,,"",""
ball,1,0.5,Papua New Guinea,N Vare,S Jimmy,S Solman,0,0,,,,,,"",""
ball,1,0.6,Papua New Guinea,N Vare,S Jimmy,S Solman,0,1,1,,,,,"",""
ball,1,0.7,Papua New Guinea,N Vare,S Jimmy,S Solman,0,0,,,,,,"",""
ball,1,0.8,Papua New Guinea,N Vare,S Jimmy,S Solman,0,0,,,,,,"",""
ball,1,1.1,Papua New Guinea,S Jimmy,N Vare,V Vira,0,0,,,,,,"",""
ball,1,1.2,Papua New Guinea,S Jimmy,N Vare,V Vira,0,0,,,,,,bowled,S Jimmy
ball,1,1.3,Papua New Guinea,T Ruma,N Vare,V Vira,1,0,,,,,,"",""
ball,1,1.4,Papua New Guinea,N Vare,T Ruma,V Vira,0,1,1,,,,,"",""
ball,1,1.5,Papua New Guinea,N Vare,T Ruma,V Vira,0,0,,,,,,"",""
ball,1,1.6,Papua New Guinea,N Vare,T Ruma,V Vira,0,0,,,,,,"",""
ball,1,1.7,Papua New Guinea,N Vare,T Ruma,V Vira,0,0,,,,,,"",""
ball,1,2.1,Papua New Guinea,T Ruma,N Vare,R Ova,0,0,,,,,,"",""
ball,1,2.2,Papua New Guinea,T Ruma,N Vare,R Ova,0,0,,,,,,"",""
ball,1,2.3,Papua New Guinea,T Ruma,N Vare,R Ova,1,0,,,,,,"",""
ball,1,2.4,Papua New Guinea,N Vare,T Ruma,R Ova,0,0,,,,,,"",""
ball,1,2.5,Papua New Guinea,N Vare,T Ruma,R Ova,0,0,,,,,,"",""
ball,1,2.6,Papua New Guinea,N Vare,T Ruma,R Ova,0,0,,,,,,"",""
ball,1,3.1,Papua New Guinea,T Ruma,N Vare,V Vira,1,0,,,,,,"",""
ball,1,3.2,Papua New Guinea,N Vare,T Ruma,V Vira,1,0,,,,,,"",""
ball,1,3.3,Papua New Guinea,T Ruma,N Vare,V Vira,1,0,,,,,,"",""
ball,1,3.4,Papua New Guinea,N Vare,T Ruma,V Vira,0,0,,,,,,"",""
ball,1,3.5,Papua New Guinea,N Vare,T Ruma,V Vira,4,0,,,,,,"",""
ball,1,3.6,Papua New Guinea,N Vare,T Ruma,V Vira,0,0,,,,,,"",""
ball,1,4.1,Papua New Guinea,T Ruma,N Vare,V Mansale,0,0,,,,,,"",""
ball,1,4.2,Papua New Guinea,T Ruma,N Vare,V Mansale,0,0,,,,,,"",""
