version,1.7.0
info,balls_per_over,6
info,team,Nepal
info,team,Malaysia
info,gender,female
info,season,2023
info,date,2023/08/25
info,event,Women's T20 Quadrangular Series (in Malaysia)
info,match_number,6
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Malaysia
info,toss_decision,field
info,player_of_match,Ainna Hamizah Hashim
info,umpire,Nur Hijrah
info,umpire,Zaidan Taha
info,reserve_umpire,V Kalidas
info,match_referee,Edwin Seah
info,winner,Malaysia
info,winner_wickets,6
info,method,D/L
info,player,Nepal,Puja Mahato
info,player,Nepal,K Shrestha
info,player,Nepal,I Barma
info,player,Nepal,SR Magar
info,player,Nepal,RC Belbashi
info,player,Nepal,K Joshi
info,player,Nepal,K Kunwar
info,player,Nepal,Samjhana Khadka
info,player,Nepal,B Rawal
info,player,Nepal,K Dangol
info,player,Nepal,A Karmacharya
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,Wan Julia
info,player,Malaysia,Mas Elysa
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,Aina Najwa
info,player,Malaysia,Aisya Eleesa
info,player,Malaysia,Nur Aishah
info,player,Malaysia,Nik Nur Atiela
info,player,Malaysia,Nur Dania Syuhada
info,player,Malaysia,Wan Nor Zulaika
info,player,Malaysia,Irdina Beh Nabil
info,registry,people,A Karmacharya,e1492aed
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Aisya Eleesa,2cd18a73
info,registry,people,B Rawal,4d1cc284
info,registry,people,Edwin Seah,be24f868
info,registry,people,I Barma,521abce2
info,registry,people,Irdina Beh Nabil,59ace6d9
info,registry,people,K Dangol,db080f9d
info,registry,people,K Joshi,0cd297b9
info,registry,people,K Kunwar,97e6e41a
info,registry,people,K Shrestha,119de50f
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,Mas Elysa,857de42e
info,registry,people,Nik Nur Atiela,cfdfe39c
info,registry,people,Nur Aishah,f7301b56
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,Nur Hijrah,6c068720
info,registry,people,Puja Mahato,4b95058b
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,SR Magar,61c22ad0
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,V Kalidas,42d76418
info,registry,people,Wan Julia,bee0c85c
info,registry,people,Wan Nor Zulaika,ae99724d
info,registry,people,Zaidan Taha,a29dd0ec
ball,1,0.1,Nepal,Puja Mahato,K Shrestha,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,0.2,Nepal,Puja Mahato,K Shrestha,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,0.3,Nepal,Puja Mahato,K Shrestha,Ainna Hamizah Hashim,1,0,,,,,,"",""
ball,1,0.4,Nepal,K Shrestha,Puja Mahato,Ainna Hamizah Hashim,1,0,,,,,,"",""
ball,1,0.5,Nepal,Puja Mahato,K Shrestha,Ainna Hamizah Hashim,0,0,,,,,,lbw,Puja Mahato
ball,1,0.6,Nepal,I Barma,K Shrestha,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,1.1,Nepal,K Shrestha,I Barma,Mahirah Izzati Ismail,1,0,,,,,,"",""
ball,1,1.2,Nepal,I Barma,K Shrestha,Mahirah Izzati Ismail,1,0,,,,,,"",""
ball,1,1.3,Nepal,K Shrestha,I Barma,Mahirah Izzati Ismail,0,0,,,,,,"",""
ball,1,1.4,Nepal,K Shrestha,I Barma,Mahirah Izzati Ismail,2,0,,,,,,"",""
ball,1,1.5,Nepal,K Shrestha,I Barma,Mahirah Izzati Ismail,2,0,,,,,,"",""
ball,1,1.6,Nepal,K Shrestha,I Barma,Mahirah Izzati Ismail,0,0,,,,,,"",""
ball,1,2.1,Nepal,I Barma,K Shrestha,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,2.2,Nepal,I Barma,K Shrestha,Ainna Hamizah Hashim,1,0,,,,,,"",""
ball,1,2.3,Nepal,K Shrestha,I Barma,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,2.4,Nepal,K Shrestha,I Barma,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,2.5,Nepal,K Shrestha,I Barma,Ainna Hamizah Hashim,3,0,,,,,,"",""
ball,1,2.6,Nepal,I Barma,K Shrestha,Ainna Hamizah Hashim,1,0,,,,,,"",""
ball,1,3.1,Nepal,I Barma,K Shrestha,Mahirah Izzati Ismail,1,0,,,,,,"",""
ball,1,3.2,Nepal,K Shrestha,I Barma,Mahirah Izzati Ismail,4,0,,,,,,"",""
ball,1,3.3,Nepal,K Shrestha,I Barma,Mahirah Izzati Ismail,0,0,,,,,,"",""
ball,1,3.4,Nepal,K Shrestha,I Barma,Mahirah Izzati Ismail,0,0,,,,,,"",""
ball,1,3.5,Nepal,K Shrestha,I Barma,Mahirah Izzati Ismail,1,0,,,,,,"",""
