version,1.7.0
info,balls_per_over,6
info,team,Italy
info,team,Jersey
info,gender,female
info,season,2024
info,date,2024/07/27
info,event,Germany Women's T20I Tri-Series
info,match_number,6
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,Italy
info,toss_decision,bat
info,player_of_match,EL Bartram
info,umpire,M Chennamangalam
info,umpire,N Dhanawade
info,reserve_umpire,J Flannery
info,winner,Italy
info,winner_runs,31
info,player,Italy,S Malwatta
info,player,Italy,EL Bartram
info,player,Italy,Ilenia Sims
info,player,Italy,K Peddrick
info,player,Italy,D Nanayakkara
info,player,Italy,C Mahamalage
info,player,Italy,S Kanankege
info,player,Italy,N Asuramanage
info,player,Italy,IU Jayamannage
info,player,Italy,T Araliya
info,player,Italy,ECB Moore
info,player,Jersey,A Merritt
info,player,Jersey,A Aikenhead
info,player,Jersey,G Wetherall
info,player,Jersey,C Miles
info,player,Jersey,T Smith
info,player,Jersey,R Bowley
info,player,Jersey,CM Greechan
info,player,Jersey,F Tanguy
info,player,Jersey,M Maguire
info,player,Jersey,E Gouge
info,player,Jersey,G Mallett
info,registry,people,A Aikenhead,007f121f
info,registry,people,A Merritt,4c87bd01
info,registry,people,C Mahamalage,3250b7db
info,registry,people,C Miles,80f16d29
info,registry,people,CM Greechan,569bbcbb
info,registry,people,D Nanayakkara,dbf22922
info,registry,people,E Gouge,e01e17ee
info,registry,people,ECB Moore,d0ff93a9
info,registry,people,EL Bartram,5fa7f030
info,registry,people,F Tanguy,c46400b7
info,registry,people,G Mallett,95bf6b2a
info,registry,people,G Wetherall,5c77d7cb
info,registry,people,IU Jayamannage,308d6f62
info,registry,people,Ilenia Sims,03c98aa6
info,registry,people,J Flannery,22431c5a
info,registry,people,K Peddrick,a031b75e
info,registry,people,M Chennamangalam,33c99e80
info,registry,people,M Maguire,0441a1f5
info,registry,people,N Asuramanage,46dff613
info,registry,people,N Dhanawade,bc68912b
info,registry,people,R Bowley,a42406e2
info,registry,people,S Kanankege,01815edc
info,registry,people,S Malwatta,bc11f3a3
info,registry,people,T Araliya,d423f390
info,registry,people,T Smith,f24ffaab
ball,1,0.1,Italy,S Malwatta,EL Bartram,CM Greechan,0,0,,,,,,"",""
ball,1,0.2,Italy,S Malwatta,EL Bartram,CM Greechan,0,0,,,,,,"",""
ball,1,0.3,Italy,S Malwatta,EL Bartram,CM Greechan,0,0,,,,,,"",""
ball,1,0.4,Italy,S Malwatta,EL Bartram,CM Greechan,0,0,,,,,,bowled,S Malwatta
ball,1,0.5,Italy,Ilenia Sims,EL Bartram,CM Greechan,0,0,,,,,,"",""
ball,1,0.6,Italy,Ilenia Sims,EL Bartram,CM Greechan,1,0,,,,,,"",""
ball,1,1.1,Italy,Ilenia Sims,EL Bartram,A Merritt,1,0,,,,,,"",""
ball,1,1.2,Italy,EL Bartram,Ilenia Sims,A Merritt,0,0,,,,,,"",""
ball,1,1.3,Italy,EL Bartram,Ilenia Sims,A Merritt,0,0,,,,,,"",""
ball,1,1.4,Italy,EL Bartram,Ilenia Sims,A Merritt,4,0,,,,,,"",""
ball,1,1.5,Italy,EL Bartram,Ilenia Sims,A Merritt,4,0,,,,,,"",""
ball,1,1.6,Italy,EL Bartram,Ilenia Sims,A Merritt,0,0,,,,,,"",""
ball,1,2.1,Italy,Ilenia Sims,EL Bartram,CM Greechan,0,0,,,,,,"",""
ball,1,2.2,Italy,Ilenia Sims,EL Bartram,CM Greechan,1,0,,,,,,"",""
ball,1,2.3,Italy,EL Bartram,Ilenia Sims,CM Greechan,0,0,,,,,,"",""
ball,1,2.4,Italy,EL Bartram,Ilenia Sims,CM Greechan,1,0,,,,,,"",""
ball,1,2.5,Italy,Ilenia Sims,EL Bartram,CM Greechan,0,1,1,,,,,"",""
ball,1,2.6,Italy,Ilenia Sims,EL Bartram,CM Greechan,1,0,,,,,,"",""
ball,1,2.7,Italy,EL Bartram,Ilenia Sims,CM Greechan,1,0,,,,,,"",""
ball,1,3.1,Italy,EL Bartram,Ilenia Sims,A Merritt,2,0,,,,,,"",""
ball,1,3.2,Italy,EL Bartram,Ilenia Sims,A Merritt,1,0,,,,,,"",""
ball,1,3.3,Italy,Ilenia Sims,EL Bartram,A Merritt,1,0,,,,,,"",""
ball,1,3.4,Italy,EL Bartram,Ilenia Sims,A Merritt,0,0,,,,,,"",""
ball,1,3.5,Italy,EL Bartram,Ilenia Sims,A Merritt,0,0,,,,,,"",""
ball,1,3.6,Italy,EL Bartram,Ilenia Sims,A Merritt,1,0,,,,,,"",""
ball,1,4.1,Italy,EL Bartram,Ilenia Sims,CM Greechan,0,0,,,,,,"",""
ball,1,4.2,Italy,EL Bartram,Ilenia Sims,CM Greechan,0,1,,,1,,,"",""
ball,1,4.3,Italy,Ilenia Sims,EL Bartram,CM Greechan,1,0,,,,,,"",""
ball,1,4.4,Italy,EL Bartram,Ilenia Sims,CM Greechan,4,0,,,,,,"",""
ball,1,4.5,Italy,EL Bartram,Ilenia Sims,CM Greechan,1,0,,,,,,"",""
ball,1,4.6,Italy,Ilenia Sims,EL Bartram,CM Greechan,0,0,,,,,,"",""
ball,1,5.1,Italy,EL Bartram,Ilenia Sims,F Tanguy,0,0,,,,,,"",""
ball,1,5.2,Italy,EL Bartram,Ilenia Sims,F Tanguy,1,0,,,,,,"",""
ball,1,5.3,Italy,Ilenia Sims,EL Bartram,F Tanguy,1,0,,,,,,"",""
ball,1,5.4,Italy,EL Bartram,Ilenia Sims,F Tanguy,0,0,,,,,,"",""
ball,1,5.5,Italy,EL Bartram,Ilenia Sims,F Tanguy,1,0,,,,,,"",""
ball,1,5.6,Italy,Ilenia Sims,EL Bartram,F Tanguy,1,0,,,,,,"",""
ball,1,6.1,Italy,Ilenia Sims,EL Bartram,E Gouge,0,1,1,,,,,"",""
ball,1,6.2,Italy,Ilenia Sims,EL Bartram,E Gouge,1,0,,,,,,"",""
ball,1,6.3,Italy,EL Bartram,Ilenia Sims,E Gouge,0,1,1,,,,,"",""
ball,1,6.4,Italy,EL Bartram,Ilenia Sims,E Gouge,1,0,,,,,,"",""
ball,1,6.5,Italy,Ilenia Sims,EL Bartram,E Gouge,0,1,1,,,,,"",""
ball,1,6.6,Italy,Ilenia Sims,EL Bartram,E Gouge,1,0,,,,,,"",""
ball,1,6.7,Italy,EL Bartram,Ilenia Sims,E Gouge,0,0,,,,,,"",""
ball,1,6.8,Italy,EL Bartram,Ilenia Sims,E Gouge,4,0,,,,,,"",""
ball,1,6.9,Italy,EL Bartram,Ilenia Sims,E Gouge,0,0,,,,,,"",""
ball,1,7.1,Italy,Ilenia Sims,EL Bartram,F Tanguy,1,0,,,,,,"",""
ball,1,7.2,Italy,EL Bartram,Ilenia Sims,F Tanguy,1,0,,,,,,"",""
ball,1,7.3,Italy,Ilenia Sims,EL Bartram,F Tanguy,1,0,,,,,,"",""
ball,1,7.4,Italy,EL Bartram,Ilenia Sims,F Tanguy,0,0,,,,,,"",""
ball,1,7.5,Italy,EL Bartram,Ilenia Sims,F Tanguy,0,0,,,,,,"",""
ball,1,7.6,Italy,EL Bartram,Ilenia Sims,F Tanguy,2,0,,,,,,"",""
ball,1,8.1,Italy,Ilenia Sims,EL Bartram,G Mallett,2,0,,,,,,"",""
ball,1,8.2,Italy,Ilenia Sims,EL Bartram,G Mallett,0,1,1,,,,,"",""
ball,1,8.3,Italy,Ilenia Sims,EL Bartram,G Mallett,0,0,,,,,,"",""
ball,1,8.4,Italy,Ilenia Sims,EL Bartram,G Mallett,1,0,,,,,,"",""
ball,1,8.5,Italy,EL Bartram,Ilenia Sims,G Mallett,0,1,1,,,,,"",""
ball,1,8.6,Italy,EL Bartram,Ilenia Sims,G Mallett,1,0,,,,,,"",""
ball,1,8.7,Italy,Ilenia Sims,EL Bartram,G Mallett,0,0,,,,,,"",""
ball,1,8.8,Italy,Ilenia Sims,EL Bartram,G Mallett,1,0,,,,,,"",""
ball,1,9.1,Italy,Ilenia Sims,EL Bartram,F Tanguy,1,0,,,,,,"",""
ball,1,9.2,Italy,EL Bartram,Ilenia Sims,F Tanguy,6,0,,,,,,"",""
ball,1,9.3,Italy,EL Bartram,Ilenia Sims,F Tanguy,4,0,,,,,,"",""
ball,1,9.4,Italy,EL Bartram,Ilenia Sims,F Tanguy,6,0,,,,,,"",""
ball,1,9.5,Italy,EL Bartram,Ilenia Sims,F Tanguy,4,0,,,,,,"",""
ball,1,9.6,Italy,EL Bartram,Ilenia Sims,F Tanguy,0,0,,,,,,"",""
ball,1,10.1,Italy,Ilenia Sims,EL Bartram,G Wetherall,0,0,,,,,,"",""
ball,1,10.2,Italy,Ilenia Sims,EL Bartram,G Wetherall,4,0,,,,,,"",""
ball,1,10.3,Italy,Ilenia Sims,EL Bartram,G Wetherall,1,0,,,,,,"",""
