version,1.7.0
info,balls_per_over,6
info,team,Eswatini
info,team,Sierra Leone
info,gender,female
info,season,2025
info,date,2025/04/26
info,event,BCA Kalahari Women's T20 International Tournament
info,match_number,3
info,venue,"Botswana Cricket Association Oval 1, Gaborone"
info,city,Gaborone
info,toss_winner,Sierra Leone
info,toss_decision,field
info,player_of_match,C Bull
info,winner,Sierra Leone
info,winner_wickets,10
info,player,Eswatini,Ntombizodwa Mkhatshwa
info,player,Eswatini,M Dlamini
info,player,Eswatini,LM Gwebu
info,player,Eswatini,N Mabila
info,player,Eswatini,LN Shabalala
info,player,Eswatini,N Gwebu
info,player,Eswatini,T Dlamini
info,player,Eswatini,T Malinga
info,player,Eswatini,OS Dlamini
info,player,Eswatini,LS Simelane
info,player,Eswatini,L Mamba
info,player,Sierra Leone,E Kamara
info,player,Sierra Leone,F Conteh
info,player,Sierra Leone,C Bull
info,player,Sierra Leone,H Sawanneh
info,player,Sierra Leone,M Turay
info,player,Sierra Leone,A Fillie
info,player,Sierra Leone,Z Kamara
info,player,Sierra Leone,Aminata Kamara
info,player,Sierra Leone,L Bull
info,player,Sierra Leone,AM Kamara
info,player,Sierra Leone,M Sheriff
info,registry,people,A Fillie,67412324
info,registry,people,AM Kamara,4ca3d67d
info,registry,people,Aminata Kamara,f7aca3b3
info,registry,people,C Bull,a7b3bd26
info,registry,people,E Kamara,3f8915a0
info,registry,people,F Conteh,1dac0c4a
info,registry,people,H Sawanneh,89372586
info,registry,people,L Bull,256d29e8
info,registry,people,L Mamba,bcbb22dc
info,registry,people,LM Gwebu,5cc27b7e
info,registry,people,LN Shabalala,21548315
info,registry,people,LS Simelane,642b1b28
info,registry,people,M Dlamini,877a3433
info,registry,people,M Sheriff,7cfb9b67
info,registry,people,M Turay,1eec6a0f
info,registry,people,N Gwebu,67e4248c
info,registry,people,N Mabila,21ef59e3
info,registry,people,Ntombizodwa Mkhatshwa,5d297269
info,registry,people,OS Dlamini,51b9505a
info,registry,people,T Dlamini,b92d1fe6
info,registry,people,T Malinga,a6f6efba
info,registry,people,Z Kamara,a4e98e6b
ball,1,0.1,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,AM Kamara,1,0,,,,,,"",""
ball,1,0.2,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,AM Kamara,0,0,,,,,,"",""
ball,1,0.3,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,AM Kamara,0,0,,,,,,"",""
ball,1,0.4,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,AM Kamara,0,0,,,,,,"",""
ball,1,0.5,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,AM Kamara,0,0,,,,,,"",""
ball,1,0.6,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,AM Kamara,0,0,,,,,,"",""
ball,1,1.1,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,A Fillie,0,0,,,,,,"",""
ball,1,1.2,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,A Fillie,0,0,,,,,,"",""
ball,1,1.3,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,A Fillie,0,0,,,,,,"",""
ball,1,1.4,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,A Fillie,0,1,1,,,,,"",""
ball,1,1.5,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,A Fillie,2,0,,,,,,"",""
ball,1,1.6,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,A Fillie,1,0,,,,,,"",""
ball,1,1.7,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,A Fillie,0,0,,,,,,"",""
ball,1,2.1,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,AM Kamara,0,0,,,,,,"",""
ball,1,2.2,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,AM Kamara,0,0,,,,,,"",""
ball,1,2.3,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,AM Kamara,0,0,,,,,,"",""
ball,1,2.4,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,AM Kamara,0,0,,,,,,"",""
ball,1,2.5,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,AM Kamara,0,0,,,,,,"",""
ball,1,2.6,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,AM Kamara,0,0,,,,,,"",""
ball,1,3.1,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,A Fillie,0,0,,,,,,"",""
ball,1,3.2,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,A Fillie,0,0,,,,,,"",""
ball,1,3.3,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,A Fillie,0,0,,,,,,"",""
ball,1,3.4,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,A Fillie,0,0,,,,,,"",""
ball,1,3.5,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,A Fillie,0,0,,,,,,"",""
ball,1,3.6,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,A Fillie,0,0,,,,,,"",""
ball,1,4.1,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,AM Kamara,0,0,,,,,,"",""
ball,1,4.2,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,AM Kamara,0,0,,,,,,"",""
ball,1,4.3,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,AM Kamara,0,0,,,,,,"",""
ball,1,4.4,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,AM Kamara,0,0,,,,,,"",""
ball,1,4.5,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,AM Kamara,0,0,,,,,,"",""
ball,1,4.6,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,AM Kamara,0,0,,,,,,"",""
ball,1,5.1,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,A Fillie,0,0,,,,,,"",""
ball,1,5.2,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,A Fillie,0,0,,,,,,"",""
ball,1,5.3,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,A Fillie,0,0,,,,,,"",""
ball,1,5.4,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,A Fillie,2,0,,,,,,"",""
ball,1,5.5,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,A Fillie,1,0,,,,,,"",""
ball,1,5.6,Eswatini,Ntombizodwa Mkhatshwa,M Dlamini,A Fillie,0,0,,,,,,"",""
ball,1,6.1,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,Aminata Kamara,0,0,,,,,,"",""
ball,1,6.2,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,Aminata Kamara,0,0,,,,,,"",""
ball,1,6.3,Eswatini,M Dlamini,Ntombizodwa Mkhatshwa,Aminata Kamara,1,0,,,,,,"",""
