version,1.7.0
info,balls_per_over,6
info,team,Ghana
info,team,Nigeria
info,gender,male
info,season,2022/23
info,date,2022/12/09
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,27
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Ghana
info,toss_decision,bat
info,player_of_match,P Aho
info,umpire,F Mutizwa
info,umpire,Lauren Agenbag
info,reserve_umpire,Habib Enesi
info,match_referee,SA Fritz
info,winner,Nigeria
info,winner_wickets,6
info,player,Ghana,JK Vifah
info,player,Ghana,SK Awiah
info,player,Ghana,OH Agbomadzie
info,player,Ghana,R Bakum
info,player,Ghana,Devender Singh
info,player,Ghana,DK Anefie
info,player,Ghana,R Baaleri
info,player,Ghana,P Ayoleyine
info,player,Ghana,TK Joseph
info,player,Ghana,KS Bagabena
info,player,Ghana,G Bakiweyem
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,A Shreshta
info,player,Nigeria,AE Isesele
info,player,Nigeria,CN Onwuzulike
info,player,Nigeria,IO Okpe
info,player,Nigeria,P Useni
info,player,Nigeria,Joshua Asia
info,player,Nigeria,SA Okpe
info,player,Nigeria,R Abdulkareem
info,player,Nigeria,P Aho
info,player,Nigeria,C Udekwe
info,registry,people,A Shreshta,4e9af8f6
info,registry,people,AE Isesele,5249f9c4
info,registry,people,C Udekwe,74a578d0
info,registry,people,CN Onwuzulike,715dbf27
info,registry,people,DK Anefie,f98c24ec
info,registry,people,Devender Singh,68e21fb1
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,G Bakiweyem,5fe3709e
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,IO Okpe,1c5c3dce
info,registry,people,JK Vifah,a1448a10
info,registry,people,Joshua Asia,c4ecc42c
info,registry,people,KS Bagabena,1ce4f664
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,OH Agbomadzie,b38a9f73
info,registry,people,P Aho,2e392afa
info,registry,people,P Ayoleyine,20e3030d
info,registry,people,P Useni,71fa64d6
info,registry,people,R Abdulkareem,b9e07e44
info,registry,people,R Baaleri,26c9b5be
info,registry,people,R Bakum,c74c583b
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SA Okpe,681f522f
info,registry,people,SK Awiah,bc3fc527
info,registry,people,Sulaimon Runsewe,c25d26dc
info,registry,people,TK Joseph,4fafd79a
ball,1,0.1,Ghana,JK Vifah,SK Awiah,P Aho,1,0,,,,,,"",""
ball,1,0.2,Ghana,SK Awiah,JK Vifah,P Aho,0,0,,,,,,"",""
ball,1,0.3,Ghana,SK Awiah,JK Vifah,P Aho,0,0,,,,,,"",""
ball,1,0.4,Ghana,SK Awiah,JK Vifah,P Aho,0,0,,,,,,"",""
ball,1,0.5,Ghana,SK Awiah,JK Vifah,P Aho,0,0,,,,,,caught,SK Awiah
ball,1,0.6,Ghana,OH Agbomadzie,JK Vifah,P Aho,0,1,1,,,,,"",""
ball,1,0.7,Ghana,OH Agbomadzie,JK Vifah,P Aho,0,5,5,,,,,"",""
ball,1,0.8,Ghana,OH Agbomadzie,JK Vifah,P Aho,0,0,,,,,,"",""
ball,1,1.1,Ghana,JK Vifah,OH Agbomadzie,P Useni,1,0,,,,,,"",""
ball,1,1.2,Ghana,OH Agbomadzie,JK Vifah,P Useni,0,0,,,,,,"",""
ball,1,1.3,Ghana,OH Agbomadzie,JK Vifah,P Useni,0,0,,,,,,"",""
ball,1,1.4,Ghana,OH Agbomadzie,JK Vifah,P Useni,0,0,,,,,,"",""
ball,1,1.5,Ghana,OH Agbomadzie,JK Vifah,P Useni,1,0,,,,,,"",""
ball,1,1.6,Ghana,JK Vifah,OH Agbomadzie,P Useni,0,0,,,,,,"",""
ball,1,2.1,Ghana,OH Agbomadzie,JK Vifah,P Aho,0,0,,,,,,"",""
ball,1,2.2,Ghana,OH Agbomadzie,JK Vifah,P Aho,0,0,,,,,,"",""
ball,1,2.3,Ghana,OH Agbomadzie,JK Vifah,P Aho,0,0,,,,,,"",""
ball,1,2.4,Ghana,OH Agbomadzie,JK Vifah,P Aho,4,0,,,,,,"",""
ball,1,2.5,Ghana,OH Agbomadzie,JK Vifah,P Aho,1,0,,,,,,"",""
ball,1,2.6,Ghana,JK Vifah,OH Agbomadzie,P Aho,0,0,,,,,,lbw,JK Vifah
ball,1,3.1,Ghana,OH Agbomadzie,R Bakum,P Useni,1,0,,,,,,"",""
ball,1,3.2,Ghana,R Bakum,OH Agbomadzie,P Useni,0,0,,,,,,"",""
ball,1,3.3,Ghana,R Bakum,OH Agbomadzie,P Useni,0,0,,,,,,"",""
ball,1,3.4,Ghana,R Bakum,OH Agbomadzie,P Useni,2,0,,,,,,"",""
