version,1.7.0
info,balls_per_over,6
info,team,South Africa
info,team,West Indies
info,gender,male
info,season,2022/23
info,date,2023/03/25
info,event,West Indies tour of South Africa
info,match_number,1
info,venue,"SuperSport Park, Centurion"
info,city,Centurion
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,R Powell
info,umpire,A Paleker
info,umpire,BP Jele
info,reserve_umpire,S George
info,tv_umpire,AT Holdstock
info,match_referee,RS Madugalle
info,winner,West Indies
info,winner_wickets,3
info,player,South Africa,Q de Kock
info,player,South Africa,RR Hendricks
info,player,South Africa,RR Rossouw
info,player,South Africa,AK Markram
info,player,South Africa,DA Miller
info,player,South Africa,H Klaasen
info,player,South Africa,WD Parnell
info,player,South Africa,SSB Magala
info,player,South Africa,BC Fortuin
info,player,South Africa,A Nortje
info,player,South Africa,T Shamsi
info,player,West Indies,BA King
info,player,West Indies,KR Mayers
info,player,West Indies,J Charles
info,player,West Indies,N Pooran
info,player,West Indies,R Powell
info,player,West Indies,R Shepherd
info,player,West Indies,OF Smith
info,player,West Indies,AJ Hosein
info,player,West Indies,RL Chase
info,player,West Indies,AS Joseph
info,player,West Indies,SS Cottrell
info,registry,people,A Nortje,acdc62f5
info,registry,people,A Paleker,634b11ac
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AK Markram,6a26221c
info,registry,people,AS Joseph,b0946605
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,BA King,7fca84b7
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,BP Jele,7bb1331e
info,registry,people,DA Miller,d67d5f00
info,registry,people,H Klaasen,235c2bb6
info,registry,people,J Charles,09a9d073
info,registry,people,KR Mayers,73c18486
info,registry,people,N Pooran,3241e3fd
info,registry,people,OF Smith,23cca426
info,registry,people,Q de Kock,372455c4
info,registry,people,R Powell,650d5e49
info,registry,people,R Shepherd,c5aef772
info,registry,people,RL Chase,3feda4fa
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,RS Madugalle,766b5798
info,registry,people,S George,6d9e5a54
info,registry,people,SS Cottrell,a1d053dd
info,registry,people,SSB Magala,8361e524
info,registry,people,T Shamsi,a03bba42
info,registry,people,WD Parnell,3a60e0b5
ball,1,0.1,South Africa,Q de Kock,RR Hendricks,AJ Hosein,0,0,,,,,,caught,Q de Kock
ball,1,0.2,South Africa,RR Rossouw,RR Hendricks,AJ Hosein,0,0,,,,,,"",""
ball,1,0.3,South Africa,RR Rossouw,RR Hendricks,AJ Hosein,0,0,,,,,,"",""
ball,1,0.4,South Africa,RR Rossouw,RR Hendricks,AJ Hosein,2,0,,,,,,"",""
ball,1,0.5,South Africa,RR Rossouw,RR Hendricks,AJ Hosein,4,0,,,,,,"",""
ball,1,0.6,South Africa,RR Rossouw,RR Hendricks,AJ Hosein,4,0,,,,,,"",""
ball,1,1.1,South Africa,RR Hendricks,RR Rossouw,SS Cottrell,0,0,,,,,,"",""
ball,1,1.2,South Africa,RR Hendricks,RR Rossouw,SS Cottrell,1,0,,,,,,"",""
ball,1,1.3,South Africa,RR Rossouw,RR Hendricks,SS Cottrell,0,1,1,,,,,"",""
ball,1,1.4,South Africa,RR Rossouw,RR Hendricks,SS Cottrell,0,0,,,,,,"",""
ball,1,1.5,South Africa,RR Rossouw,RR Hendricks,SS Cottrell,0,0,,,,,,caught,RR Rossouw
ball,1,1.6,South Africa,AK Markram,RR Hendricks,SS Cottrell,0,0,,,,,,"",""
ball,1,1.7,South Africa,AK Markram,RR Hendricks,SS Cottrell,0,0,,,,,,"",""
ball,1,2.1,South Africa,RR Hendricks,AK Markram,AJ Hosein,1,0,,,,,,"",""
ball,1,2.2,South Africa,AK Markram,RR Hendricks,AJ Hosein,0,0,,,,,,"",""
ball,1,2.3,South Africa,AK Markram,RR Hendricks,AJ Hosein,4,0,,,,,,"",""
ball,1,2.4,South Africa,AK Markram,RR Hendricks,AJ Hosein,1,0,,,,,,"",""
ball,1,2.5,South Africa,RR Hendricks,AK Markram,AJ Hosein,6,0,,,,,,"",""
ball,1,2.6,South Africa,RR Hendricks,AK Markram,AJ Hosein,6,0,,,,,,"",""
ball,1,3.1,South Africa,AK Markram,RR Hendricks,AS Joseph,4,0,,,,,,"",""
ball,1,3.2,South Africa,AK Markram,RR Hendricks,AS Joseph,4,0,,,,,,"",""
ball,1,3.3,South Africa,AK Markram,RR Hendricks,AS Joseph,1,0,,,,,,"",""
