version,1.7.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Kuwait
info,gender,male
info,season,2024
info,date,2024/08/27
info,event,Malaysia Tri-Nation T20I Series
info,venue,"Selangor Turf Club, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Kuwait
info,toss_decision,field
info,player_of_match,R Sandaruwan
info,umpire,John Prakash
info,umpire,Mudassar Rasool
info,reserve_umpire,N Sivan
info,match_referee,R Madhavan
info,winner,Kuwait
info,winner_wickets,8
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,Rajab Hussain
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,A Shukla
info,player,Hong Kong,Ateeq Iqbal
info,player,Hong Kong,Anas Khan
info,player,Kuwait,CV Anto
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,Usman Patel
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Shiraz Khan
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Mohamed Shafeeq
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Adnan Idrees
info,player,Kuwait,Muhammad Umar
info,registry,people,A Shukla,a1e80d06
info,registry,people,Adnan Idrees,0e34c23a
info,registry,people,Anas Khan,66a7f213
info,registry,people,Ateeq Iqbal,29b322c7
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,CV Anto,c01ca5af
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,John Prakash,b5f3d429
info,registry,people,M Coetzee,3f149080
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mohamed Shafeeq,ff13b10c
info,registry,people,Mudassar Rasool,d5bf4c14
info,registry,people,Muhammad Umar,0abc33ff
info,registry,people,N Sivan,8f4a0102
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,R Madhavan,d0cff8fd
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Rajab Hussain,b5a62769
info,registry,people,Shiraz Khan,f310704c
info,registry,people,Usman Patel,415c6ccf
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Yasin Patel,ecdd8d60
info,registry,people,Zeeshan Ali,987187b9
ball,1,0.1,Hong Kong,M Coetzee,Zeeshan Ali,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,0.2,Hong Kong,M Coetzee,Zeeshan Ali,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,0.3,Hong Kong,M Coetzee,Zeeshan Ali,Mohamed Shafeeq,4,0,,,,,,"",""
ball,1,0.4,Hong Kong,M Coetzee,Zeeshan Ali,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,0.5,Hong Kong,M Coetzee,Zeeshan Ali,Mohamed Shafeeq,0,0,,,,,,run out,M Coetzee
ball,1,0.6,Hong Kong,Zeeshan Ali,Nizakat Khan,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,1.1,Hong Kong,Zeeshan Ali,Nizakat Khan,MNM Aslam,0,0,,,,,,"",""
ball,1,1.2,Hong Kong,Zeeshan Ali,Nizakat Khan,MNM Aslam,0,0,,,,,,"",""
ball,1,1.3,Hong Kong,Zeeshan Ali,Nizakat Khan,MNM Aslam,1,0,,,,,,"",""
ball,1,1.4,Hong Kong,Nizakat Khan,Zeeshan Ali,MNM Aslam,6,0,,,,,,"",""
ball,1,1.5,Hong Kong,Nizakat Khan,Zeeshan Ali,MNM Aslam,0,0,,,,,,"",""
ball,1,1.6,Hong Kong,Nizakat Khan,Zeeshan Ali,MNM Aslam,0,0,,,,,,"",""
ball,1,2.1,Hong Kong,Zeeshan Ali,Nizakat Khan,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,2.2,Hong Kong,Nizakat Khan,Zeeshan Ali,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.3,Hong Kong,Nizakat Khan,Zeeshan Ali,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.4,Hong Kong,Nizakat Khan,Zeeshan Ali,Mohamed Shafeeq,2,0,,,,,,"",""
ball,1,2.5,Hong Kong,Nizakat Khan,Zeeshan Ali,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,2.6,Hong Kong,Zeeshan Ali,Nizakat Khan,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,3.1,Hong Kong,Nizakat Khan,Zeeshan Ali,Yasin Patel,1,0,,,,,,"",""
ball,1,3.2,Hong Kong,Zeeshan Ali,Nizakat Khan,Yasin Patel,0,0,,,,,,"",""
ball,1,3.3,Hong Kong,Zeeshan Ali,Nizakat Khan,Yasin Patel,0,0,,,,,,"",""
