version,1.7.0
info,balls_per_over,6
info,team,Kuwait
info,team,Malaysia
info,gender,male
info,season,2024
info,date,2024/08/22
info,event,Malaysia Tri-Nation T20I Series
info,match_number,2
info,venue,"Selangor Turf Club, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Malaysia
info,toss_decision,field
info,player_of_match,Syed Aziz
info,umpire,Mudassar Rasool
info,umpire,N Sivan
info,reserve_umpire,John Prakash
info,match_referee,R Madhavan
info,winner,Malaysia
info,winner_wickets,5
info,player,Kuwait,CV Anto
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,Adnan Idrees
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Nimish Lathief
info,player,Kuwait,Muhammad Umar
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Nawaf Ahmed
info,player,Kuwait,Mohamed Shafeeq
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Rajkumar Rajendran
info,player,Malaysia,S Muniandy
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,M Syahadat Ramli
info,player,Malaysia,Ahmed Aqeel
info,player,Malaysia,Khizar Hayat
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,Rizwan Haider
info,player,Malaysia,Pavandeep Singh
info,registry,people,Adnan Idrees,0e34c23a
info,registry,people,Ahmed Aqeel,92f0e10e
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,CV Anto,c01ca5af
info,registry,people,John Prakash,b5f3d429
info,registry,people,Khizar Hayat,78bbeba1
info,registry,people,M Syahadat Ramli,5efa8af3
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mohamed Shafeeq,ff13b10c
info,registry,people,Mudassar Rasool,d5bf4c14
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Muhammad Umar,0abc33ff
info,registry,people,N Sivan,8f4a0102
info,registry,people,Nawaf Ahmed,bfe33045
info,registry,people,Nimish Lathief,b561e8ea
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,R Madhavan,d0cff8fd
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Rajkumar Rajendran,33ef1bd5
info,registry,people,Rizwan Haider,dc60abdc
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,Syed Aziz,6667067e
info,registry,people,Yasin Patel,ecdd8d60
ball,1,0.1,Kuwait,CV Anto,R Sandaruwan,Rizwan Haider,2,0,,,,,,"",""
ball,1,0.2,Kuwait,CV Anto,R Sandaruwan,Rizwan Haider,0,0,,,,,,"",""
ball,1,0.3,Kuwait,CV Anto,R Sandaruwan,Rizwan Haider,6,0,,,,,,"",""
ball,1,0.4,Kuwait,CV Anto,R Sandaruwan,Rizwan Haider,0,0,,,,,,"",""
ball,1,0.5,Kuwait,CV Anto,R Sandaruwan,Rizwan Haider,0,0,,,,,,caught,CV Anto
ball,1,0.6,Kuwait,Adnan Idrees,R Sandaruwan,Rizwan Haider,0,0,,,,,,"",""
ball,1,1.1,Kuwait,R Sandaruwan,Adnan Idrees,Pavandeep Singh,0,0,,,,,,caught,R Sandaruwan
ball,1,1.2,Kuwait,Meet Bhavsar,Adnan Idrees,Pavandeep Singh,0,0,,,,,,"",""
ball,1,1.3,Kuwait,Meet Bhavsar,Adnan Idrees,Pavandeep Singh,0,0,,,,,,"",""
ball,1,1.4,Kuwait,Meet Bhavsar,Adnan Idrees,Pavandeep Singh,0,0,,,,,,"",""
ball,1,1.5,Kuwait,Meet Bhavsar,Adnan Idrees,Pavandeep Singh,0,0,,,,,,"",""
ball,1,1.6,Kuwait,Meet Bhavsar,Adnan Idrees,Pavandeep Singh,0,0,,,,,,"",""
ball,1,2.1,Kuwait,Adnan Idrees,Meet Bhavsar,Rizwan Haider,0,0,,,,,,"",""
ball,1,2.2,Kuwait,Adnan Idrees,Meet Bhavsar,Rizwan Haider,0,0,,,,,,"",""
ball,1,2.3,Kuwait,Adnan Idrees,Meet Bhavsar,Rizwan Haider,0,0,,,,,,"",""
ball,1,2.4,Kuwait,Adnan Idrees,Meet Bhavsar,Rizwan Haider,0,0,,,,,,"",""
ball,1,2.5,Kuwait,Adnan Idrees,Meet Bhavsar,Rizwan Haider,0,0,,,,,,"",""
ball,1,2.6,Kuwait,Adnan Idrees,Meet Bhavsar,Rizwan Haider,2,0,,,,,,"",""
ball,1,3.1,Kuwait,Meet Bhavsar,Adnan Idrees,Pavandeep Singh,0,0,,,,,,"",""
ball,1,3.2,Kuwait,Meet Bhavsar,Adnan Idrees,Pavandeep Singh,1,0,,,,,,"",""
ball,1,3.3,Kuwait,Adnan Idrees,Meet Bhavsar,Pavandeep Singh,1,0,,,,,,"",""
ball,1,3.4,Kuwait,Meet Bhavsar,Adnan Idrees,Pavandeep Singh,4,0,,,,,,"",""
