version,1.7.0
info,balls_per_over,6
info,team,Nepal
info,team,Thailand
info,gender,female
info,season,2024/25
info,date,2025/02/01
info,event,Nepal Women's T20I Tri-Series
info,match_number,3
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Nepal
info,toss_decision,bat
info,player_of_match,N Koncharoenkai
info,umpire,BB Pradhan
info,umpire,VK Jha
info,reserve_umpire,Kamalesh Thakur
info,tv_umpire,U Regmi
info,match_referee,Mohammed Shafique
info,winner,Thailand
info,winner_wickets,4
info,player,Nepal,Samjhana Khadka
info,player,Nepal,MM Chaudhary
info,player,Nepal,I Barma
info,player,Nepal,Puja Mahato
info,player,Nepal,RC Belbashi
info,player,Nepal,K Kunwar
info,player,Nepal,B Rawal
info,player,Nepal,K Joshi
info,player,Nepal,SR Magar
info,player,Nepal,AK Yadav
info,player,Nepal,M Upadhayay
info,player,Thailand,N Boochatham
info,player,Thailand,A Suwanchonrathi
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chaiwai
info,player,Thailand,P Maya
info,player,Thailand,C Sutthiruang
info,player,Thailand,S Khiaoto
info,player,Thailand,T Putthawong
info,player,Thailand,S Laomi
info,player,Thailand,S Chaturongrattana
info,player,Thailand,O Kamchomphu
info,registry,people,A Suwanchonrathi,43a2244f
info,registry,people,AK Yadav,a1886d3f
info,registry,people,B Rawal,4d1cc284
info,registry,people,BB Pradhan,8603d942
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,I Barma,521abce2
info,registry,people,K Joshi,0cd297b9
info,registry,people,K Kunwar,97e6e41a
info,registry,people,Kamalesh Thakur,6926399e
info,registry,people,M Upadhayay,cdda92be
info,registry,people,MM Chaudhary,f4b9d4e0
info,registry,people,Mohammed Shafique,a9ca87b8
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,Puja Mahato,4b95058b
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,SR Magar,61c22ad0
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,U Regmi,d1ce9fb5
info,registry,people,VK Jha,5d46eb72
ball,1,0.1,Nepal,Samjhana Khadka,MM Chaudhary,C Sutthiruang,0,0,,,,,,"",""
ball,1,0.2,Nepal,Samjhana Khadka,MM Chaudhary,C Sutthiruang,0,0,,,,,,lbw,Samjhana Khadka
ball,1,0.3,Nepal,I Barma,MM Chaudhary,C Sutthiruang,0,0,,,,,,"",""
ball,1,0.4,Nepal,I Barma,MM Chaudhary,C Sutthiruang,0,0,,,,,,"",""
ball,1,0.5,Nepal,I Barma,MM Chaudhary,C Sutthiruang,0,0,,,,,,"",""
ball,1,0.6,Nepal,I Barma,MM Chaudhary,C Sutthiruang,0,0,,,,,,"",""
ball,1,1.1,Nepal,MM Chaudhary,I Barma,P Maya,0,0,,,,,,"",""
ball,1,1.2,Nepal,MM Chaudhary,I Barma,P Maya,1,0,,,,,,"",""
ball,1,1.3,Nepal,I Barma,MM Chaudhary,P Maya,0,0,,,,,,"",""
ball,1,1.4,Nepal,I Barma,MM Chaudhary,P Maya,4,1,,1,,,,"",""
ball,1,1.5,Nepal,I Barma,MM Chaudhary,P Maya,0,0,,,,,,"",""
ball,1,1.6,Nepal,I Barma,MM Chaudhary,P Maya,0,0,,,,,,"",""
ball,1,1.7,Nepal,I Barma,MM Chaudhary,P Maya,0,0,,,,,,"",""
ball,1,2.1,Nepal,MM Chaudhary,I Barma,C Sutthiruang,0,0,,,,,,"",""
ball,1,2.2,Nepal,MM Chaudhary,I Barma,C Sutthiruang,0,0,,,,,,"",""
ball,1,2.3,Nepal,MM Chaudhary,I Barma,C Sutthiruang,1,0,,,,,,"",""
ball,1,2.4,Nepal,I Barma,MM Chaudhary,C Sutthiruang,2,0,,,,,,"",""
ball,1,2.5,Nepal,I Barma,MM Chaudhary,C Sutthiruang,1,0,,,,,,"",""
ball,1,2.6,Nepal,MM Chaudhary,I Barma,C Sutthiruang,0,0,,,,,,"",""
ball,1,3.1,Nepal,I Barma,MM Chaudhary,P Maya,1,0,,,,,,"",""
ball,1,3.2,Nepal,MM Chaudhary,I Barma,P Maya,0,0,,,,,,bowled,MM Chaudhary
ball,1,3.3,Nepal,Puja Mahato,I Barma,P Maya,1,0,,,,,,"",""
ball,1,3.4,Nepal,I Barma,Puja Mahato,P Maya,0,0,,,,,,"",""
ball,1,3.5,Nepal,I Barma,Puja Mahato,P Maya,4,0,,,,,,"",""
