version,1.7.0
info,balls_per_over,6
info,team,Isle of Man
info,team,Greece
info,gender,female
info,season,2024
info,date,2024/08/24
info,event,Women's Valletta Cup
info,match_number,8
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,Greece
info,toss_decision,field
info,player_of_match,L Barnett
info,umpire,S Fernando
info,umpire,Vinay Malhotra
info,reserve_umpire,M Loveday
info,winner,Isle of Man
info,winner_runs,69
info,player,Isle of Man,L Barnett
info,player,Isle of Man,A Littlejohns
info,player,Isle of Man,C Henery
info,player,Isle of Man,K Carney
info,player,Isle of Man,S Hassall
info,player,Isle of Man,R Webster
info,player,Isle of Man,C Perry
info,player,Isle of Man,D Murphy
info,player,Isle of Man,F Martin
info,player,Isle of Man,J Hicks
info,player,Isle of Man,A Thorpe
info,player,Greece,S Georgota
info,player,Greece,DS Vlachopoulou
info,player,Greece,A Savvani
info,player,Greece,M Syrioti
info,player,Greece,A Argyropoulou
info,player,Greece,A Makri
info,player,Greece,M Polimeri
info,player,Greece,M Vervitsioti
info,player,Greece,T Parisi-mesimeri
info,player,Greece,E Tzanavari
info,player,Greece,N Dolianiti
info,registry,people,A Argyropoulou,3f1bfd19
info,registry,people,A Littlejohns,3498a188
info,registry,people,A Makri,98affc04
info,registry,people,A Savvani,5d006a1a
info,registry,people,A Thorpe,6c54bd7a
info,registry,people,C Henery,03d9e80f
info,registry,people,C Perry,152d3c9d
info,registry,people,D Murphy,c4f42529
info,registry,people,DS Vlachopoulou,5c884c17
info,registry,people,E Tzanavari,c68b8478
info,registry,people,F Martin,b6bc4d31
info,registry,people,J Hicks,802febe2
info,registry,people,K Carney,7097b37e
info,registry,people,L Barnett,d9a2345a
info,registry,people,M Loveday,e4b126b0
info,registry,people,M Polimeri,35ccd83f
info,registry,people,M Syrioti,f9df0aa2
info,registry,people,M Vervitsioti,6fd40892
info,registry,people,N Dolianiti,096149b4
info,registry,people,R Webster,cdfb59b8
info,registry,people,S Fernando,bbeb5b15
info,registry,people,S Georgota,d07b6842
info,registry,people,S Hassall,39f23bd0
info,registry,people,T Parisi-mesimeri,c002a904
info,registry,people,Vinay Malhotra,452837d1
ball,1,0.1,Isle of Man,L Barnett,A Littlejohns,M Syrioti,1,0,,,,,,"",""
ball,1,0.2,Isle of Man,A Littlejohns,L Barnett,M Syrioti,0,1,1,,,,,"",""
ball,1,0.3,Isle of Man,A Littlejohns,L Barnett,M Syrioti,0,0,,,,,,"",""
ball,1,0.4,Isle of Man,A Littlejohns,L Barnett,M Syrioti,1,0,,,,,,"",""
ball,1,0.5,Isle of Man,L Barnett,A Littlejohns,M Syrioti,1,0,,,,,,"",""
ball,1,0.6,Isle of Man,A Littlejohns,L Barnett,M Syrioti,0,0,,,,,,"",""
ball,1,0.7,Isle of Man,A Littlejohns,L Barnett,M Syrioti,0,0,,,,,,bowled,A Littlejohns
ball,1,1.1,Isle of Man,L Barnett,C Henery,M Vervitsioti,4,0,,,,,,"",""
ball,1,1.2,Isle of Man,L Barnett,C Henery,M Vervitsioti,0,0,,,,,,"",""
ball,1,1.3,Isle of Man,L Barnett,C Henery,M Vervitsioti,4,0,,,,,,"",""
ball,1,1.4,Isle of Man,L Barnett,C Henery,M Vervitsioti,0,0,,,,,,"",""
ball,1,1.5,Isle of Man,L Barnett,C Henery,M Vervitsioti,0,0,,,,,,"",""
ball,1,1.6,Isle of Man,L Barnett,C Henery,M Vervitsioti,1,0,,,,,,"",""
ball,1,2.1,Isle of Man,L Barnett,C Henery,M Syrioti,0,0,,,,,,"",""
ball,1,2.2,Isle of Man,L Barnett,C Henery,M Syrioti,0,0,,,,,,"",""
ball,1,2.3,Isle of Man,L Barnett,C Henery,M Syrioti,0,0,,,,,,"",""
ball,1,2.4,Isle of Man,L Barnett,C Henery,M Syrioti,0,0,,,,,,"",""
ball,1,2.5,Isle of Man,L Barnett,C Henery,M Syrioti,0,0,,,,,,"",""
ball,1,2.6,Isle of Man,L Barnett,C Henery,M Syrioti,4,0,,,,,,"",""
ball,1,3.1,Isle of Man,C Henery,L Barnett,M Vervitsioti,0,0,,,,,,"",""
ball,1,3.2,Isle of Man,C Henery,L Barnett,M Vervitsioti,0,0,,,,,,"",""
ball,1,3.3,Isle of Man,C Henery,L Barnett,M Vervitsioti,0,0,,,,,,"",""
ball,1,3.4,Isle of Man,C Henery,L Barnett,M Vervitsioti,6,0,,,,,,"",""
ball,1,3.5,Isle of Man,C Henery,L Barnett,M Vervitsioti,2,0,,,,,,"",""
ball,1,3.6,Isle of Man,C Henery,L Barnett,M Vervitsioti,4,0,,,,,,"",""
ball,1,4.1,Isle of Man,L Barnett,C Henery,M Syrioti,0,0,,,,,,"",""
ball,1,4.2,Isle of Man,L Barnett,C Henery,M Syrioti,0,0,,,,,,"",""
ball,1,4.3,Isle of Man,L Barnett,C Henery,M Syrioti,2,0,,,,,,"",""
ball,1,4.4,Isle of Man,L Barnett,C Henery,M Syrioti,1,0,,,,,,"",""
ball,1,4.5,Isle of Man,C Henery,L Barnett,M Syrioti,1,0,,,,,,"",""
ball,1,4.6,Isle of Man,L Barnett,C Henery,M Syrioti,4,0,,,,,,"",""
ball,1,5.1,Isle of Man,C Henery,L Barnett,A Savvani,1,0,,,,,,"",""
ball,1,5.2,Isle of Man,L Barnett,C Henery,A Savvani,0,0,,,,,,"",""
