version,1.7.0
info,balls_per_over,6
info,team,Cambodia
info,team,Saudi Arabia
info,gender,male
info,season,2023/24
info,date,2024/02/11
info,event,Asian Cricket Council Men's Challenger Cup
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Saudi Arabia
info,toss_decision,field
info,player_of_match,Hisham Sheikh
info,umpire,Samad Akbar
info,umpire,V Kalidas
info,reserve_umpire,Dorji
info,tv_umpire,N Sivan
info,match_referee,Iftikhar Ahmed
info,winner,Saudi Arabia
info,winner_wickets,5
info,player,Cambodia,Lakshit Gupta
info,player,Cambodia,US Hathinjar
info,player,Cambodia,RR Sharan
info,player,Cambodia,Luqman Butt
info,player,Cambodia,Salvin Stanly
info,player,Cambodia,E Beukes
info,player,Cambodia,Utkarsh Jain
info,player,Cambodia,Phon Bunthean
info,player,Cambodia,Prasad Anish
info,player,Cambodia,GC Murtaza
info,player,Cambodia,S Godara
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Waqar Ul Hassan
info,player,Saudi Arabia,Waji Ul Hassan
info,player,Saudi Arabia,Hisham Sheikh
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,Usman Khalid
info,player,Saudi Arabia,Haseeb Ghafoor
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,Atif-Ur-Rehman
info,player,Saudi Arabia,Ishtiaq Ahmad
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Atif-Ur-Rehman,d20e22f7
info,registry,people,Dorji,a6b688ef
info,registry,people,E Beukes,fbb8cf87
info,registry,people,Faisal Khan,a7553f15
info,registry,people,GC Murtaza,6cc4d322
info,registry,people,Haseeb Ghafoor,454a7269
info,registry,people,Hisham Sheikh,c4441675
info,registry,people,Iftikhar Ahmed,973d561e
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,Lakshit Gupta,52b090a6
info,registry,people,Luqman Butt,7a6decc8
info,registry,people,Manan Ali,d0b643e1
info,registry,people,N Sivan,8f4a0102
info,registry,people,Phon Bunthean,8981deb8
info,registry,people,Prasad Anish,a21d62c9
info,registry,people,RR Sharan,7cff331d
info,registry,people,S Godara,dd7dd27a
info,registry,people,Salvin Stanly,a6631b55
info,registry,people,Samad Akbar,f05bd21b
info,registry,people,US Hathinjar,5f77f23a
info,registry,people,Usman Khalid,314f0889
info,registry,people,Usman Najeeb,615688b6
info,registry,people,Utkarsh Jain,1f4a78c5
info,registry,people,V Kalidas,42d76418
info,registry,people,Waji Ul Hassan,6892f9c3
info,registry,people,Waqar Ul Hassan,b704da31
ball,1,0.1,Cambodia,Lakshit Gupta,US Hathinjar,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,0.2,Cambodia,Lakshit Gupta,US Hathinjar,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,0.3,Cambodia,Lakshit Gupta,US Hathinjar,Ishtiaq Ahmad,1,0,,,,,,"",""
ball,1,0.4,Cambodia,US Hathinjar,Lakshit Gupta,Ishtiaq Ahmad,4,0,,,,,,"",""
ball,1,0.5,Cambodia,US Hathinjar,Lakshit Gupta,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,0.6,Cambodia,US Hathinjar,Lakshit Gupta,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,1.1,Cambodia,Lakshit Gupta,US Hathinjar,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,1.2,Cambodia,Lakshit Gupta,US Hathinjar,Atif-Ur-Rehman,1,0,,,,,,"",""
ball,1,1.3,Cambodia,US Hathinjar,Lakshit Gupta,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,1.4,Cambodia,US Hathinjar,Lakshit Gupta,Atif-Ur-Rehman,1,0,,,,,,"",""
ball,1,1.5,Cambodia,Lakshit Gupta,US Hathinjar,Atif-Ur-Rehman,1,0,,,,,,"",""
ball,1,1.6,Cambodia,US Hathinjar,Lakshit Gupta,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,2.1,Cambodia,Lakshit Gupta,US Hathinjar,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,2.2,Cambodia,Lakshit Gupta,US Hathinjar,Ishtiaq Ahmad,0,1,1,,,,,"",""
ball,1,2.3,Cambodia,Lakshit Gupta,US Hathinjar,Ishtiaq Ahmad,1,0,,,,,,"",""
ball,1,2.4,Cambodia,US Hathinjar,Lakshit Gupta,Ishtiaq Ahmad,4,0,,,,,,"",""
ball,1,2.5,Cambodia,US Hathinjar,Lakshit Gupta,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,2.6,Cambodia,US Hathinjar,Lakshit Gupta,Ishtiaq Ahmad,0,1,,,,1,,"",""
ball,1,2.7,Cambodia,Lakshit Gupta,US Hathinjar,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,3.1,Cambodia,US Hathinjar,Lakshit Gupta,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,3.2,Cambodia,US Hathinjar,Lakshit Gupta,Atif-Ur-Rehman,4,0,,,,,,"",""
ball,1,3.3,Cambodia,US Hathinjar,Lakshit Gupta,Atif-Ur-Rehman,0,0,,,,,,"",""
