version,1.7.0
info,balls_per_over,6
info,team,Indonesia
info,team,Thailand
info,gender,male
info,season,2023/24
info,date,2024/02/07
info,event,Asian Cricket Council Men's Challenger Cup
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Thailand
info,toss_decision,field
info,player_of_match,J Coetzee
info,umpire,Dorji
info,umpire,Osama Saad Alnadwi
info,reserve_umpire,MV Krishnakumar
info,tv_umpire,Hardeep Jadeja
info,match_referee,Iftikhar Ahmed
info,winner,Thailand
info,winner_wickets,7
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,PR Surve
info,player,Indonesia,KD Kesuma
info,player,Indonesia,KC Ramamoorthy
info,player,Indonesia,IK Gamantika
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,F Banunaek
info,player,Indonesia,GD Arta
info,player,Indonesia,RM Koda
info,player,Thailand,AP Yadav
info,player,Thailand,C Chatphaisan
info,player,Thailand,N Nuntarach
info,player,Thailand,AV Lazarus
info,player,Thailand,J Coetzee
info,player,Thailand,Robert Raina
info,player,Thailand,MK Thakur
info,player,Thailand,C Pengkumta
info,player,Thailand,N Senamontree
info,player,Thailand,Y Saranonnakkun
info,player,Thailand,Sarawut Maliwan
info,registry,people,AP Yadav,a5501504
info,registry,people,AV Lazarus,30c917bf
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Anjar Tadarus,72275237
info,registry,people,C Chatphaisan,85c56be8
info,registry,people,C Pengkumta,b3540b2a
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,Dorji,a6b688ef
info,registry,people,F Banunaek,3c8faed4
info,registry,people,GD Arta,e969e580
info,registry,people,Hardeep Jadeja,552cf5a2
info,registry,people,IK Gamantika,4d7c5b56
info,registry,people,IKEG Artawan,190957d2
info,registry,people,Iftikhar Ahmed,973d561e
info,registry,people,J Coetzee,3ad06915
info,registry,people,KC Ramamoorthy,a89c270b
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,MK Thakur,2d9451cc
info,registry,people,MV Krishnakumar,b99e3162
info,registry,people,N Nuntarach,9e3575ce
info,registry,people,N Senamontree,44e00a4c
info,registry,people,Osama Saad Alnadwi,a7e2fb32
info,registry,people,PR Surve,206efeb1
info,registry,people,RM Koda,f0a45427
info,registry,people,Robert Raina,8e38d470
info,registry,people,Sarawut Maliwan,36a0a88c
info,registry,people,Y Saranonnakkun,9c93c0a3
ball,1,0.1,Indonesia,Anjar Tadarus,PR Surve,J Coetzee,0,0,,,,,,"",""
ball,1,0.2,Indonesia,Anjar Tadarus,PR Surve,J Coetzee,0,0,,,,,,"",""
ball,1,0.3,Indonesia,Anjar Tadarus,PR Surve,J Coetzee,0,0,,,,,,"",""
ball,1,0.4,Indonesia,Anjar Tadarus,PR Surve,J Coetzee,0,0,,,,,,lbw,Anjar Tadarus
ball,1,0.5,Indonesia,KD Kesuma,PR Surve,J Coetzee,0,0,,,,,,"",""
ball,1,0.6,Indonesia,KD Kesuma,PR Surve,J Coetzee,0,0,,,,,,"",""
ball,1,1.1,Indonesia,PR Surve,KD Kesuma,MK Thakur,4,0,,,,,,"",""
ball,1,1.2,Indonesia,PR Surve,KD Kesuma,MK Thakur,0,0,,,,,,"",""
ball,1,1.3,Indonesia,PR Surve,KD Kesuma,MK Thakur,0,0,,,,,,"",""
ball,1,1.4,Indonesia,PR Surve,KD Kesuma,MK Thakur,1,0,,,,,,"",""
ball,1,1.5,Indonesia,KD Kesuma,PR Surve,MK Thakur,0,0,,,,,,"",""
ball,1,1.6,Indonesia,KD Kesuma,PR Surve,MK Thakur,0,0,,,,,,"",""
ball,1,2.1,Indonesia,PR Surve,KD Kesuma,J Coetzee,0,0,,,,,,"",""
ball,1,2.2,Indonesia,PR Surve,KD Kesuma,J Coetzee,0,0,,,,,,"",""
ball,1,2.3,Indonesia,PR Surve,KD Kesuma,J Coetzee,0,0,,,,,,"",""
ball,1,2.4,Indonesia,PR Surve,KD Kesuma,J Coetzee,0,0,,,,,,"",""
ball,1,2.5,Indonesia,PR Surve,KD Kesuma,J Coetzee,0,0,,,,,,"",""
ball,1,2.6,Indonesia,PR Surve,KD Kesuma,J Coetzee,0,0,,,,,,"",""
ball,1,3.1,Indonesia,KD Kesuma,PR Surve,MK Thakur,0,1,1,,,,,"",""
ball,1,3.2,Indonesia,KD Kesuma,PR Surve,MK Thakur,0,0,,,,,,"",""
ball,1,3.3,Indonesia,KD Kesuma,PR Surve,MK Thakur,1,0,,,,,,"",""
ball,1,3.4,Indonesia,PR Surve,KD Kesuma,MK Thakur,1,0,,,,,,"",""
ball,1,3.5,Indonesia,KD Kesuma,PR Surve,MK Thakur,4,0,,,,,,"",""
ball,1,3.6,Indonesia,KD Kesuma,PR Surve,MK Thakur,0,0,,,,,,"",""
ball,1,3.7,Indonesia,KD Kesuma,PR Surve,MK Thakur,0,0,,,,,,"",""
