version,1.7.0
info,balls_per_over,6
info,team,Thailand
info,team,Saudi Arabia
info,gender,male
info,season,2023/24
info,date,2024/02/13
info,event,Quadrangular Twenty20 Series (Thailand)
info,match_number,3
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Saudi Arabia
info,toss_decision,field
info,player_of_match,Abdul Waheed
info,umpire,Arif Ansari
info,umpire,KB Suresh
info,reserve_umpire,AK Rana
info,winner,Saudi Arabia
info,winner_wickets,5
info,player,Thailand,AP Yadav
info,player,Thailand,C Chatphaisan
info,player,Thailand,S Desungnoen
info,player,Thailand,AV Lazarus
info,player,Thailand,N Nuntarach
info,player,Thailand,C Pengkumta
info,player,Thailand,Robert Raina
info,player,Thailand,Y Saranonnakkun
info,player,Thailand,N Senamontree
info,player,Thailand,K Namchaikul
info,player,Thailand,Sarawut Maliwan
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Kashif Siddique
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Waji Ul Hassan
info,player,Saudi Arabia,Usman Khalid
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,Hisham Sheikh
info,player,Saudi Arabia,Ishtiaq Ahmad
info,player,Saudi Arabia,Atif-Ur-Rehman
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,Zain Ul Abidin
info,registry,people,AK Rana,562d74d0
info,registry,people,AP Yadav,a5501504
info,registry,people,AV Lazarus,30c917bf
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Arif Ansari,95957b9e
info,registry,people,Atif-Ur-Rehman,d20e22f7
info,registry,people,C Chatphaisan,85c56be8
info,registry,people,C Pengkumta,b3540b2a
info,registry,people,Faisal Khan,a7553f15
info,registry,people,Hisham Sheikh,c4441675
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,K Namchaikul,f4ccbe6f
info,registry,people,KB Suresh,40316210
info,registry,people,Kashif Siddique,2513b4fe
info,registry,people,Manan Ali,d0b643e1
info,registry,people,N Nuntarach,9e3575ce
info,registry,people,N Senamontree,44e00a4c
info,registry,people,Robert Raina,8e38d470
info,registry,people,S Desungnoen,3eb26dc4
info,registry,people,Sarawut Maliwan,36a0a88c
info,registry,people,Usman Khalid,314f0889
info,registry,people,Usman Najeeb,615688b6
info,registry,people,Waji Ul Hassan,6892f9c3
info,registry,people,Y Saranonnakkun,9c93c0a3
info,registry,people,Zain Ul Abidin,b93b87ae
ball,1,0.1,Thailand,AP Yadav,C Chatphaisan,Zain Ul Abidin,0,0,,,,,,"",""
ball,1,0.2,Thailand,AP Yadav,C Chatphaisan,Zain Ul Abidin,0,0,,,,,,"",""
ball,1,0.3,Thailand,AP Yadav,C Chatphaisan,Zain Ul Abidin,1,0,,,,,,"",""
ball,1,0.4,Thailand,C Chatphaisan,AP Yadav,Zain Ul Abidin,0,0,,,,,,"",""
ball,1,0.5,Thailand,C Chatphaisan,AP Yadav,Zain Ul Abidin,0,0,,,,,,"",""
ball,1,0.6,Thailand,C Chatphaisan,AP Yadav,Zain Ul Abidin,0,0,,,,,,"",""
ball,1,1.1,Thailand,AP Yadav,C Chatphaisan,Atif-Ur-Rehman,1,0,,,,,,"",""
ball,1,1.2,Thailand,C Chatphaisan,AP Yadav,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,1.3,Thailand,C Chatphaisan,AP Yadav,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,1.4,Thailand,C Chatphaisan,AP Yadav,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,1.5,Thailand,C Chatphaisan,AP Yadav,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,1.6,Thailand,C Chatphaisan,AP Yadav,Atif-Ur-Rehman,2,0,,,,,,"",""
ball,1,2.1,Thailand,AP Yadav,C Chatphaisan,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,2.2,Thailand,AP Yadav,C Chatphaisan,Ishtiaq Ahmad,0,1,1,,,,,"",""
ball,1,2.3,Thailand,AP Yadav,C Chatphaisan,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,2.4,Thailand,AP Yadav,C Chatphaisan,Ishtiaq Ahmad,0,2,,,,2,,"",""
ball,1,2.5,Thailand,AP Yadav,C Chatphaisan,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,2.6,Thailand,AP Yadav,C Chatphaisan,Ishtiaq Ahmad,0,0,,,,,,lbw,AP Yadav
ball,1,2.7,Thailand,S Desungnoen,C Chatphaisan,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,3.1,Thailand,C Chatphaisan,S Desungnoen,Atif-Ur-Rehman,1,0,,,,,,run out,C Chatphaisan
ball,1,3.2,Thailand,AV Lazarus,S Desungnoen,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,3.3,Thailand,AV Lazarus,S Desungnoen,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,3.4,Thailand,AV Lazarus,S Desungnoen,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,3.5,Thailand,AV Lazarus,S Desungnoen,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,3.6,Thailand,AV Lazarus,S Desungnoen,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,4.1,Thailand,S Desungnoen,AV Lazarus,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,4.2,Thailand,S Desungnoen,AV Lazarus,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,4.3,Thailand,S Desungnoen,AV Lazarus,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,4.4,Thailand,S Desungnoen,AV Lazarus,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,4.5,Thailand,S Desungnoen,AV Lazarus,Ishtiaq Ahmad,2,0,,,,,,"",""
ball,1,4.6,Thailand,S Desungnoen,AV Lazarus,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,5.1,Thailand,AV Lazarus,S Desungnoen,Usman Najeeb,4,0,,,,,,"",""
ball,1,5.2,Thailand,AV Lazarus,S Desungnoen,Usman Najeeb,0,0,,,,,,"",""
ball,1,5.3,Thailand,AV Lazarus,S Desungnoen,Usman Najeeb,0,1,,,,1,,"",""
ball,1,5.4,Thailand,S Desungnoen,AV Lazarus,Usman Najeeb,0,0,,,,,,"",""
