version,1.7.0
info,balls_per_over,6
info,team,Austria
info,team,Denmark
info,gender,male
info,season,2023
info,date,2023/07/24
info,event,ICC Men's T20 World Cup Europe Region Qualifier
info,match_number,11
info,venue,"Goldenacre, Edinburgh"
info,city,Edinburgh
info,toss_winner,Denmark
info,toss_decision,field
info,player_of_match,ND Laegsgaard
info,umpire,DH Mclean
info,umpire,N Bathi
info,reserve_umpire,J Jensen
info,match_referee,Phil Whitticase
info,winner,Denmark
info,winner_wickets,8
info,player,Austria,N Wijesekera
info,player,Austria,Iqbal Hossain
info,player,Austria,Razmal Shigiwal
info,player,Austria,A Randhawa
info,player,Austria,Shahil Momin
info,player,Austria,MPS Cheema
info,player,Austria,Jaweed Sadran
info,player,Austria,Umair Tariq
info,player,Austria,Abdullah Akbarjan
info,player,Austria,Sahel Zadran
info,player,Austria,A Nathwani
info,player,Denmark,ND Laegsgaard
info,player,Denmark,T Bharaj
info,player,Denmark,Abdul Hashim
info,player,Denmark,SA Ahmad
info,player,Denmark,JS Henriksen
info,player,Denmark,S Thanikaithasan
info,player,Denmark,Surya Anand
info,player,Denmark,Saud Munir
info,player,Denmark,Saran Aslam
info,player,Denmark,Abdullah Mahmood
info,player,Denmark,Lucky Ali
info,registry,people,A Nathwani,f1c4f2ea
info,registry,people,A Randhawa,1798078c
info,registry,people,Abdul Hashim,73b1db79
info,registry,people,Abdullah Akbarjan,5de198db
info,registry,people,Abdullah Mahmood,926c6d3c
info,registry,people,DH Mclean,281d4749
info,registry,people,Iqbal Hossain,e1824e7d
info,registry,people,J Jensen,fc80e7a2
info,registry,people,JS Henriksen,2c6052a6
info,registry,people,Jaweed Sadran,c1f05d1d
info,registry,people,Lucky Ali,28b032ac
info,registry,people,MPS Cheema,97181d1b
info,registry,people,N Bathi,96a0edf9
info,registry,people,N Wijesekera,85dcc96d
info,registry,people,ND Laegsgaard,b0f2d3bd
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,Razmal Shigiwal,60cc80ac
info,registry,people,S Thanikaithasan,498aacac
info,registry,people,SA Ahmad,8de618ab
info,registry,people,Sahel Zadran,dae28050
info,registry,people,Saran Aslam,2a00735b
info,registry,people,Saud Munir,5902f2eb
info,registry,people,Shahil Momin,46821fbd
info,registry,people,Surya Anand,ef141f36
info,registry,people,T Bharaj,49556abb
info,registry,people,Umair Tariq,67ec2b09
ball,1,0.1,Austria,N Wijesekera,Iqbal Hossain,SA Ahmad,0,0,,,,,,"",""
ball,1,0.2,Austria,N Wijesekera,Iqbal Hossain,SA Ahmad,1,0,,,,,,"",""
ball,1,0.3,Austria,Iqbal Hossain,N Wijesekera,SA Ahmad,2,0,,,,,,"",""
ball,1,0.4,Austria,Iqbal Hossain,N Wijesekera,SA Ahmad,6,0,,,,,,"",""
ball,1,0.5,Austria,Iqbal Hossain,N Wijesekera,SA Ahmad,4,0,,,,,,"",""
ball,1,0.6,Austria,Iqbal Hossain,N Wijesekera,SA Ahmad,4,0,,,,,,"",""
ball,1,1.1,Austria,N Wijesekera,Iqbal Hossain,Surya Anand,0,0,,,,,,"",""
ball,1,1.2,Austria,N Wijesekera,Iqbal Hossain,Surya Anand,0,0,,,,,,"",""
ball,1,1.3,Austria,N Wijesekera,Iqbal Hossain,Surya Anand,0,0,,,,,,"",""
ball,1,1.4,Austria,N Wijesekera,Iqbal Hossain,Surya Anand,0,0,,,,,,"",""
ball,1,1.5,Austria,N Wijesekera,Iqbal Hossain,Surya Anand,1,0,,,,,,"",""
ball,1,1.6,Austria,Iqbal Hossain,N Wijesekera,Surya Anand,4,0,,,,,,"",""
ball,1,2.1,Austria,N Wijesekera,Iqbal Hossain,ND Laegsgaard,0,0,,,,,,bowled,N Wijesekera
ball,1,2.2,Austria,Razmal Shigiwal,Iqbal Hossain,ND Laegsgaard,0,0,,,,,,"",""
ball,1,2.3,Austria,Razmal Shigiwal,Iqbal Hossain,ND Laegsgaard,1,0,,,,,,"",""
ball,1,2.4,Austria,Iqbal Hossain,Razmal Shigiwal,ND Laegsgaard,0,0,,,,,,lbw,Iqbal Hossain
ball,1,2.5,Austria,A Randhawa,Razmal Shigiwal,ND Laegsgaard,1,0,,,,,,"",""
ball,1,2.6,Austria,Razmal Shigiwal,A Randhawa,ND Laegsgaard,0,0,,,,,,"",""
ball,1,3.1,Austria,A Randhawa,Razmal Shigiwal,Surya Anand,1,0,,,,,,"",""
ball,1,3.2,Austria,Razmal Shigiwal,A Randhawa,Surya Anand,0,0,,,,,,"",""
ball,1,3.3,Austria,Razmal Shigiwal,A Randhawa,Surya Anand,1,0,,,,,,"",""
ball,1,3.4,Austria,A Randhawa,Razmal Shigiwal,Surya Anand,0,0,,,,,,"",""
