version,1.7.0
info,balls_per_over,6
info,team,Austria
info,team,Germany
info,gender,male
info,season,2023
info,date,2023/07/21
info,event,ICC Men's T20 World Cup Europe Region Qualifier
info,match_number,5
info,venue,"Goldenacre, Edinburgh"
info,city,Edinburgh
info,toss_winner,Austria
info,toss_decision,bat
info,player_of_match,J van Heerden
info,umpire,DA Haggo
info,umpire,N Bathi
info,reserve_umpire,M Jameson
info,match_referee,Phil Whitticase
info,winner,Germany
info,winner_wickets,9
info,player,Austria,Iqbal Hossain
info,player,Austria,M Simpson-Parker
info,player,Austria,Razmal Shigiwal
info,player,Austria,Shahil Momin
info,player,Austria,A Randhawa
info,player,Austria,Aqib Iqbal
info,player,Austria,Mirza Ahsan
info,player,Austria,Abdullah Akbarjan
info,player,Austria,MPS Cheema
info,player,Austria,Sahel Zadran
info,player,Austria,A Nathwani
info,player,Germany,V Ganesan
info,player,Germany,J van Heerden
info,player,Germany,MJ Richardson
info,player,Germany,Faisal Mubashir
info,player,Germany,Sahir Naqash
info,player,Germany,DA Blignaut
info,player,Germany,Sachin Mandy
info,player,Germany,D Klein
info,player,Germany,Muslim Yar
info,player,Germany,Ghulam Ahmadi
info,player,Germany,SVE Bharathi
info,registry,people,A Nathwani,f1c4f2ea
info,registry,people,A Randhawa,1798078c
info,registry,people,Abdullah Akbarjan,5de198db
info,registry,people,Aqib Iqbal,14157abf
info,registry,people,D Klein,aeab0d4f
info,registry,people,DA Blignaut,cfcf189f
info,registry,people,DA Haggo,e6789a88
info,registry,people,Faisal Mubashir,ad5342dc
info,registry,people,Ghulam Ahmadi,2dfe0612
info,registry,people,Iqbal Hossain,e1824e7d
info,registry,people,J van Heerden,01549705
info,registry,people,M Jameson,bdf1ffe3
info,registry,people,M Simpson-Parker,fecd828e
info,registry,people,MJ Richardson,22176fe7
info,registry,people,MPS Cheema,97181d1b
info,registry,people,Mirza Ahsan,6b74c13b
info,registry,people,Muslim Yar,37d8d19a
info,registry,people,N Bathi,96a0edf9
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,Razmal Shigiwal,60cc80ac
info,registry,people,SVE Bharathi,6a63c29c
info,registry,people,Sachin Mandy,501fca0d
info,registry,people,Sahel Zadran,dae28050
info,registry,people,Sahir Naqash,352e589f
info,registry,people,Shahil Momin,46821fbd
info,registry,people,V Ganesan,baa7dd37
ball,1,0.1,Austria,Iqbal Hossain,M Simpson-Parker,D Klein,0,0,,,,,,bowled,Iqbal Hossain
ball,1,0.2,Austria,Razmal Shigiwal,M Simpson-Parker,D Klein,0,0,,,,,,"",""
ball,1,0.3,Austria,Razmal Shigiwal,M Simpson-Parker,D Klein,0,1,,,,1,,"",""
ball,1,0.4,Austria,M Simpson-Parker,Razmal Shigiwal,D Klein,0,1,1,,,,,"",""
ball,1,0.5,Austria,M Simpson-Parker,Razmal Shigiwal,D Klein,0,0,,,,,,"",""
ball,1,0.6,Austria,M Simpson-Parker,Razmal Shigiwal,D Klein,2,0,,,,,,"",""
ball,1,0.7,Austria,M Simpson-Parker,Razmal Shigiwal,D Klein,0,0,,,,,,"",""
ball,1,1.1,Austria,Razmal Shigiwal,M Simpson-Parker,Ghulam Ahmadi,0,0,,,,,,"",""
ball,1,1.2,Austria,Razmal Shigiwal,M Simpson-Parker,Ghulam Ahmadi,1,0,,,,,,"",""
ball,1,1.3,Austria,M Simpson-Parker,Razmal Shigiwal,Ghulam Ahmadi,0,0,,,,,,"",""
ball,1,1.4,Austria,M Simpson-Parker,Razmal Shigiwal,Ghulam Ahmadi,1,0,,,,,,"",""
ball,1,1.5,Austria,Razmal Shigiwal,M Simpson-Parker,Ghulam Ahmadi,1,0,,,,,,"",""
ball,1,1.6,Austria,M Simpson-Parker,Razmal Shigiwal,Ghulam Ahmadi,0,0,,,,,,"",""
ball,1,2.1,Austria,Razmal Shigiwal,M Simpson-Parker,D Klein,0,1,1,,,,,"",""
ball,1,2.2,Austria,Razmal Shigiwal,M Simpson-Parker,D Klein,0,0,,,,,,"",""
ball,1,2.3,Austria,Razmal Shigiwal,M Simpson-Parker,D Klein,0,0,,,,,,"",""
ball,1,2.4,Austria,Razmal Shigiwal,M Simpson-Parker,D Klein,0,0,,,,,,"",""
ball,1,2.5,Austria,Razmal Shigiwal,M Simpson-Parker,D Klein,4,0,,,,,,"",""
ball,1,2.6,Austria,Razmal Shigiwal,M Simpson-Parker,D Klein,0,0,,,,,,"",""
ball,1,2.7,Austria,Razmal Shigiwal,M Simpson-Parker,D Klein,4,0,,,,,,"",""
ball,1,3.1,Austria,M Simpson-Parker,Razmal Shigiwal,Ghulam Ahmadi,0,0,,,,,,"",""
