version,1.6.0
info,balls_per_over,6
info,team,India
info,team,England
info,gender,male
info,season,2018
info,date,2018/07/06
info,event,India tour of Ireland and England
info,match_number,2
info,venue,Sophia Gardens
info,city,Cardiff
info,toss_winner,England
info,toss_decision,field
info,player_of_match,AD Hales
info,umpire,RT Robinson
info,umpire,MA Gough
info,reserve_umpire,RJ Bailey
info,tv_umpire,AG Wharf
info,match_referee,DC Boon
info,winner,England
info,winner_wickets,5
info,player,India,RG Sharma
info,player,India,S Dhawan
info,player,India,KL Rahul
info,player,India,V Kohli
info,player,India,SK Raina
info,player,India,MS Dhoni
info,player,India,HH Pandya
info,player,India,YS Chahal
info,player,India,Kuldeep Yadav
info,player,India,B Kumar
info,player,India,UT Yadav
info,player,England,JJ Roy
info,player,England,JC Buttler
info,player,England,JE Root
info,player,England,AD Hales
info,player,England,EJG Morgan
info,player,England,JM Bairstow
info,player,England,DJ Willey
info,player,England,CJ Jordan
info,player,England,LE Plunkett
info,player,England,AU Rashid
info,player,England,JT Ball
info,registry,people,AD Hales,92aeac25
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AU Rashid,249d60c9
info,registry,people,B Kumar,2e81a32d
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DC Boon,e79a1fe3
info,registry,people,DJ Willey,7f048519
info,registry,people,EJG Morgan,d2a6c0e6
info,registry,people,HH Pandya,dbe50b21
info,registry,people,JC Buttler,99b75528
info,registry,people,JE Root,a343262c
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JT Ball,3d0ed2f9
info,registry,people,KL Rahul,b17e2f24
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,LE Plunkett,9a963804
info,registry,people,MA Gough,76752ac8
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,RG Sharma,740742ef
info,registry,people,RJ Bailey,6bd04fa5
info,registry,people,RT Robinson,b143c87d
info,registry,people,S Dhawan,0a476045
info,registry,people,SK Raina,1dc12ab9
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Kohli,ba607b88
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,India,RG Sharma,S Dhawan,DJ Willey,0,0,,,,,,"",""
ball,1,0.2,India,RG Sharma,S Dhawan,DJ Willey,0,0,,,,,,"",""
ball,1,0.3,India,RG Sharma,S Dhawan,DJ Willey,0,0,,,,,,"",""
ball,1,0.4,India,RG Sharma,S Dhawan,DJ Willey,0,0,,,,,,"",""
ball,1,0.5,India,RG Sharma,S Dhawan,DJ Willey,1,0,,,,,,"",""
ball,1,0.6,India,S Dhawan,RG Sharma,DJ Willey,0,0,,,,,,"",""
ball,1,1.1,India,RG Sharma,S Dhawan,JT Ball,0,1,,,,1,,"",""
ball,1,1.2,India,S Dhawan,RG Sharma,JT Ball,0,0,,,,,,"",""
ball,1,1.3,India,S Dhawan,RG Sharma,JT Ball,1,0,,,,,,"",""
ball,1,1.4,India,RG Sharma,S Dhawan,JT Ball,4,0,,,,,,"",""
ball,1,1.5,India,RG Sharma,S Dhawan,JT Ball,0,0,,,,,,"",""
ball,1,1.6,India,RG Sharma,S Dhawan,JT Ball,0,0,,,,,,caught,RG Sharma
ball,1,2.1,India,KL Rahul,S Dhawan,DJ Willey,1,0,,,,,,"",""
ball,1,2.2,India,S Dhawan,KL Rahul,DJ Willey,0,0,,,,,,"",""
ball,1,2.3,India,S Dhawan,KL Rahul,DJ Willey,1,0,,,,,,"",""
ball,1,2.4,India,KL Rahul,S Dhawan,DJ Willey,3,0,,,,,,"",""
ball,1,2.5,India,S Dhawan,KL Rahul,DJ Willey,1,0,,,,,,"",""
ball,1,2.6,India,KL Rahul,S Dhawan,DJ Willey,0,0,,,,,,"",""
ball,1,3.1,India,S Dhawan,KL Rahul,JT Ball,1,0,,,,,,"",""
ball,1,3.2,India,KL Rahul,S Dhawan,JT Ball,1,0,,,,,,"",""
ball,1,3.3,India,S Dhawan,KL Rahul,JT Ball,1,0,,,,,,"",""
ball,1,3.4,India,KL Rahul,S Dhawan,JT Ball,1,0,,,,,,"",""
ball,1,3.5,India,S Dhawan,KL Rahul,JT Ball,4,0,,,,,,"",""
ball,1,3.6,India,S Dhawan,KL Rahul,JT Ball,1,0,,,,,,"",""
ball,1,4.1,India,S Dhawan,KL Rahul,LE Plunkett,0,0,,,,,,"",""
ball,1,4.2,India,S Dhawan,KL Rahul,LE Plunkett,0,0,,,,,,run out,S Dhawan
ball,1,4.3,India,KL Rahul,V Kohli,LE Plunkett,0,0,,,,,,"",""
ball,1,4.4,India,KL Rahul,V Kohli,LE Plunkett,0,0,,,,,,"",""
ball,1,4.5,India,KL Rahul,V Kohli,LE Plunkett,0,0,,,,,,bowled,KL Rahul
ball,1,4.6,India,SK Raina,V Kohli,LE Plunkett,1,0,,,,,,"",""
ball,1,5.1,India,SK Raina,V Kohli,CJ Jordan,4,0,,,,,,"",""
ball,1,5.2,India,SK Raina,V Kohli,CJ Jordan,1,0,,,,,,"",""
ball,1,5.3,India,V Kohli,SK Raina,CJ Jordan,1,0,,,,,,"",""
ball,1,5.4,India,SK Raina,V Kohli,CJ Jordan,0,0,,,,,,"",""
ball,1,5.5,India,SK Raina,V Kohli,CJ Jordan,2,0,,,,,,"",""
ball,1,5.6,India,SK Raina,V Kohli,CJ Jordan,0,0,,,,,,"",""
ball,1,6.1,India,V Kohli,SK Raina,LE Plunkett,0,0,,,,,,"",""
ball,1,6.2,India,V Kohli,SK Raina,LE Plunkett,0,0,,,,,,"",""
ball,1,6.3,India,V Kohli,SK Raina,LE Plunkett,0,0,,,,,,"",""
