version,1.7.0
info,balls_per_over,6
info,team,Singapore
info,team,Bahrain
info,gender,male
info,season,2024/25
info,date,2025/03/01
info,event,Bahrain tour of Singapore
info,match_number,2
info,venue,Singapore National Cricket Ground
info,city,Singapore
info,toss_winner,Singapore
info,toss_decision,bat
info,player_of_match,Sohail Ahmed
info,umpire,A Natarajan
info,umpire,Sathish Balasubramaniam
info,reserve_umpire,Hardeep Jadeja
info,match_referee,Sarika Prasad
info,winner,Bahrain
info,winner_wickets,7
info,player,Singapore,Aman Desai
info,player,Singapore,S Gulecha
info,player,Singapore,Aritra Dutta
info,player,Singapore,G Gune
info,player,Singapore,Manpreet Singh
info,player,Singapore,S Chandramohan
info,player,Singapore,IP Swaney
info,player,Singapore,AR Puri
info,player,Singapore,AAhan Achar
info,player,Singapore,PSRK Sudarshan
info,player,Singapore,H Venkataram
info,player,Bahrain,Fiaz Ahmed
info,player,Bahrain,P Kurup
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Ali Dawood
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Ubaid Minhas
info,player,Bahrain,Abdul Majid Abbasi
info,player,Bahrain,Asif Shaikh
info,registry,people,A Natarajan,a2b73ae0
info,registry,people,AAhan Achar,797f52cc
info,registry,people,AR Puri,1f490b28
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Ali Dawood,596982e6
info,registry,people,Aman Desai,c10fd8f9
info,registry,people,Aritra Dutta,f3a5c378
info,registry,people,Asif Shaikh,231daa19
info,registry,people,Fiaz Ahmed,df1f2f29
info,registry,people,G Gune,5491a9ff
info,registry,people,H Venkataram,e61cee7b
info,registry,people,Hardeep Jadeja,552cf5a2
info,registry,people,IP Swaney,430b7399
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,Manpreet Singh,e9d6a2ce
info,registry,people,P Kurup,50ceaef6
info,registry,people,PSRK Sudarshan,3a44a4e4
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Chandramohan,2a6ccc1c
info,registry,people,S Gulecha,b70ec03e
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Sathish Balasubramaniam,b4794f2a
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,Ubaid Minhas,87493f1d
ball,1,0.1,Singapore,Aman Desai,S Gulecha,Ali Dawood,0,0,,,,,,"",""
ball,1,0.2,Singapore,Aman Desai,S Gulecha,Ali Dawood,0,1,,,,1,,"",""
ball,1,0.3,Singapore,S Gulecha,Aman Desai,Ali Dawood,0,2,2,,,,,"",""
ball,1,0.4,Singapore,Aman Desai,S Gulecha,Ali Dawood,1,0,,,,,,"",""
ball,1,0.5,Singapore,S Gulecha,Aman Desai,Ali Dawood,1,0,,,,,,"",""
ball,1,0.6,Singapore,Aman Desai,S Gulecha,Ali Dawood,2,0,,,,,,"",""
ball,1,0.7,Singapore,Aman Desai,S Gulecha,Ali Dawood,3,0,,,,,,"",""
ball,1,1.1,Singapore,Aman Desai,S Gulecha,Imran Anwar,0,0,,,,,,"",""
ball,1,1.2,Singapore,Aman Desai,S Gulecha,Imran Anwar,0,0,,,,,,run out,Aman Desai
ball,1,1.3,Singapore,Aritra Dutta,S Gulecha,Imran Anwar,1,0,,,,,,"",""
ball,1,1.4,Singapore,S Gulecha,Aritra Dutta,Imran Anwar,0,0,,,,,,caught,S Gulecha
ball,1,1.5,Singapore,G Gune,Aritra Dutta,Imran Anwar,0,0,,,,,,"",""
ball,1,1.6,Singapore,G Gune,Aritra Dutta,Imran Anwar,1,0,,,,,,"",""
ball,1,2.1,Singapore,G Gune,Aritra Dutta,Rizwan Butt,0,0,,,,,,"",""
ball,1,2.2,Singapore,G Gune,Aritra Dutta,Rizwan Butt,0,0,,,,,,"",""
ball,1,2.3,Singapore,G Gune,Aritra Dutta,Rizwan Butt,1,0,,,,,,"",""
ball,1,2.4,Singapore,Aritra Dutta,G Gune,Rizwan Butt,0,0,,,,,,bowled,Aritra Dutta
ball,1,2.5,Singapore,Manpreet Singh,G Gune,Rizwan Butt,0,0,,,,,,"",""
ball,1,2.6,Singapore,Manpreet Singh,G Gune,Rizwan Butt,0,0,,,,,,"",""
ball,1,3.1,Singapore,G Gune,Manpreet Singh,Imran Anwar,0,0,,,,,,"",""
ball,1,3.2,Singapore,G Gune,Manpreet Singh,Imran Anwar,0,0,,,,,,"",""
ball,1,3.3,Singapore,G Gune,Manpreet Singh,Imran Anwar,0,0,,,,,,"",""
ball,1,3.4,Singapore,G Gune,Manpreet Singh,Imran Anwar,0,0,,,,,,"",""
ball,1,3.5,Singapore,G Gune,Manpreet Singh,Imran Anwar,0,0,,,,,,"",""
ball,1,3.6,Singapore,G Gune,Manpreet Singh,Imran Anwar,0,0,,,,,,"",""
ball,1,4.1,Singapore,Manpreet Singh,G Gune,Abdul Majid Abbasi,1,0,,,,,,"",""
ball,1,4.2,Singapore,G Gune,Manpreet Singh,Abdul Majid Abbasi,1,0,,,,,,"",""
ball,1,4.3,Singapore,Manpreet Singh,G Gune,Abdul Majid Abbasi,1,0,,,,,,"",""
ball,1,4.4,Singapore,G Gune,Manpreet Singh,Abdul Majid Abbasi,4,0,,,,,,"",""
ball,1,4.5,Singapore,G Gune,Manpreet Singh,Abdul Majid Abbasi,3,0,,,,,,"",""
