version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Papua New Guinea
info,gender,male
info,season,2023/24
info,date,2024/03/17
info,event,Papua New Guinea tour of Malaysia
info,match_number,2
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Malaysia
info,toss_decision,bat
info,player_of_match,Virandeep Singh
info,umpire,D Sevakumaran
info,umpire,Nasir Ali
info,winner,Malaysia
info,winner_runs,63
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,S Muniandy
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Ahmed Aqeel
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,Muhammad Wafiq
info,player,Malaysia,Fitri Sham
info,player,Malaysia,Pavandeep Singh
info,player,Papua New Guinea,L Siaka
info,player,Papua New Guinea,S Bau
info,player,Papua New Guinea,HGV Vare
info,player,Papua New Guinea,H Hiri
info,player,Papua New Guinea,CJA Amini
info,player,Papua New Guinea,K Doriga
info,player,Papua New Guinea,N Vanua
info,player,Papua New Guinea,N Pokana
info,player,Papua New Guinea,SI Kamea
info,player,Papua New Guinea,J Kariko
info,player,Papua New Guinea,JWW Gardner
info,registry,people,Ahmed Aqeel,92f0e10e
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,CJA Amini,4d84ad05
info,registry,people,D Sevakumaran,b235cb97
info,registry,people,Fitri Sham,d2ec068c
info,registry,people,H Hiri,9dc3ea7e
info,registry,people,HGV Vare,98299b67
info,registry,people,J Kariko,cde067e1
info,registry,people,JWW Gardner,6e61adb8
info,registry,people,K Doriga,365229a8
info,registry,people,L Siaka,6b4593ee
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Muhammad Wafiq,f104c434
info,registry,people,N Pokana,87a92b6b
info,registry,people,N Vanua,a36915ce
info,registry,people,Nasir Ali,567675c8
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,S Bau,9a95bebb
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,SI Kamea,0730a707
info,registry,people,Syed Aziz,6667067e
info,registry,people,Virandeep Singh,415d30b6
ball,1,0.1,Malaysia,Syed Aziz,Virandeep Singh,N Pokana,0,0,,,,,,"",""
ball,1,0.2,Malaysia,Syed Aziz,Virandeep Singh,N Pokana,0,0,,,,,,"",""
ball,1,0.3,Malaysia,Syed Aziz,Virandeep Singh,N Pokana,0,0,,,,,,"",""
ball,1,0.4,Malaysia,Syed Aziz,Virandeep Singh,N Pokana,0,1,,,,1,,"",""
ball,1,0.5,Malaysia,Virandeep Singh,Syed Aziz,N Pokana,0,0,,,,,,"",""
ball,1,0.6,Malaysia,Virandeep Singh,Syed Aziz,N Pokana,0,0,,,,,,"",""
ball,1,1.1,Malaysia,Syed Aziz,Virandeep Singh,JWW Gardner,2,0,,,,,,"",""
ball,1,1.2,Malaysia,Syed Aziz,Virandeep Singh,JWW Gardner,4,0,,,,,,"",""
ball,1,1.3,Malaysia,Syed Aziz,Virandeep Singh,JWW Gardner,0,0,,,,,,"",""
ball,1,1.4,Malaysia,Syed Aziz,Virandeep Singh,JWW Gardner,6,0,,,,,,"",""
ball,1,1.5,Malaysia,Syed Aziz,Virandeep Singh,JWW Gardner,6,0,,,,,,"",""
ball,1,1.6,Malaysia,Syed Aziz,Virandeep Singh,JWW Gardner,0,0,,,,,,"",""
ball,1,2.1,Malaysia,Virandeep Singh,Syed Aziz,N Pokana,1,0,,,,,,"",""
ball,1,2.2,Malaysia,Syed Aziz,Virandeep Singh,N Pokana,0,0,,,,,,"",""
ball,1,2.3,Malaysia,Syed Aziz,Virandeep Singh,N Pokana,6,0,,,,,,"",""
ball,1,2.4,Malaysia,Syed Aziz,Virandeep Singh,N Pokana,0,0,,,,,,"",""
ball,1,2.5,Malaysia,Syed Aziz,Virandeep Singh,N Pokana,0,0,,,,,,"",""
ball,1,2.6,Malaysia,Syed Aziz,Virandeep Singh,N Pokana,2,0,,,,,,"",""
ball,1,3.1,Malaysia,Virandeep Singh,Syed Aziz,S Bau,1,0,,,,,,"",""
ball,1,3.2,Malaysia,Syed Aziz,Virandeep Singh,S Bau,0,0,,,,,,"",""
ball,1,3.3,Malaysia,Syed Aziz,Virandeep Singh,S Bau,0,0,,,,,,"",""
ball,1,3.4,Malaysia,Syed Aziz,Virandeep Singh,S Bau,0,0,,,,,,"",""
