version,1.7.0
info,balls_per_over,6
info,team,Kuwait
info,team,Myanmar
info,gender,female
info,season,2023
info,date,2023/09/06
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_number,24
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Myanmar
info,toss_decision,field
info,player_of_match,Zon Lin
info,umpire,DN Subedi
info,umpire,VK Jha
info,reserve_umpire,N Janani
info,match_referee,M Nayyar
info,winner,Kuwait
info,winner_runs,7
info,player,Kuwait,Priyada Murali
info,player,Kuwait,Amna Tariq
info,player,Kuwait,Zeefa Jilani
info,player,Kuwait,Maryam Omar
info,player,Kuwait,Khadija Khalil
info,player,Kuwait,B Shanti
info,player,Kuwait,SL Gomez
info,player,Kuwait,Mariamma Hyder
info,player,Kuwait,Maria Jasvi
info,player,Kuwait,RM D'Souza
info,player,Kuwait,S Lita D'Sa
info,player,Myanmar,KM Myat
info,player,Myanmar,LL Htun
info,player,Myanmar,TT Soe
info,player,Myanmar,MPP San
info,player,Myanmar,Zon Lin
info,player,Myanmar,ZT Kyaw
info,player,Myanmar,ZL Win
info,player,Myanmar,Thae Thae Po
info,player,Myanmar,San Nyo Htwe
info,player,Myanmar,Pan Ei Phyu
info,player,Myanmar,SY Win
info,registry,people,Amna Tariq,44b53fba
info,registry,people,B Shanti,f50ca46d
info,registry,people,DN Subedi,fb0a571f
info,registry,people,KM Myat,c1b4e25c
info,registry,people,Khadija Khalil,7c61a686
info,registry,people,LL Htun,ec687c3a
info,registry,people,M Nayyar,b7bccddb
info,registry,people,MPP San,5bc290a2
info,registry,people,Maria Jasvi,4bed6af7
info,registry,people,Mariamma Hyder,c8ae2573
info,registry,people,Maryam Omar,b4d08794
info,registry,people,N Janani,d06a665d
info,registry,people,Pan Ei Phyu,9fcaeb60
info,registry,people,Priyada Murali,f4b942ae
info,registry,people,RM D'Souza,f39682a5
info,registry,people,S Lita D'Sa,a289cfa0
info,registry,people,SL Gomez,02264be0
info,registry,people,SY Win,33d65ab4
info,registry,people,San Nyo Htwe,11430949
info,registry,people,TT Soe,59f44fde
info,registry,people,Thae Thae Po,48a372a4
info,registry,people,VK Jha,5d46eb72
info,registry,people,ZL Win,b5714cf9
info,registry,people,ZT Kyaw,cdf63aaa
info,registry,people,Zeefa Jilani,3f2b40f0
info,registry,people,Zon Lin,3b492b8d
ball,1,0.1,Kuwait,Priyada Murali,Amna Tariq,LL Htun,0,1,1,,,,,"",""
ball,1,0.2,Kuwait,Priyada Murali,Amna Tariq,LL Htun,0,0,,,,,,"",""
ball,1,0.3,Kuwait,Priyada Murali,Amna Tariq,LL Htun,1,0,,,,,,"",""
ball,1,0.4,Kuwait,Amna Tariq,Priyada Murali,LL Htun,0,1,1,,,,,"",""
ball,1,0.5,Kuwait,Amna Tariq,Priyada Murali,LL Htun,1,0,,,,,,"",""
ball,1,0.6,Kuwait,Priyada Murali,Amna Tariq,LL Htun,0,0,,,,,,"",""
ball,1,0.7,Kuwait,Priyada Murali,Amna Tariq,LL Htun,0,0,,,,,,"",""
ball,1,0.8,Kuwait,Priyada Murali,Amna Tariq,LL Htun,1,0,,,,,,"",""
ball,1,1.1,Kuwait,Priyada Murali,Amna Tariq,ZL Win,0,0,,,,,,"",""
ball,1,1.2,Kuwait,Priyada Murali,Amna Tariq,ZL Win,1,0,,,,,,"",""
ball,1,1.3,Kuwait,Amna Tariq,Priyada Murali,ZL Win,0,1,,,1,,,"",""
ball,1,1.4,Kuwait,Priyada Murali,Amna Tariq,ZL Win,0,0,,,,,,"",""
ball,1,1.5,Kuwait,Priyada Murali,Amna Tariq,ZL Win,0,0,,,,,,"",""
ball,1,1.6,Kuwait,Priyada Murali,Amna Tariq,ZL Win,0,0,,,,,,"",""
ball,1,2.1,Kuwait,Amna Tariq,Priyada Murali,LL Htun,1,0,,,,,,"",""
ball,1,2.2,Kuwait,Priyada Murali,Amna Tariq,LL Htun,0,0,,,,,,"",""
ball,1,2.3,Kuwait,Priyada Murali,Amna Tariq,LL Htun,0,0,,,,,,"",""
ball,1,2.4,Kuwait,Priyada Murali,Amna Tariq,LL Htun,0,0,,,,,,"",""
ball,1,2.5,Kuwait,Priyada Murali,Amna Tariq,LL Htun,0,0,,,,,,"",""
ball,1,2.6,Kuwait,Priyada Murali,Amna Tariq,LL Htun,0,0,,,,,,"",""
ball,1,3.1,Kuwait,Amna Tariq,Priyada Murali,ZL Win,0,0,,,,,,"",""
ball,1,3.2,Kuwait,Amna Tariq,Priyada Murali,ZL Win,0,1,1,,,,,"",""
ball,1,3.3,Kuwait,Amna Tariq,Priyada Murali,ZL Win,0,0,,,,,,"",""
ball,1,3.4,Kuwait,Amna Tariq,Priyada Murali,ZL Win,0,0,,,,,,"",""
ball,1,3.5,Kuwait,Amna Tariq,Priyada Murali,ZL Win,1,0,,,,,,"",""
ball,1,3.6,Kuwait,Priyada Murali,Amna Tariq,ZL Win,0,0,,,,,,"",""
ball,1,3.7,Kuwait,Priyada Murali,Amna Tariq,ZL Win,0,0,,,,,,"",""
ball,1,4.1,Kuwait,Amna Tariq,Priyada Murali,LL Htun,1,0,,,,,,"",""
ball,1,4.2,Kuwait,Priyada Murali,Amna Tariq,LL Htun,1,0,,,,,,"",""
