version,1.7.0
info,balls_per_over,6
info,team,Ireland
info,team,Netherlands
info,gender,female
info,season,2024
info,date,2024/05/03
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,20
info,venue,"Zayed Cricket Stadium, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Ireland
info,toss_decision,bat
info,player_of_match,L Delany
info,umpire,Gazi Sohel
info,umpire,L McCabe
info,reserve_umpire,S Dambanevana
info,match_referee,GS Lakshmi
info,winner,Ireland
info,winner_runs,54
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,L Delany
info,player,Ireland,L Paul
info,player,Ireland,EAJ Richardson
info,player,Ireland,R Stokell
info,player,Ireland,AN Kelly
info,player,Ireland,A Canning
info,player,Ireland,C Murray
info,player,Ireland,J Maguire
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,SL Kalis
info,player,Netherlands,B de Leede
info,player,Netherlands,R Rijke
info,player,Netherlands,HDJ Siegers
info,player,Netherlands,CH van Koolwijk
info,player,Netherlands,F Overdijk
info,player,Netherlands,HWA Landheer
info,player,Netherlands,C de Lange
info,player,Netherlands,S Siegers
info,player,Netherlands,MM Dekeling
info,registry,people,A Canning,ffd5fcd8
info,registry,people,A Hunter,e8fa03ed
info,registry,people,AN Kelly,397369e0
info,registry,people,B de Leede,b3020075
info,registry,people,C Murray,5a50471c
info,registry,people,C de Lange,c6a019f5
info,registry,people,CH van Koolwijk,27d5901c
info,registry,people,EAJ Richardson,50ee0500
info,registry,people,F Overdijk,022745d5
info,registry,people,GH Lewis,1b9d1579
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,HDJ Siegers,6d48df01
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,J Maguire,1b1c23bb
info,registry,people,L Delany,b4f73b44
info,registry,people,L McCabe,1dbc4a64
info,registry,people,L Paul,07248d8e
info,registry,people,MM Dekeling,983a0c34
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,R Rijke,42e4b276
info,registry,people,R Stokell,def7b1bb
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Siegers,9a58f2c8
info,registry,people,SL Kalis,2b150c6b
ball,1,0.1,Ireland,A Hunter,GH Lewis,IJR Zwilling,1,0,,,,,,"",""
ball,1,0.2,Ireland,GH Lewis,A Hunter,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.3,Ireland,GH Lewis,A Hunter,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.4,Ireland,GH Lewis,A Hunter,IJR Zwilling,1,0,,,,,,"",""
ball,1,0.5,Ireland,A Hunter,GH Lewis,IJR Zwilling,0,0,,,,,,caught,A Hunter
ball,1,0.6,Ireland,O Prendergast,GH Lewis,IJR Zwilling,0,0,,,,,,"",""
ball,1,1.1,Ireland,GH Lewis,O Prendergast,F Overdijk,0,0,,,,,,"",""
ball,1,1.2,Ireland,GH Lewis,O Prendergast,F Overdijk,0,1,1,,,,,"",""
ball,1,1.3,Ireland,GH Lewis,O Prendergast,F Overdijk,1,0,,,,,,"",""
ball,1,1.4,Ireland,O Prendergast,GH Lewis,F Overdijk,0,0,,,,,,"",""
ball,1,1.5,Ireland,O Prendergast,GH Lewis,F Overdijk,1,0,,,,,,"",""
ball,1,1.6,Ireland,GH Lewis,O Prendergast,F Overdijk,4,0,,,,,,"",""
ball,1,1.7,Ireland,GH Lewis,O Prendergast,F Overdijk,4,0,,,,,,"",""
ball,1,2.1,Ireland,O Prendergast,GH Lewis,IJR Zwilling,1,0,,,,,,"",""
ball,1,2.2,Ireland,GH Lewis,O Prendergast,IJR Zwilling,0,0,,,,,,caught,GH Lewis
ball,1,2.3,Ireland,L Delany,O Prendergast,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.4,Ireland,L Delany,O Prendergast,IJR Zwilling,1,0,,,,,,"",""
ball,1,2.5,Ireland,O Prendergast,L Delany,IJR Zwilling,1,0,,,,,,"",""
ball,1,2.6,Ireland,L Delany,O Prendergast,IJR Zwilling,0,0,,,,,,"",""
ball,1,3.1,Ireland,O Prendergast,L Delany,F Overdijk,0,0,,,,,,"",""
ball,1,3.2,Ireland,O Prendergast,L Delany,F Overdijk,4,0,,,,,,"",""
ball,1,3.3,Ireland,O Prendergast,L Delany,F Overdijk,0,5,5,,,,,"",""
ball,1,3.4,Ireland,O Prendergast,L Delany,F Overdijk,0,0,,,,,,"",""
