version,1.7.0
info,balls_per_over,6
info,team,France
info,team,Turkey
info,gender,female
info,season,2023
info,date,2023/06/01
info,event,ICC Women's T20 World Cup Europe Division 2 Qualifier
info,match_number,10
info,venue,"FB Fields, St Clement"
info,city,St Clement
info,toss_winner,Turkey
info,toss_decision,field
info,player_of_match,PC McGeown
info,umpire,DH Mclean
info,umpire,Jareth McCready
info,reserve_umpire,AY Harris
info,match_referee,G McCrea
info,winner,France
info,winner_runs,128
info,player,France,IY Mckeon
info,player,France,L Wykes-Templeman
info,player,France,PC McGeown
info,player,France,ME Violleau
info,player,France,TE Britton
info,player,France,AL Seddon
info,player,France,DL Graham
info,player,France,A Bester
info,player,France,Emma Patel
info,player,France,B Verdon
info,player,France,PKM Mahawattage
info,player,Turkey,G Ayan
info,player,Turkey,G Keles
info,player,Turkey,B Taylan
info,player,Turkey,K Canavarci
info,player,Turkey,O Essiz
info,player,Turkey,Ezgi Nur Kilic
info,player,Turkey,H Okcu
info,player,Turkey,Rabia Sahan
info,player,Turkey,M Sert
info,player,Turkey,G Cengiz
info,player,Turkey,HO Karaduman
info,registry,people,A Bester,047d293e
info,registry,people,AL Seddon,d12ec7b3
info,registry,people,AY Harris,90d95b82
info,registry,people,B Taylan,416863d4
info,registry,people,B Verdon,d1e75f95
info,registry,people,DH Mclean,281d4749
info,registry,people,DL Graham,907e30d9
info,registry,people,Emma Patel,030a38e0
info,registry,people,Ezgi Nur Kilic,ec8132b2
info,registry,people,G Ayan,66d258e2
info,registry,people,G Cengiz,be59ed3f
info,registry,people,G Keles,3e84a803
info,registry,people,G McCrea,46f4a901
info,registry,people,H Okcu,7ddce42e
info,registry,people,HO Karaduman,0853d18a
info,registry,people,IY Mckeon,59ff3c57
info,registry,people,Jareth McCready,84fa5232
info,registry,people,K Canavarci,556ad437
info,registry,people,L Wykes-Templeman,46c9b2bc
info,registry,people,M Sert,f32cbd5b
info,registry,people,ME Violleau,69f47625
info,registry,people,O Essiz,80d9e011
info,registry,people,PC McGeown,1aabd6fc
info,registry,people,PKM Mahawattage,a413b433
info,registry,people,Rabia Sahan,d37581d9
info,registry,people,TE Britton,5eceeb7f
ball,1,0.1,France,IY Mckeon,L Wykes-Templeman,B Taylan,0,0,,,,,,"",""
ball,1,0.2,France,IY Mckeon,L Wykes-Templeman,B Taylan,0,1,1,,,,,"",""
ball,1,0.3,France,IY Mckeon,L Wykes-Templeman,B Taylan,0,0,,,,,,"",""
ball,1,0.4,France,IY Mckeon,L Wykes-Templeman,B Taylan,0,0,,,,,,"",""
ball,1,0.5,France,IY Mckeon,L Wykes-Templeman,B Taylan,2,0,,,,,,"",""
ball,1,0.6,France,IY Mckeon,L Wykes-Templeman,B Taylan,0,0,,,,,,"",""
ball,1,0.7,France,IY Mckeon,L Wykes-Templeman,B Taylan,0,1,1,,,,,"",""
ball,1,0.8,France,IY Mckeon,L Wykes-Templeman,B Taylan,0,0,,,,,,"",""
ball,1,1.1,France,L Wykes-Templeman,IY Mckeon,G Cengiz,0,1,1,,,,,"",""
ball,1,1.2,France,L Wykes-Templeman,IY Mckeon,G Cengiz,1,0,,,,,,"",""
ball,1,1.3,France,IY Mckeon,L Wykes-Templeman,G Cengiz,0,0,,,,,,"",""
ball,1,1.4,France,IY Mckeon,L Wykes-Templeman,G Cengiz,1,0,,,,,,"",""
ball,1,1.5,France,L Wykes-Templeman,IY Mckeon,G Cengiz,0,0,,,,,,"",""
ball,1,1.6,France,L Wykes-Templeman,IY Mckeon,G Cengiz,4,0,,,,,,"",""
ball,1,1.7,France,L Wykes-Templeman,IY Mckeon,G Cengiz,4,0,,,,,,"",""
ball,1,2.1,France,IY Mckeon,L Wykes-Templeman,Rabia Sahan,1,0,,,,,,"",""
ball,1,2.2,France,L Wykes-Templeman,IY Mckeon,Rabia Sahan,0,0,,,,,,"",""
ball,1,2.3,France,L Wykes-Templeman,IY Mckeon,Rabia Sahan,0,0,,,,,,"",""
ball,1,2.4,France,L Wykes-Templeman,IY Mckeon,Rabia Sahan,0,0,,,,,,"",""
ball,1,2.5,France,L Wykes-Templeman,IY Mckeon,Rabia Sahan,0,0,,,,,,"",""
ball,1,2.6,France,L Wykes-Templeman,IY Mckeon,Rabia Sahan,0,0,,,,,,"",""
