version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,India
info,gender,male
info,season,2022/23
info,date,2023/01/29
info,event,New Zealand tour of India
info,match_number,2
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,New Zealand
info,toss_decision,bat
info,player_of_match,SA Yadav
info,umpire,KN Ananthapadmanabhan
info,umpire,Nitin Menon
info,reserve_umpire,AK Chaudhary
info,tv_umpire,J Madanagopal
info,match_referee,J Srinath
info,winner,India
info,winner_wickets,6
info,player,New Zealand,FH Allen
info,player,New Zealand,DP Conway
info,player,New Zealand,MS Chapman
info,player,New Zealand,GD Phillips
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,MG Bracewell
info,player,New Zealand,MJ Santner
info,player,New Zealand,IS Sodhi
info,player,New Zealand,LH Ferguson
info,player,New Zealand,JA Duffy
info,player,New Zealand,BM Tickner
info,player,India,Shubman Gill
info,player,India,Ishan Kishan
info,player,India,RA Tripathi
info,player,India,SA Yadav
info,player,India,Washington Sundar
info,player,India,HH Pandya
info,player,India,DJ Hooda
info,player,India,Shivam Mavi
info,player,India,Kuldeep Yadav
info,player,India,Arshdeep Singh
info,player,India,YS Chahal
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,BM Tickner,48ad3373
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DP Conway,df5a6881
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,HH Pandya,dbe50b21
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,Ishan Kishan,752f7486
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Srinath,bad31fac
info,registry,people,JA Duffy,dadbdb68
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Chapman,7fa12533
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,RA Tripathi,77255a9e
info,registry,people,SA Yadav,271f83cd
info,registry,people,Shivam Mavi,c38d3503
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Washington Sundar,f19ccfad
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,New Zealand,FH Allen,DP Conway,HH Pandya,1,0,,,,,,"",""
ball,1,0.2,New Zealand,DP Conway,FH Allen,HH Pandya,0,0,,,,,,"",""
ball,1,0.3,New Zealand,DP Conway,FH Allen,HH Pandya,0,0,,,,,,"",""
ball,1,0.4,New Zealand,DP Conway,FH Allen,HH Pandya,4,0,,,,,,"",""
ball,1,0.5,New Zealand,DP Conway,FH Allen,HH Pandya,1,0,,,,,,"",""
ball,1,0.6,New Zealand,FH Allen,DP Conway,HH Pandya,0,0,,,,,,"",""
ball,1,1.1,New Zealand,DP Conway,FH Allen,Washington Sundar,0,0,,,,,,"",""
ball,1,1.2,New Zealand,DP Conway,FH Allen,Washington Sundar,2,0,,,,,,"",""
ball,1,1.3,New Zealand,DP Conway,FH Allen,Washington Sundar,0,0,,,,,,"",""
ball,1,1.4,New Zealand,DP Conway,FH Allen,Washington Sundar,0,0,,,,,,"",""
ball,1,1.5,New Zealand,DP Conway,FH Allen,Washington Sundar,0,0,,,,,,"",""
ball,1,1.6,New Zealand,DP Conway,FH Allen,Washington Sundar,2,0,,,,,,"",""
ball,1,2.1,New Zealand,FH Allen,DP Conway,HH Pandya,4,0,,,,,,"",""
ball,1,2.2,New Zealand,FH Allen,DP Conway,HH Pandya,4,0,,,,,,"",""
ball,1,2.3,New Zealand,FH Allen,DP Conway,HH Pandya,1,0,,,,,,"",""
ball,1,2.4,New Zealand,DP Conway,FH Allen,HH Pandya,1,0,,,,,,"",""
ball,1,2.5,New Zealand,FH Allen,DP Conway,HH Pandya,0,0,,,,,,"",""
ball,1,2.6,New Zealand,FH Allen,DP Conway,HH Pandya,1,0,,,,,,"",""
ball,1,3.1,New Zealand,FH Allen,DP Conway,YS Chahal,0,0,,,,,,"",""
ball,1,3.2,New Zealand,FH Allen,DP Conway,YS Chahal,0,0,,,,,,"",""
ball,1,3.3,New Zealand,FH Allen,DP Conway,YS Chahal,0,0,,,,,,bowled,FH Allen
ball,1,3.4,New Zealand,MS Chapman,DP Conway,YS Chahal,0,0,,,,,,"",""
ball,1,3.5,New Zealand,MS Chapman,DP Conway,YS Chahal,0,0,,,,,,"",""
ball,1,3.6,New Zealand,MS Chapman,DP Conway,YS Chahal,0,0,,,,,,"",""
ball,1,4.1,New Zealand,DP Conway,MS Chapman,Washington Sundar,0,0,,,,,,"",""
ball,1,4.2,New Zealand,DP Conway,MS Chapman,Washington Sundar,1,0,,,,,,"",""
ball,1,4.3,New Zealand,MS Chapman,DP Conway,Washington Sundar,1,0,,,,,,"",""
ball,1,4.4,New Zealand,DP Conway,MS Chapman,Washington Sundar,0,5,5,,,,,"",""
ball,1,4.5,New Zealand,DP Conway,MS Chapman,Washington Sundar,0,0,,,,,,caught,DP Conway
ball,1,4.6,New Zealand,GD Phillips,MS Chapman,Washington Sundar,1,0,,,,,,"",""
ball,1,4.7,New Zealand,MS Chapman,GD Phillips,Washington Sundar,0,0,,,,,,"",""
ball,1,5.1,New Zealand,GD Phillips,MS Chapman,YS Chahal,0,1,1,,,,,"",""
ball,1,5.2,New Zealand,GD Phillips,MS Chapman,YS Chahal,0,0,,,,,,"",""
ball,1,5.3,New Zealand,GD Phillips,MS Chapman,YS Chahal,0,0,,,,,,"",""
ball,1,5.4,New Zealand,GD Phillips,MS Chapman,YS Chahal,0,0,,,,,,"",""
ball,1,5.5,New Zealand,GD Phillips,MS Chapman,YS Chahal,2,0,,,,,,"",""
ball,1,5.6,New Zealand,GD Phillips,MS Chapman,YS Chahal,1,0,,,,,,"",""
ball,1,5.7,New Zealand,MS Chapman,GD Phillips,YS Chahal,0,0,,,,,,"",""
ball,1,6.1,New Zealand,GD Phillips,MS Chapman,DJ Hooda,0,0,,,,,,"",""
ball,1,6.2,New Zealand,GD Phillips,MS Chapman,DJ Hooda,0,0,,,,,,"",""
ball,1,6.3,New Zealand,GD Phillips,MS Chapman,DJ Hooda,1,0,,,,,,"",""
ball,1,6.4,New Zealand,MS Chapman,GD Phillips,DJ Hooda,1,0,,,,,,"",""
ball,1,6.5,New Zealand,GD Phillips,MS Chapman,DJ Hooda,0,0,,,,,,bowled,GD Phillips
ball,1,6.6,New Zealand,DJ Mitchell,MS Chapman,DJ Hooda,0,0,,,,,,"",""
ball,1,7.1,New Zealand,MS Chapman,DJ Mitchell,Kuldeep Yadav,1,0,,,,,,"",""
ball,1,7.2,New Zealand,DJ Mitchell,MS Chapman,Kuldeep Yadav,0,0,,,,,,"",""
ball,1,7.3,New Zealand,DJ Mitchell,MS Chapman,Kuldeep Yadav,0,0,,,,,,"",""
ball,1,7.4,New Zealand,DJ Mitchell,MS Chapman,Kuldeep Yadav,0,0,,,,,,"",""
ball,1,7.5,New Zealand,DJ Mitchell,MS Chapman,Kuldeep Yadav,4,0,,,,,,"",""
ball,1,7.6,New Zealand,DJ Mitchell,MS Chapman,Kuldeep Yadav,0,0,,,,,,"",""
