version,1.7.0
info,balls_per_over,6
info,team,West Indies
info,team,South Africa
info,gender,male
info,season,2022/23
info,date,2023/03/26
info,event,West Indies tour of South Africa
info,match_number,2
info,venue,"SuperSport Park, Centurion"
info,city,Centurion
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,Q de Kock
info,umpire,AT Holdstock
info,umpire,A Paleker
info,reserve_umpire,S George
info,tv_umpire,BP Jele
info,match_referee,RS Madugalle
info,winner,South Africa
info,winner_wickets,6
info,player,West Indies,BA King
info,player,West Indies,KR Mayers
info,player,West Indies,J Charles
info,player,West Indies,N Pooran
info,player,West Indies,R Powell
info,player,West Indies,R Shepherd
info,player,West Indies,OF Smith
info,player,West Indies,RA Reifer
info,player,West Indies,JO Holder
info,player,West Indies,AJ Hosein
info,player,West Indies,SS Cottrell
info,player,South Africa,Q de Kock
info,player,South Africa,RR Hendricks
info,player,South Africa,RR Rossouw
info,player,South Africa,DA Miller
info,player,South Africa,AK Markram
info,player,South Africa,H Klaasen
info,player,South Africa,M Jansen
info,player,South Africa,WD Parnell
info,player,South Africa,SSB Magala
info,player,South Africa,K Rabada
info,player,South Africa,T Shamsi
info,registry,people,A Paleker,634b11ac
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AK Markram,6a26221c
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,BA King,7fca84b7
info,registry,people,BP Jele,7bb1331e
info,registry,people,DA Miller,d67d5f00
info,registry,people,H Klaasen,235c2bb6
info,registry,people,J Charles,09a9d073
info,registry,people,JO Holder,0f721006
info,registry,people,K Rabada,e62dd25d
info,registry,people,KR Mayers,73c18486
info,registry,people,M Jansen,81c36ee9
info,registry,people,N Pooran,3241e3fd
info,registry,people,OF Smith,23cca426
info,registry,people,Q de Kock,372455c4
info,registry,people,R Powell,650d5e49
info,registry,people,R Shepherd,c5aef772
info,registry,people,RA Reifer,d7725664
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,RS Madugalle,766b5798
info,registry,people,S George,6d9e5a54
info,registry,people,SS Cottrell,a1d053dd
info,registry,people,SSB Magala,8361e524
info,registry,people,T Shamsi,a03bba42
info,registry,people,WD Parnell,3a60e0b5
ball,1,0.1,West Indies,BA King,KR Mayers,WD Parnell,1,0,,,,,,"",""
ball,1,0.2,West Indies,KR Mayers,BA King,WD Parnell,1,0,,,,,,"",""
ball,1,0.3,West Indies,BA King,KR Mayers,WD Parnell,0,0,,,,,,caught,BA King
ball,1,0.4,West Indies,J Charles,KR Mayers,WD Parnell,0,0,,,,,,"",""
ball,1,0.5,West Indies,J Charles,KR Mayers,WD Parnell,4,0,,,,,,"",""
ball,1,0.6,West Indies,J Charles,KR Mayers,WD Parnell,4,0,,,,,,"",""
ball,1,1.1,West Indies,KR Mayers,J Charles,AK Markram,0,0,,,,,,"",""
ball,1,1.2,West Indies,KR Mayers,J Charles,AK Markram,0,0,,,,,,"",""
ball,1,1.3,West Indies,KR Mayers,J Charles,AK Markram,0,0,,,,,,"",""
ball,1,1.4,West Indies,KR Mayers,J Charles,AK Markram,0,0,,,,,,"",""
ball,1,1.5,West Indies,KR Mayers,J Charles,AK Markram,1,0,,,,,,"",""
ball,1,1.6,West Indies,J Charles,KR Mayers,AK Markram,0,0,,,,,,"",""
ball,1,2.1,West Indies,KR Mayers,J Charles,WD Parnell,4,0,,,,,,"",""
ball,1,2.2,West Indies,KR Mayers,J Charles,WD Parnell,1,0,,,,,,"",""
ball,1,2.3,West Indies,J Charles,KR Mayers,WD Parnell,4,0,,,,,,"",""
ball,1,2.4,West Indies,J Charles,KR Mayers,WD Parnell,2,0,,,,,,"",""
ball,1,2.5,West Indies,J Charles,KR Mayers,WD Parnell,4,0,,,,,,"",""
ball,1,2.6,West Indies,J Charles,KR Mayers,WD Parnell,0,1,1,,,,,"",""
ball,1,2.7,West Indies,J Charles,KR Mayers,WD Parnell,1,0,,,,,,"",""
ball,1,3.1,West Indies,J Charles,KR Mayers,K Rabada,4,0,,,,,,"",""
ball,1,3.2,West Indies,J Charles,KR Mayers,K Rabada,0,0,,,,,,"",""
ball,1,3.3,West Indies,J Charles,KR Mayers,K Rabada,0,0,,,,,,"",""
ball,1,3.4,West Indies,J Charles,KR Mayers,K Rabada,0,0,,,,,,"",""
ball,1,3.5,West Indies,J Charles,KR Mayers,K Rabada,1,0,,,,,,"",""
