version,1.7.0
info,balls_per_over,6
info,team,Canada
info,team,Saudi Arabia
info,gender,male
info,season,2022/23
info,date,2022/11/15
info,event,Desert Cup T20I Series
info,match_number,3
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Saudi Arabia
info,toss_decision,field
info,player_of_match,A Johnson
info,umpire,Anantha Rajamani
info,umpire,Harikrishna Pillai
info,tv_umpire,M Surve
info,match_referee,Jeevan Amana
info,winner,Canada
info,winner_runs,66
info,player,Canada,A Johnson
info,player,Canada,SA Wijeratne
info,player,Canada,Pargat Singh
info,player,Canada,Ravinderpal Singh
info,player,Canada,Saad Bin Zafar
info,player,Canada,A Kapoor
info,player,Canada,H Thaker
info,player,Canada,D Heyliger
info,player,Canada,Ammar Khalid
info,player,Canada,N Dutta
info,player,Canada,Kaleem Sana
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Kashif Siddique
info,player,Saudi Arabia,Saad Khan
info,player,Saudi Arabia,Haseeb Ghafoor
info,player,Saudi Arabia,Hisham Sheikh
info,player,Saudi Arabia,Irshad Mubbashar
info,player,Saudi Arabia,Zain Ul Abidin
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,Atif-Ur-Rehman
info,player,Saudi Arabia,Muhammad Saqib
info,registry,people,A Johnson,a28a7fba
info,registry,people,A Kapoor,2835af2a
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Ammar Khalid,af98bf5b
info,registry,people,Anantha Rajamani,6c4ca034
info,registry,people,Atif-Ur-Rehman,d20e22f7
info,registry,people,D Heyliger,f8c72766
info,registry,people,Faisal Khan,a7553f15
info,registry,people,H Thaker,c01d7726
info,registry,people,Harikrishna Pillai,ed918c90
info,registry,people,Haseeb Ghafoor,454a7269
info,registry,people,Hisham Sheikh,c4441675
info,registry,people,Irshad Mubbashar,58edb974
info,registry,people,Jeevan Amana,327abda5
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,Kashif Siddique,2513b4fe
info,registry,people,M Surve,f5df456a
info,registry,people,Muhammad Saqib,9d6644a0
info,registry,people,N Dutta,e258a603
info,registry,people,Pargat Singh,d2e67105
info,registry,people,Ravinderpal Singh,f80682f8
info,registry,people,SA Wijeratne,5fbd0632
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Saad Khan,28e0f645
info,registry,people,Usman Najeeb,615688b6
info,registry,people,Zain Ul Abidin,b93b87ae
ball,1,0.1,Canada,A Johnson,SA Wijeratne,Zain Ul Abidin,0,0,,,,,,"",""
ball,1,0.2,Canada,A Johnson,SA Wijeratne,Zain Ul Abidin,0,0,,,,,,"",""
ball,1,0.3,Canada,A Johnson,SA Wijeratne,Zain Ul Abidin,0,0,,,,,,"",""
ball,1,0.4,Canada,A Johnson,SA Wijeratne,Zain Ul Abidin,0,0,,,,,,"",""
ball,1,0.5,Canada,A Johnson,SA Wijeratne,Zain Ul Abidin,4,0,,,,,,"",""
ball,1,0.6,Canada,A Johnson,SA Wijeratne,Zain Ul Abidin,4,0,,,,,,"",""
ball,1,1.1,Canada,SA Wijeratne,A Johnson,Atif-Ur-Rehman,1,0,,,,,,"",""
ball,1,1.2,Canada,A Johnson,SA Wijeratne,Atif-Ur-Rehman,0,0,,,,,,"",""
ball,1,1.3,Canada,A Johnson,SA Wijeratne,Atif-Ur-Rehman,4,0,,,,,,"",""
ball,1,1.4,Canada,A Johnson,SA Wijeratne,Atif-Ur-Rehman,4,0,,,,,,"",""
ball,1,1.5,Canada,A Johnson,SA Wijeratne,Atif-Ur-Rehman,1,0,,,,,,"",""
ball,1,1.6,Canada,SA Wijeratne,A Johnson,Atif-Ur-Rehman,0,1,,,,1,,"",""
ball,1,2.1,Canada,SA Wijeratne,A Johnson,Zain Ul Abidin,0,0,,,,,,"",""
ball,1,2.2,Canada,SA Wijeratne,A Johnson,Zain Ul Abidin,4,0,,,,,,"",""
ball,1,2.3,Canada,SA Wijeratne,A Johnson,Zain Ul Abidin,0,0,,,,,,"",""
ball,1,2.4,Canada,SA Wijeratne,A Johnson,Zain Ul Abidin,4,0,,,,,,"",""
ball,1,2.5,Canada,SA Wijeratne,A Johnson,Zain Ul Abidin,0,0,,,,,,"",""
ball,1,2.6,Canada,SA Wijeratne,A Johnson,Zain Ul Abidin,6,0,,,,,,"",""
ball,1,3.1,Canada,A Johnson,SA Wijeratne,Usman Najeeb,1,0,,,,,,"",""
ball,1,3.2,Canada,SA Wijeratne,A Johnson,Usman Najeeb,0,1,,,,1,,"",""
ball,1,3.3,Canada,A Johnson,SA Wijeratne,Usman Najeeb,2,0,,,,,,"",""
ball,1,3.4,Canada,A Johnson,SA Wijeratne,Usman Najeeb,1,0,,,,,,"",""
ball,1,3.5,Canada,SA Wijeratne,A Johnson,Usman Najeeb,0,1,1,,,,,"",""
ball,1,3.6,Canada,SA Wijeratne,A Johnson,Usman Najeeb,4,0,,,,,,"",""
ball,1,3.7,Canada,SA Wijeratne,A Johnson,Usman Najeeb,1,0,,,,,,"",""
ball,1,4.1,Canada,SA Wijeratne,A Johnson,Muhammad Saqib,0,0,,,,,,"",""
ball,1,4.2,Canada,SA Wijeratne,A Johnson,Muhammad Saqib,0,0,,,,,,"",""
ball,1,4.3,Canada,SA Wijeratne,A Johnson,Muhammad Saqib,4,0,,,,,,"",""
ball,1,4.4,Canada,SA Wijeratne,A Johnson,Muhammad Saqib,4,0,,,,,,"",""
ball,1,4.5,Canada,SA Wijeratne,A Johnson,Muhammad Saqib,0,1,1,,,,,"",""
ball,1,4.6,Canada,SA Wijeratne,A Johnson,Muhammad Saqib,0,0,,,,,,"",""
ball,1,4.7,Canada,SA Wijeratne,A Johnson,Muhammad Saqib,4,0,,,,,,"",""
ball,1,5.1,Canada,A Johnson,SA Wijeratne,Usman Najeeb,1,0,,,,,,"",""
ball,1,5.2,Canada,SA Wijeratne,A Johnson,Usman Najeeb,2,0,,,,,,"",""
ball,1,5.3,Canada,SA Wijeratne,A Johnson,Usman Najeeb,0,0,,,,,,"",""
ball,1,5.4,Canada,SA Wijeratne,A Johnson,Usman Najeeb,0,0,,,,,,"",""
ball,1,5.5,Canada,SA Wijeratne,A Johnson,Usman Najeeb,0,0,,,,,,lbw,SA Wijeratne
