version,1.6.0
info,balls_per_over,6
info,team,Pakistan
info,team,Zimbabwe
info,gender,male
info,season,2021
info,date,2021/04/25
info,event,Pakistan tour of Zimbabwe
info,match_number,3
info,venue,Harare Sports Club
info,city,Harare
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,Hasan Ali
info,umpire,I Chabi
info,umpire,L Rusere
info,reserve_umpire,F Mutizwa
info,tv_umpire,C Phiri
info,match_referee,AJ Pycroft
info,winner,Pakistan
info,winner_runs,24
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Sharjeel Khan
info,player,Pakistan,Babar Azam
info,player,Pakistan,Fakhar Zaman
info,player,Pakistan,Hasan Ali
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Sarfraz Ahmed
info,player,Pakistan,Faheem Ashraf
info,player,Pakistan,Usman Qadir
info,player,Pakistan,Mohammad Hasnain
info,player,Pakistan,Haris Rauf
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,TK Musakanda
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,BRM Taylor
info,player,Zimbabwe,RW Chakabva
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,LM Jongwe
info,player,Zimbabwe,WP Masakadza
info,player,Zimbabwe,B Muzarabani
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,R Ngarava
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,BRM Taylor,53597be1
info,registry,people,Babar Azam,8a75e999
info,registry,people,C Phiri,ade73404
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,Faheem Ashraf,bd4ea627
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Hasan Ali,2911de16
info,registry,people,I Chabi,5e39110e
info,registry,people,L Rusere,6a4734ae
info,registry,people,LM Jongwe,b8704508
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,Mohammad Hasnain,8596fe80
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,RW Chakabva,2f0d7e4a
info,registry,people,SC Williams,afe57f7a
info,registry,people,Sarfraz Ahmed,2254ab79
info,registry,people,Sharjeel Khan,193ef196
info,registry,people,T Marumani,3d5d51a5
info,registry,people,TK Musakanda,9f9b903e
info,registry,people,Usman Qadir,33742f04
info,registry,people,W Madhevere,a879b92c
info,registry,people,WP Masakadza,4bc0a378
ball,1,0.1,Pakistan,Mohammad Rizwan,Sharjeel Khan,B Muzarabani,1,0,,,,,,"",""
ball,1,0.2,Pakistan,Sharjeel Khan,Mohammad Rizwan,B Muzarabani,0,0,,,,,,"",""
ball,1,0.3,Pakistan,Sharjeel Khan,Mohammad Rizwan,B Muzarabani,0,0,,,,,,"",""
ball,1,0.4,Pakistan,Sharjeel Khan,Mohammad Rizwan,B Muzarabani,0,0,,,,,,"",""
ball,1,0.5,Pakistan,Sharjeel Khan,Mohammad Rizwan,B Muzarabani,0,0,,,,,,"",""
ball,1,0.6,Pakistan,Sharjeel Khan,Mohammad Rizwan,B Muzarabani,4,0,,,,,,"",""
ball,1,1.1,Pakistan,Mohammad Rizwan,Sharjeel Khan,R Ngarava,0,0,,,,,,"",""
ball,1,1.2,Pakistan,Mohammad Rizwan,Sharjeel Khan,R Ngarava,4,0,,,,,,"",""
ball,1,1.3,Pakistan,Mohammad Rizwan,Sharjeel Khan,R Ngarava,1,0,,,,,,"",""
ball,1,1.4,Pakistan,Sharjeel Khan,Mohammad Rizwan,R Ngarava,1,0,,,,,,"",""
ball,1,1.5,Pakistan,Mohammad Rizwan,Sharjeel Khan,R Ngarava,0,0,,,,,,"",""
ball,1,1.6,Pakistan,Mohammad Rizwan,Sharjeel Khan,R Ngarava,0,0,,,,,,"",""
ball,1,2.1,Pakistan,Sharjeel Khan,Mohammad Rizwan,B Muzarabani,1,0,,,,,,"",""
ball,1,2.2,Pakistan,Mohammad Rizwan,Sharjeel Khan,B Muzarabani,0,0,,,,,,"",""
ball,1,2.3,Pakistan,Mohammad Rizwan,Sharjeel Khan,B Muzarabani,1,0,,,,,,"",""
ball,1,2.4,Pakistan,Sharjeel Khan,Mohammad Rizwan,B Muzarabani,1,0,,,,,,"",""
ball,1,2.5,Pakistan,Mohammad Rizwan,Sharjeel Khan,B Muzarabani,1,0,,,,,,"",""
ball,1,2.6,Pakistan,Sharjeel Khan,Mohammad Rizwan,B Muzarabani,0,0,,,,,,"",""
ball,1,3.1,Pakistan,Mohammad Rizwan,Sharjeel Khan,R Ngarava,2,0,,,,,,"",""
ball,1,3.2,Pakistan,Mohammad Rizwan,Sharjeel Khan,R Ngarava,1,0,,,,,,"",""
ball,1,3.3,Pakistan,Sharjeel Khan,Mohammad Rizwan,R Ngarava,4,0,,,,,,"",""
ball,1,3.4,Pakistan,Sharjeel Khan,Mohammad Rizwan,R Ngarava,4,0,,,,,,"",""
