version,1.7.0
info,balls_per_over,6
info,team,Mexico
info,team,Costa Rica
info,gender,male
info,season,2025
info,date,2025/04/17
info,event,Central American Cricket Championships
info,match_number,1
info,venue,"Clayton Panama, Panama City"
info,city,Panama City
info,toss_winner,Costa Rica
info,toss_decision,field
info,player_of_match,D Panda
info,umpire,AR Maddela
info,umpire,R Shah
info,winner,Mexico
info,winner_runs,124
info,player,Mexico,Shashikant Laxman
info,player,Mexico,Kaushal Kumar
info,player,Mexico,SB Wagh
info,player,Mexico,Luis Hermida
info,player,Mexico,Praveen Santhanakrishnan
info,player,Mexico,D Panda
info,player,Mexico,A Tripathi
info,player,Mexico,Shantanu Kaveri
info,player,Mexico,R Poojary
info,player,Mexico,Pratik Singh Bais
info,player,Mexico,R Ankad
info,player,Costa Rica,S Ravikumar
info,player,Costa Rica,D Rawat
info,player,Costa Rica,K Shivam
info,player,Costa Rica,S Pillai
info,player,Costa Rica,D Ganesh
info,player,Costa Rica,RR Saun
info,player,Costa Rica,O Sam Arthur
info,player,Costa Rica,PV Naringrekar
info,player,Costa Rica,JR Lucky
info,player,Costa Rica,ARH Patel
info,registry,people,A Tripathi,07160156
info,registry,people,AR Maddela,5c861579
info,registry,people,ARH Patel,c5147782
info,registry,people,D Ganesh,84624717
info,registry,people,D Panda,bad1af65
info,registry,people,D Rawat,cda3625c
info,registry,people,JR Lucky,4a3cbbf2
info,registry,people,K Shivam,f46fbe60
info,registry,people,Kaushal Kumar,8cc37805
info,registry,people,Luis Hermida,03beb59f
info,registry,people,O Sam Arthur,11c35bf1
info,registry,people,PV Naringrekar,b0ff13d6
info,registry,people,Pratik Singh Bais,5b351aff
info,registry,people,Praveen Santhanakrishnan,22fb205e
info,registry,people,R Ankad,5995707a
info,registry,people,R Poojary,d05e9052
info,registry,people,R Shah,3424e050
info,registry,people,RR Saun,acb6ee37
info,registry,people,S Pillai,927b34c9
info,registry,people,S Ravikumar,5597338d
info,registry,people,SB Wagh,acf06e10
info,registry,people,Shantanu Kaveri,091880f7
info,registry,people,Shashikant Laxman,8cf61570
ball,1,0.1,Mexico,Shashikant Laxman,Kaushal Kumar,S Pillai,0,1,1,,,,,"",""
ball,1,0.2,Mexico,Shashikant Laxman,Kaushal Kumar,S Pillai,0,0,,,,,,lbw,Shashikant Laxman
ball,1,0.3,Mexico,SB Wagh,Kaushal Kumar,S Pillai,0,0,,,,,,"",""
ball,1,0.4,Mexico,SB Wagh,Kaushal Kumar,S Pillai,0,0,,,,,,"",""
ball,1,0.5,Mexico,SB Wagh,Kaushal Kumar,S Pillai,2,0,,,,,,"",""
ball,1,0.6,Mexico,SB Wagh,Kaushal Kumar,S Pillai,0,0,,,,,,"",""
ball,1,0.7,Mexico,SB Wagh,Kaushal Kumar,S Pillai,1,0,,,,,,"",""
ball,1,1.1,Mexico,SB Wagh,Kaushal Kumar,D Ganesh,4,0,,,,,,"",""
ball,1,1.2,Mexico,SB Wagh,Kaushal Kumar,D Ganesh,2,0,,,,,,"",""
ball,1,1.3,Mexico,SB Wagh,Kaushal Kumar,D Ganesh,1,0,,,,,,"",""
ball,1,1.4,Mexico,Kaushal Kumar,SB Wagh,D Ganesh,0,0,,,,,,"",""
ball,1,1.5,Mexico,Kaushal Kumar,SB Wagh,D Ganesh,0,0,,,,,,"",""
ball,1,1.6,Mexico,Kaushal Kumar,SB Wagh,D Ganesh,1,0,,,,,,"",""
ball,1,2.1,Mexico,Kaushal Kumar,SB Wagh,S Pillai,0,0,,,,,,"",""
ball,1,2.2,Mexico,Kaushal Kumar,SB Wagh,S Pillai,0,0,,,,,,"",""
ball,1,2.3,Mexico,Kaushal Kumar,SB Wagh,S Pillai,2,0,,,,,,"",""
ball,1,2.4,Mexico,Kaushal Kumar,SB Wagh,S Pillai,0,0,,,,,,"",""
ball,1,2.5,Mexico,Kaushal Kumar,SB Wagh,S Pillai,4,0,,,,,,"",""
ball,1,2.6,Mexico,Kaushal Kumar,SB Wagh,S Pillai,0,0,,,,,,"",""
ball,1,3.1,Mexico,SB Wagh,Kaushal Kumar,D Ganesh,2,0,,,,,,"",""
ball,1,3.2,Mexico,SB Wagh,Kaushal Kumar,D Ganesh,0,0,,,,,,"",""
ball,1,3.3,Mexico,SB Wagh,Kaushal Kumar,D Ganesh,1,0,,,,,,"",""
ball,1,3.4,Mexico,Kaushal Kumar,SB Wagh,D Ganesh,1,0,,,,,,"",""
ball,1,3.5,Mexico,SB Wagh,Kaushal Kumar,D Ganesh,2,0,,,,,,"",""
ball,1,3.6,Mexico,SB Wagh,Kaushal Kumar,D Ganesh,1,0,,,,,,"",""
ball,1,4.1,Mexico,SB Wagh,Kaushal Kumar,D Rawat,0,2,2,,,,,"",""
ball,1,4.2,Mexico,Kaushal Kumar,SB Wagh,D Rawat,1,0,,,,,,"",""
ball,1,4.3,Mexico,SB Wagh,Kaushal Kumar,D Rawat,1,0,,,,,,"",""
ball,1,4.4,Mexico,Kaushal Kumar,SB Wagh,D Rawat,4,0,,,,,,"",""
ball,1,4.5,Mexico,Kaushal Kumar,SB Wagh,D Rawat,1,0,,,,,,"",""
ball,1,4.6,Mexico,SB Wagh,Kaushal Kumar,D Rawat,4,0,,,,,,"",""
ball,1,4.7,Mexico,SB Wagh,Kaushal Kumar,D Rawat,1,0,,,,,,"",""
ball,1,5.1,Mexico,SB Wagh,Kaushal Kumar,S Ravikumar,0,1,,,1,,,"",""
ball,1,5.2,Mexico,Kaushal Kumar,SB Wagh,S Ravikumar,0,0,,,,,,caught,Kaushal Kumar
ball,1,5.3,Mexico,Luis Hermida,SB Wagh,S Ravikumar,2,0,,,,,,"",""
ball,1,5.4,Mexico,Luis Hermida,SB Wagh,S Ravikumar,1,0,,,,,,"",""
ball,1,5.5,Mexico,SB Wagh,Luis Hermida,S Ravikumar,1,0,,,,,,"",""
ball,1,5.6,Mexico,Luis Hermida,SB Wagh,S Ravikumar,2,0,,,,,,"",""
ball,1,6.1,Mexico,SB Wagh,Luis Hermida,D Rawat,4,0,,,,,,"",""
ball,1,6.2,Mexico,SB Wagh,Luis Hermida,D Rawat,1,0,,,,,,"",""
ball,1,6.3,Mexico,Luis Hermida,SB Wagh,D Rawat,1,0,,,,,,"",""
ball,1,6.4,Mexico,SB Wagh,Luis Hermida,D Rawat,4,0,,,,,,"",""
