version,1.7.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Namibia
info,gender,male
info,season,2023/24
info,date,2023/10/29
info,event,Zimbabwe tour of Namibia
info,match_number,4
info,venue,"United Cricket Club Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Zimbabwe
info,toss_decision,bat
info,player_of_match,MG Erasmus
info,umpire,A Louw
info,umpire,E Haynes
info,reserve_umpire,Claus Schumacher
info,winner,Namibia
info,winner_wickets,7
info,player,Zimbabwe,I Kaia
info,player,Zimbabwe,TS Kamunhukamwe
info,player,Zimbabwe,CR Ervine
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,CT Mumba
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,M Faraz Akram
info,player,Zimbabwe,TL Chatara
info,player,Zimbabwe,A Ndlovu
info,player,Zimbabwe,NP Mayavo
info,player,Namibia,M van Lingen
info,player,Namibia,N Davin
info,player,Namibia,JN Frylinck
info,player,Namibia,MG Erasmus
info,player,Namibia,JJ Smit
info,player,Namibia,JP Kotze
info,player,Namibia,H Klazinge
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,BM Scholtz
info,player,Namibia,T Lungameni
info,player,Namibia,ZE Green
info,registry,people,A Louw,5eecae5d
info,registry,people,A Ndlovu,3abe1ef6
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,CR Ervine,c96311d4
info,registry,people,CT Mumba,28496266
info,registry,people,Claus Schumacher,85645e62
info,registry,people,E Haynes,56e4f120
info,registry,people,H Klazinge,e6bf8162
info,registry,people,I Kaia,5ad8c974
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,JP Kotze,9f308dfc
info,registry,people,M Faraz Akram,38214163
info,registry,people,M van Lingen,7eb36269
info,registry,people,MG Erasmus,95a5e066
info,registry,people,N Davin,72e361fe
info,registry,people,NP Mayavo,28fcb027
info,registry,people,RP Burl,b08252b8
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Lungameni,1688f2dc
info,registry,people,TL Chatara,5bbabe59
info,registry,people,TS Kamunhukamwe,4e1b4323
info,registry,people,W Madhevere,a879b92c
info,registry,people,ZE Green,8716233e
ball,1,0.1,Zimbabwe,I Kaia,TS Kamunhukamwe,JJ Smit,2,0,,,,,,"",""
ball,1,0.2,Zimbabwe,I Kaia,TS Kamunhukamwe,JJ Smit,4,0,,,,,,"",""
ball,1,0.3,Zimbabwe,I Kaia,TS Kamunhukamwe,JJ Smit,4,0,,,,,,"",""
ball,1,0.4,Zimbabwe,I Kaia,TS Kamunhukamwe,JJ Smit,1,0,,,,,,"",""
ball,1,0.5,Zimbabwe,TS Kamunhukamwe,I Kaia,JJ Smit,0,0,,,,,,"",""
ball,1,0.6,Zimbabwe,TS Kamunhukamwe,I Kaia,JJ Smit,0,0,,,,,,"",""
ball,1,1.1,Zimbabwe,I Kaia,TS Kamunhukamwe,BM Scholtz,0,0,,,,,,"",""
ball,1,1.2,Zimbabwe,I Kaia,TS Kamunhukamwe,BM Scholtz,2,0,,,,,,"",""
ball,1,1.3,Zimbabwe,I Kaia,TS Kamunhukamwe,BM Scholtz,1,0,,,,,,"",""
ball,1,1.4,Zimbabwe,TS Kamunhukamwe,I Kaia,BM Scholtz,0,0,,,,,,"",""
ball,1,1.5,Zimbabwe,TS Kamunhukamwe,I Kaia,BM Scholtz,0,0,,,,,,"",""
ball,1,1.6,Zimbabwe,TS Kamunhukamwe,I Kaia,BM Scholtz,0,0,,,,,,"",""
ball,1,2.1,Zimbabwe,I Kaia,TS Kamunhukamwe,H Klazinge,1,0,,,,,,"",""
ball,1,2.2,Zimbabwe,TS Kamunhukamwe,I Kaia,H Klazinge,2,0,,,,,,run out,I Kaia
ball,1,2.3,Zimbabwe,CR Ervine,TS Kamunhukamwe,H Klazinge,2,0,,,,,,"",""
ball,1,2.4,Zimbabwe,CR Ervine,TS Kamunhukamwe,H Klazinge,0,0,,,,,,"",""
ball,1,2.5,Zimbabwe,CR Ervine,TS Kamunhukamwe,H Klazinge,0,1,1,,,,,"",""
ball,1,2.6,Zimbabwe,CR Ervine,TS Kamunhukamwe,H Klazinge,1,0,,,,,,"",""
ball,1,2.7,Zimbabwe,TS Kamunhukamwe,CR Ervine,H Klazinge,6,0,,,,,,"",""
ball,1,3.1,Zimbabwe,CR Ervine,TS Kamunhukamwe,BM Scholtz,1,0,,,,,,"",""
