version,1.7.0
info,balls_per_over,6
info,team,Romania
info,team,Luxembourg
info,gender,male
info,season,2025
info,date,2025/07/26
info,event,Budapest Cup
info,match_number,4
info,venue,"GB Oval, Szodliget"
info,city,Szodliget
info,toss_winner,Luxembourg
info,toss_decision,field
info,player_of_match,V Saini
info,winner,Romania
info,winner_runs,46
info,player,Romania,Taranjeet Singh
info,player,Romania,AN Lascu
info,player,Romania,Avishka Iroshan
info,player,Romania,V Saini
info,player,Romania,Md Ariyan
info,player,Romania,R Satheesan
info,player,Romania,Muhammad Moiz
info,player,Romania,R Pisal
info,player,Romania,S Vashisht
info,player,Romania,Ali Hussain
info,player,Romania,M Koli
info,player,Luxembourg,TC Barker
info,player,Luxembourg,A Halbhavi
info,player,Luxembourg,SKS Gill
info,player,Luxembourg,A Manepalli
info,player,Luxembourg,Mayank Nagayach
info,player,Luxembourg,V Vijh
info,player,Luxembourg,Anoop Orsu
info,player,Luxembourg,G Venkateswaran
info,player,Luxembourg,Kamal Soukhiya
info,player,Luxembourg,Milad Momend
info,player,Luxembourg,Sareer Shah
info,registry,people,A Halbhavi,df1b4c8f
info,registry,people,A Manepalli,36101309
info,registry,people,AN Lascu,e2c882d1
info,registry,people,Ali Hussain,b8fe81be
info,registry,people,Anoop Orsu,488b7e22
info,registry,people,Avishka Iroshan,2964821b
info,registry,people,G Venkateswaran,a4bcaba7
info,registry,people,Kamal Soukhiya,64457c72
info,registry,people,M Koli,eb0f2802
info,registry,people,Mayank Nagayach,e401f8a5
info,registry,people,Md Ariyan,ff4805ee
info,registry,people,Milad Momend,84880baf
info,registry,people,Muhammad Moiz,906b7d48
info,registry,people,R Pisal,e072b9d5
info,registry,people,R Satheesan,1125ebe4
info,registry,people,S Vashisht,20ac8219
info,registry,people,SKS Gill,faef026c
info,registry,people,Sareer Shah,f16953c5
info,registry,people,TC Barker,c31adb5c
info,registry,people,Taranjeet Singh,ec483176
info,registry,people,V Saini,0fa81719
info,registry,people,V Vijh,b857468a
ball,1,0.1,Romania,Taranjeet Singh,AN Lascu,Sareer Shah,4,0,,,,,,"",""
ball,1,0.2,Romania,Taranjeet Singh,AN Lascu,Sareer Shah,2,0,,,,,,"",""
ball,1,0.3,Romania,Taranjeet Singh,AN Lascu,Sareer Shah,1,0,,,,,,"",""
ball,1,0.4,Romania,AN Lascu,Taranjeet Singh,Sareer Shah,0,2,2,,,,,"",""
ball,1,0.5,Romania,Taranjeet Singh,AN Lascu,Sareer Shah,4,0,,,,,,"",""
ball,1,0.6,Romania,Taranjeet Singh,AN Lascu,Sareer Shah,4,0,,,,,,"",""
ball,1,0.7,Romania,Taranjeet Singh,AN Lascu,Sareer Shah,0,0,,,,,,"",""
ball,1,1.1,Romania,AN Lascu,Taranjeet Singh,Kamal Soukhiya,1,0,,,,,,"",""
ball,1,1.2,Romania,Taranjeet Singh,AN Lascu,Kamal Soukhiya,1,0,,,,,,"",""
ball,1,1.3,Romania,AN Lascu,Taranjeet Singh,Kamal Soukhiya,1,0,,,,,,"",""
ball,1,1.4,Romania,Taranjeet Singh,AN Lascu,Kamal Soukhiya,0,0,,,,,,"",""
ball,1,1.5,Romania,Taranjeet Singh,AN Lascu,Kamal Soukhiya,0,0,,,,,,"",""
ball,1,1.6,Romania,Taranjeet Singh,AN Lascu,Kamal Soukhiya,0,1,1,,,,,"",""
ball,1,1.7,Romania,Taranjeet Singh,AN Lascu,Kamal Soukhiya,0,0,,,,,,"",""
ball,1,2.1,Romania,AN Lascu,Taranjeet Singh,Sareer Shah,0,0,,,,,,"",""
ball,1,2.2,Romania,AN Lascu,Taranjeet Singh,Sareer Shah,0,0,,,,,,"",""
ball,1,2.3,Romania,AN Lascu,Taranjeet Singh,Sareer Shah,0,0,,,,,,"",""
ball,1,2.4,Romania,AN Lascu,Taranjeet Singh,Sareer Shah,4,0,,,,,,"",""
ball,1,2.5,Romania,AN Lascu,Taranjeet Singh,Sareer Shah,0,0,,,,,,"",""
