version,1.7.0
info,balls_per_over,6
info,team,Pakistan
info,team,New Zealand
info,gender,male
info,season,2023
info,date,2023/04/14
info,event,New Zealand tour of Pakistan
info,match_number,1
info,venue,"Gaddafi Stadium, Lahore"
info,city,Lahore
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,Haris Rauf
info,umpire,Ahsan Raza
info,umpire,Faisal Afridi
info,reserve_umpire,Rashid Riaz
info,tv_umpire,Asif Yaqoob
info,match_referee,Ali Naqvi
info,winner,Pakistan
info,winner_runs,88
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Babar Azam
info,player,Pakistan,Fakhar Zaman
info,player,Pakistan,Saim Ayub
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Iftikhar Ahmed
info,player,Pakistan,Imad Wasim
info,player,Pakistan,Faheem Ashraf
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Zaman Khan
info,player,New Zealand,TWM Latham
info,player,New Zealand,CJ Bowes
info,player,New Zealand,WA Young
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,MS Chapman
info,player,New Zealand,JDS Neesham
info,player,New Zealand,R Ravindra
info,player,New Zealand,AF Milne
info,player,New Zealand,IS Sodhi
info,player,New Zealand,MJ Henry
info,player,New Zealand,BG Lister
info,registry,people,AF Milne,350bb1b1
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,BG Lister,79f5bc26
info,registry,people,Babar Azam,8a75e999
info,registry,people,CJ Bowes,45df0e72
info,registry,people,DJ Mitchell,eade4650
info,registry,people,Faheem Ashraf,bd4ea627
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,JDS Neesham,9219eff0
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,R Ravindra,ba5e1069
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,Saim Ayub,33609a8c
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Shan Masood,6843a783
info,registry,people,TWM Latham,e824e6ee
info,registry,people,WA Young,8afe73e2
info,registry,people,Zaman Khan,28392e11
ball,1,0.1,Pakistan,Mohammad Rizwan,Babar Azam,MJ Henry,0,0,,,,,,"",""
ball,1,0.2,Pakistan,Mohammad Rizwan,Babar Azam,MJ Henry,0,0,,,,,,"",""
ball,1,0.3,Pakistan,Mohammad Rizwan,Babar Azam,MJ Henry,0,0,,,,,,"",""
ball,1,0.4,Pakistan,Mohammad Rizwan,Babar Azam,MJ Henry,0,1,,,,1,,"",""
ball,1,0.5,Pakistan,Babar Azam,Mohammad Rizwan,MJ Henry,0,0,,,,,,"",""
ball,1,0.6,Pakistan,Babar Azam,Mohammad Rizwan,MJ Henry,4,0,,,,,,"",""
ball,1,1.1,Pakistan,Mohammad Rizwan,Babar Azam,AF Milne,0,0,,,,,,"",""
ball,1,1.2,Pakistan,Mohammad Rizwan,Babar Azam,AF Milne,4,0,,,,,,"",""
ball,1,1.3,Pakistan,Mohammad Rizwan,Babar Azam,AF Milne,4,0,,,,,,"",""
ball,1,1.4,Pakistan,Mohammad Rizwan,Babar Azam,AF Milne,0,0,,,,,,"",""
ball,1,1.5,Pakistan,Mohammad Rizwan,Babar Azam,AF Milne,0,1,1,,,,,"",""
ball,1,1.6,Pakistan,Mohammad Rizwan,Babar Azam,AF Milne,0,0,,,,,,"",""
ball,1,1.7,Pakistan,Mohammad Rizwan,Babar Azam,AF Milne,0,0,,,,,,lbw,Mohammad Rizwan
ball,1,2.1,Pakistan,Babar Azam,Fakhar Zaman,BG Lister,1,0,,,,,,"",""
ball,1,2.2,Pakistan,Fakhar Zaman,Babar Azam,BG Lister,0,0,,,,,,"",""
ball,1,2.3,Pakistan,Fakhar Zaman,Babar Azam,BG Lister,1,0,,,,,,"",""
ball,1,2.4,Pakistan,Babar Azam,Fakhar Zaman,BG Lister,4,0,,,,,,"",""
ball,1,2.5,Pakistan,Babar Azam,Fakhar Zaman,BG Lister,0,0,,,,,,"",""
ball,1,2.6,Pakistan,Babar Azam,Fakhar Zaman,BG Lister,0,0,,,,,,"",""
ball,1,3.1,Pakistan,Fakhar Zaman,Babar Azam,MJ Henry,0,0,,,,,,"",""
ball,1,3.2,Pakistan,Fakhar Zaman,Babar Azam,MJ Henry,0,0,,,,,,"",""
ball,1,3.3,Pakistan,Fakhar Zaman,Babar Azam,MJ Henry,0,0,,,,,,"",""
ball,1,3.4,Pakistan,Fakhar Zaman,Babar Azam,MJ Henry,4,0,,,,,,"",""
ball,1,3.5,Pakistan,Fakhar Zaman,Babar Azam,MJ Henry,4,0,,,,,,"",""
ball,1,3.6,Pakistan,Fakhar Zaman,Babar Azam,MJ Henry,1,0,,,,,,"",""
ball,1,4.1,Pakistan,Fakhar Zaman,Babar Azam,AF Milne,1,0,,,,,,"",""
ball,1,4.2,Pakistan,Babar Azam,Fakhar Zaman,AF Milne,0,0,,,,,,bowled,Babar Azam
ball,1,4.3,Pakistan,Saim Ayub,Fakhar Zaman,AF Milne,0,0,,,,,,"",""
ball,1,4.4,Pakistan,Saim Ayub,Fakhar Zaman,AF Milne,0,0,,,,,,"",""
ball,1,4.5,Pakistan,Saim Ayub,Fakhar Zaman,AF Milne,2,1,,1,,,,"",""
ball,1,4.6,Pakistan,Saim Ayub,Fakhar Zaman,AF Milne,4,0,,,,,,"",""
ball,1,4.7,Pakistan,Saim Ayub,Fakhar Zaman,AF Milne,4,0,,,,,,"",""
ball,1,5.1,Pakistan,Fakhar Zaman,Saim Ayub,BG Lister,1,0,,,,,,"",""
ball,1,5.2,Pakistan,Saim Ayub,Fakhar Zaman,BG Lister,1,0,,,,,,"",""
ball,1,5.3,Pakistan,Fakhar Zaman,Saim Ayub,BG Lister,1,0,,,,,,"",""
ball,1,5.4,Pakistan,Saim Ayub,Fakhar Zaman,BG Lister,4,0,,,,,,"",""
ball,1,5.5,Pakistan,Saim Ayub,Fakhar Zaman,BG Lister,4,0,,,,,,"",""
ball,1,5.6,Pakistan,Saim Ayub,Fakhar Zaman,BG Lister,0,0,,,,,,"",""
ball,1,6.1,Pakistan,Fakhar Zaman,Saim Ayub,JDS Neesham,0,0,,,,,,"",""
ball,1,6.2,Pakistan,Fakhar Zaman,Saim Ayub,JDS Neesham,1,0,,,,,,"",""
ball,1,6.3,Pakistan,Saim Ayub,Fakhar Zaman,JDS Neesham,0,0,,,,,,"",""
