version,1.7.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Thailand
info,gender,female
info,season,2024
info,date,2024/04/25
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,1
info,venue,"Tolerance Oval, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,SIP Fernando
info,umpire,N Janani
info,umpire,S Dambanevana
info,reserve_umpire,Gazi Sohel
info,match_referee,GS Lakshmi
info,winner,Sri Lanka
info,winner_runs,67
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,H Karunaratne
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,KDU Prabodhani
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,WGAKK Kulasuriya
info,player,Sri Lanka,SIP Fernando
info,player,Thailand,N Boochatham
info,player,Thailand,N Chantam
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chaiwai
info,player,Thailand,C Sutthiruang
info,player,Thailand,P Maya
info,player,Thailand,S Khiaoto
info,player,Thailand,S Laomi
info,player,Thailand,T Putthawong
info,player,Thailand,O Kamchomphu
info,player,Thailand,S Chaturongrattana
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,GWHM Perera,53068b45
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,H Karunaratne,f8e27d4a
info,registry,people,KDU Prabodhani,a0fdf513
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Janani,d06a665d
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,NND de Silva,f0b4294e
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,SIP Fernando,5838cb64
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,WGAKK Kulasuriya,550373ea
info,registry,people,WK Dilhari,c34a15e6
ball,1,0.1,Sri Lanka,RMVD Gunaratne,AC Jayangani,C Sutthiruang,0,4,,,,4,,"",""
ball,1,0.2,Sri Lanka,RMVD Gunaratne,AC Jayangani,C Sutthiruang,1,0,,,,,,"",""
ball,1,0.3,Sri Lanka,AC Jayangani,RMVD Gunaratne,C Sutthiruang,0,0,,,,,,"",""
ball,1,0.4,Sri Lanka,AC Jayangani,RMVD Gunaratne,C Sutthiruang,0,0,,,,,,"",""
ball,1,0.5,Sri Lanka,AC Jayangani,RMVD Gunaratne,C Sutthiruang,0,0,,,,,,"",""
ball,1,0.6,Sri Lanka,AC Jayangani,RMVD Gunaratne,C Sutthiruang,0,0,,,,,,"",""
ball,1,1.1,Sri Lanka,RMVD Gunaratne,AC Jayangani,N Boochatham,0,0,,,,,,"",""
ball,1,1.2,Sri Lanka,RMVD Gunaratne,AC Jayangani,N Boochatham,1,0,,,,,,"",""
ball,1,1.3,Sri Lanka,AC Jayangani,RMVD Gunaratne,N Boochatham,0,0,,,,,,"",""
ball,1,1.4,Sri Lanka,AC Jayangani,RMVD Gunaratne,N Boochatham,1,0,,,,,,"",""
ball,1,1.5,Sri Lanka,RMVD Gunaratne,AC Jayangani,N Boochatham,0,0,,,,,,"",""
ball,1,1.6,Sri Lanka,RMVD Gunaratne,AC Jayangani,N Boochatham,1,0,,,,,,"",""
ball,1,2.1,Sri Lanka,RMVD Gunaratne,AC Jayangani,C Sutthiruang,4,0,,,,,,"",""
ball,1,2.2,Sri Lanka,RMVD Gunaratne,AC Jayangani,C Sutthiruang,1,0,,,,,,"",""
ball,1,2.3,Sri Lanka,AC Jayangani,RMVD Gunaratne,C Sutthiruang,0,0,,,,,,"",""
ball,1,2.4,Sri Lanka,AC Jayangani,RMVD Gunaratne,C Sutthiruang,4,0,,,,,,"",""
ball,1,2.5,Sri Lanka,AC Jayangani,RMVD Gunaratne,C Sutthiruang,0,0,,,,,,"",""
ball,1,2.6,Sri Lanka,AC Jayangani,RMVD Gunaratne,C Sutthiruang,1,0,,,,,,"",""
ball,1,3.1,Sri Lanka,AC Jayangani,RMVD Gunaratne,N Boochatham,0,0,,,,,,"",""
ball,1,3.2,Sri Lanka,AC Jayangani,RMVD Gunaratne,N Boochatham,1,0,,,,,,"",""
ball,1,3.3,Sri Lanka,RMVD Gunaratne,AC Jayangani,N Boochatham,1,0,,,,,,"",""
