version,1.7.0
info,balls_per_over,6
info,team,Thailand
info,team,Sri Lanka
info,gender,female
info,season,2024
info,date,2024/07/24
info,event,Women's Asia Cup
info,match_number,12
info,venue,Rangiri Dambulla International Stadium
info,city,Dambulla
info,toss_winner,Thailand
info,toss_decision,bat
info,player_of_match,AC Jayangani
info,umpire,H Yerzal
info,umpire,VG Rathi
info,reserve_umpire,Shathira Jakir
info,tv_umpire,Nur Hijrah
info,match_referee,GS Lakshmi
info,winner,Sri Lanka
info,winner_wickets,10
info,player,Thailand,N Boochatham
info,player,Thailand,A Suwanchonrathi
info,player,Thailand,N Koncharoenkai
info,player,Thailand,P Maya
info,player,Thailand,C Sutthiruang
info,player,Thailand,S Laomi
info,player,Thailand,S Khiaoto
info,player,Thailand,T Putthawong
info,player,Thailand,R Kanoh
info,player,Thailand,O Kamchomphu
info,player,Thailand,S Chaturongrattana
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,SIP Fernando
info,player,Sri Lanka,KDU Prabodhani
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,WGAKK Kulasuriya
info,registry,people,A Suwanchonrathi,43a2244f
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Madavi,85021bcd
info,registry,people,H Yerzal,86197ea5
info,registry,people,KDU Prabodhani,a0fdf513
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,N Boochatham,58acb320
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,NND de Silva,f0b4294e
info,registry,people,Nur Hijrah,6c068720
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,R Kanoh,5959370f
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,SIP Fernando,5838cb64
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,VG Rathi,144e5b16
info,registry,people,WGAKK Kulasuriya,550373ea
info,registry,people,WK Dilhari,c34a15e6
ball,1,0.1,Thailand,N Boochatham,A Suwanchonrathi,WGAKK Kulasuriya,0,0,,,,,,bowled,N Boochatham
ball,1,0.2,Thailand,N Koncharoenkai,A Suwanchonrathi,WGAKK Kulasuriya,1,0,,,,,,"",""
ball,1,0.3,Thailand,A Suwanchonrathi,N Koncharoenkai,WGAKK Kulasuriya,0,0,,,,,,"",""
ball,1,0.4,Thailand,A Suwanchonrathi,N Koncharoenkai,WGAKK Kulasuriya,0,0,,,,,,"",""
ball,1,0.5,Thailand,A Suwanchonrathi,N Koncharoenkai,WGAKK Kulasuriya,4,0,,,,,,"",""
ball,1,0.6,Thailand,A Suwanchonrathi,N Koncharoenkai,WGAKK Kulasuriya,4,0,,,,,,"",""
ball,1,1.1,Thailand,N Koncharoenkai,A Suwanchonrathi,BMSM Kumari,0,0,,,,,,"",""
ball,1,1.2,Thailand,N Koncharoenkai,A Suwanchonrathi,BMSM Kumari,0,0,,,,,,"",""
ball,1,1.3,Thailand,N Koncharoenkai,A Suwanchonrathi,BMSM Kumari,0,0,,,,,,"",""
ball,1,1.4,Thailand,N Koncharoenkai,A Suwanchonrathi,BMSM Kumari,0,0,,,,,,"",""
ball,1,1.5,Thailand,N Koncharoenkai,A Suwanchonrathi,BMSM Kumari,1,0,,,,,,"",""
ball,1,1.6,Thailand,A Suwanchonrathi,N Koncharoenkai,BMSM Kumari,0,0,,,,,,"",""
ball,1,2.1,Thailand,N Koncharoenkai,A Suwanchonrathi,SIP Fernando,1,0,,,,,,"",""
ball,1,2.2,Thailand,A Suwanchonrathi,N Koncharoenkai,SIP Fernando,0,0,,,,,,"",""
ball,1,2.3,Thailand,A Suwanchonrathi,N Koncharoenkai,SIP Fernando,0,0,,,,,,"",""
ball,1,2.4,Thailand,A Suwanchonrathi,N Koncharoenkai,SIP Fernando,4,0,,,,,,"",""
ball,1,2.5,Thailand,A Suwanchonrathi,N Koncharoenkai,SIP Fernando,0,1,1,,,,,"",""
ball,1,2.6,Thailand,A Suwanchonrathi,N Koncharoenkai,SIP Fernando,0,0,,,,,,caught,A Suwanchonrathi
ball,1,2.7,Thailand,P Maya,N Koncharoenkai,SIP Fernando,0,0,,,,,,"",""
ball,1,3.1,Thailand,N Koncharoenkai,P Maya,KDU Prabodhani,0,0,,,,,,"",""
ball,1,3.2,Thailand,N Koncharoenkai,P Maya,KDU Prabodhani,0,0,,,,,,"",""
