version,1.7.0
info,balls_per_over,6
info,team,Panama
info,team,Bermuda
info,gender,male
info,season,2024/25
info,date,2024/12/08
info,event,ICC Men's T20 World Cup Sub Regional Americas Qualifier
info,match_number,9
info,venue,"St Albans Club, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Panama
info,toss_decision,bat
info,player_of_match,TS Fray
info,umpire,AR Maddela
info,umpire,M Abbott
info,reserve_umpire,A Gajjar
info,match_referee,Phil Whitticase
info,winner,Bermuda
info,winner_wickets,9
info,player,Panama,YI Kachhalia
info,player,Panama,Breeze Ahir
info,player,Panama,Irfan Hafejee
info,player,Panama,A Natubhai Ahir
info,player,Panama,Yusuf Ebrahim
info,player,Panama,RDB Ahir
info,player,Panama,Mahmud Jasat
info,player,Panama,Khandubhai Ahir
info,player,Panama,AM Patel
info,player,Panama,Sanjay Kumar Ahir
info,player,Panama,DK Dahyabhai Ahir
info,player,Bermuda,TS Fray
info,player,Bermuda,D Sabir
info,player,Bermuda,T Manders
info,player,Bermuda,S Smith
info,player,Bermuda,DL Brangman
info,player,Bermuda,DC Stovell
info,player,Bermuda,OGL Bascome
info,player,Bermuda,J Proctor
info,player,Bermuda,Z Burgess
info,player,Bermuda,K Fubler
info,player,Bermuda,Jonte Smith
info,registry,people,A Gajjar,37db06ef
info,registry,people,A Natubhai Ahir,9c91218d
info,registry,people,AM Patel,a09323d8
info,registry,people,AR Maddela,5c861579
info,registry,people,Breeze Ahir,da09ca26
info,registry,people,D Sabir,04bc296f
info,registry,people,DC Stovell,7f6c2dae
info,registry,people,DK Dahyabhai Ahir,ce9ee68f
info,registry,people,DL Brangman,dab18aa5
info,registry,people,Irfan Hafejee,244009ae
info,registry,people,J Proctor,01b0d0a4
info,registry,people,Jonte Smith,ae4d0b45
info,registry,people,K Fubler,b471ff6c
info,registry,people,Khandubhai Ahir,bbf5da29
info,registry,people,M Abbott,3e5f0c04
info,registry,people,Mahmud Jasat,97e36a0f
info,registry,people,OGL Bascome,94a1827c
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,RDB Ahir,2f6f44bb
info,registry,people,S Smith,18a0ba24
info,registry,people,Sanjay Kumar Ahir,d11e0c76
info,registry,people,T Manders,6d2b9724
info,registry,people,TS Fray,c7537f8a
info,registry,people,YI Kachhalia,61650adb
info,registry,people,Yusuf Ebrahim,2d5c6e88
info,registry,people,Z Burgess,d0042e16
ball,1,0.1,Panama,YI Kachhalia,Breeze Ahir,J Proctor,1,0,,,,,,"",""
ball,1,0.2,Panama,Breeze Ahir,YI Kachhalia,J Proctor,0,0,,,,,,run out,Breeze Ahir
ball,1,0.3,Panama,Irfan Hafejee,YI Kachhalia,J Proctor,0,0,,,,,,"",""
ball,1,0.4,Panama,Irfan Hafejee,YI Kachhalia,J Proctor,0,0,,,,,,"",""
ball,1,0.5,Panama,Irfan Hafejee,YI Kachhalia,J Proctor,0,0,,,,,,"",""
ball,1,0.6,Panama,Irfan Hafejee,YI Kachhalia,J Proctor,1,0,,,,,,"",""
ball,1,1.1,Panama,Irfan Hafejee,YI Kachhalia,Z Burgess,0,0,,,,,,"",""
ball,1,1.2,Panama,Irfan Hafejee,YI Kachhalia,Z Burgess,1,0,,,,,,"",""
ball,1,1.3,Panama,YI Kachhalia,Irfan Hafejee,Z Burgess,0,0,,,,,,run out,Irfan Hafejee
ball,1,1.4,Panama,YI Kachhalia,A Natubhai Ahir,Z Burgess,0,0,,,,,,"",""
ball,1,1.5,Panama,YI Kachhalia,A Natubhai Ahir,Z Burgess,0,0,,,,,,"",""
ball,1,1.6,Panama,YI Kachhalia,A Natubhai Ahir,Z Burgess,0,1,1,,,,,"",""
ball,1,1.7,Panama,YI Kachhalia,A Natubhai Ahir,Z Burgess,0,0,,,,,,"",""
ball,1,2.1,Panama,A Natubhai Ahir,YI Kachhalia,J Proctor,0,0,,,,,,"",""
ball,1,2.2,Panama,A Natubhai Ahir,YI Kachhalia,J Proctor,0,0,,,,,,"",""
ball,1,2.3,Panama,A Natubhai Ahir,YI Kachhalia,J Proctor,0,0,,,,,,"",""
ball,1,2.4,Panama,A Natubhai Ahir,YI Kachhalia,J Proctor,0,0,,,,,,"",""
ball,1,2.5,Panama,A Natubhai Ahir,YI Kachhalia,J Proctor,0,0,,,,,,"",""
ball,1,2.6,Panama,A Natubhai Ahir,YI Kachhalia,J Proctor,0,0,,,,,,"",""
ball,1,3.1,Panama,YI Kachhalia,A Natubhai Ahir,Z Burgess,0,0,,,,,,"",""
ball,1,3.2,Panama,YI Kachhalia,A Natubhai Ahir,Z Burgess,0,0,,,,,,"",""
ball,1,3.3,Panama,YI Kachhalia,A Natubhai Ahir,Z Burgess,1,0,,,,,,"",""
