version,1.7.0
info,balls_per_over,6
info,team,St Helena
info,team,Sierra Leone
info,gender,male
info,season,2024/25
info,date,2024/11/26
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C
info,match_number,7
info,venue,"Nigeria Cricket Federation Oval 1, Abuja"
info,city,Abuja
info,toss_winner,Sierra Leone
info,toss_decision,field
info,player_of_match,A Turay
info,umpire,A Jacobs
info,umpire,Masudur Rahman
info,reserve_umpire,A Louw
info,match_referee,O Chirombe
info,winner,Sierra Leone
info,winner_wickets,4
info,player,St Helena,S Crowie
info,player,St Helena,A Yon
info,player,St Helena,Delroy Leo
info,player,St Helena,D Young
info,player,St Helena,AR Leo
info,player,St Helena,CR Richards
info,player,St Helena,J Thomas
info,player,St Helena,Dane Leo
info,player,St Helena,B Isaac
info,player,St Helena,B Leo
info,player,St Helena,BK Stroud
info,player,Sierra Leone,A Kainessie
info,player,Sierra Leone,A Turay
info,player,Sierra Leone,Y Jalloh
info,player,Sierra Leone,G Ngegba
info,player,Sierra Leone,J Bangura
info,player,Sierra Leone,A Gbla
info,player,Sierra Leone,S Conteh
info,player,Sierra Leone,L Lamin
info,player,Sierra Leone,R Coker
info,player,Sierra Leone,C Bah
info,player,Sierra Leone,G Sesay
info,registry,people,A Gbla,34ab1e6e
info,registry,people,A Jacobs,70d117de
info,registry,people,A Kainessie,c7acf05f
info,registry,people,A Louw,5eecae5d
info,registry,people,A Turay,11a22126
info,registry,people,A Yon,99bf1fb7
info,registry,people,AR Leo,e13f8b16
info,registry,people,B Isaac,2c14421f
info,registry,people,B Leo,740a5494
info,registry,people,BK Stroud,6577a6ad
info,registry,people,C Bah,7213d757
info,registry,people,CR Richards,c10a581f
info,registry,people,D Young,5d9d83e6
info,registry,people,Dane Leo,391d8a48
info,registry,people,Delroy Leo,e71f511e
info,registry,people,G Ngegba,69caf2be
info,registry,people,G Sesay,c556b9d2
info,registry,people,J Bangura,d7acab5d
info,registry,people,J Thomas,11b785d6
info,registry,people,L Lamin,5a970aab
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,O Chirombe,6345307f
info,registry,people,R Coker,3239c8a9
info,registry,people,S Conteh,8f70fff7
info,registry,people,S Crowie,4040951f
info,registry,people,Y Jalloh,7fe9a7e6
ball,1,0.1,St Helena,S Crowie,A Yon,G Sesay,0,0,,,,,,"",""
ball,1,0.2,St Helena,S Crowie,A Yon,G Sesay,0,0,,,,,,"",""
ball,1,0.3,St Helena,S Crowie,A Yon,G Sesay,0,0,,,,,,"",""
ball,1,0.4,St Helena,S Crowie,A Yon,G Sesay,1,0,,,,,,"",""
ball,1,0.5,St Helena,A Yon,S Crowie,G Sesay,1,0,,,,,,"",""
ball,1,0.6,St Helena,S Crowie,A Yon,G Sesay,1,0,,,,,,"",""
ball,1,1.1,St Helena,S Crowie,A Yon,S Conteh,2,0,,,,,,"",""
ball,1,1.2,St Helena,S Crowie,A Yon,S Conteh,1,0,,,,,,"",""
ball,1,1.3,St Helena,A Yon,S Crowie,S Conteh,4,0,,,,,,"",""
ball,1,1.4,St Helena,A Yon,S Crowie,S Conteh,0,0,,,,,,"",""
ball,1,1.5,St Helena,A Yon,S Crowie,S Conteh,1,0,,,,,,"",""
ball,1,1.6,St Helena,S Crowie,A Yon,S Conteh,0,0,,,,,,"",""
ball,1,2.1,St Helena,A Yon,S Crowie,G Sesay,1,0,,,,,,"",""
ball,1,2.2,St Helena,S Crowie,A Yon,G Sesay,0,0,,,,,,"",""
ball,1,2.3,St Helena,S Crowie,A Yon,G Sesay,0,0,,,,,,"",""
ball,1,2.4,St Helena,S Crowie,A Yon,G Sesay,0,0,,,,,,"",""
ball,1,2.5,St Helena,S Crowie,A Yon,G Sesay,4,0,,,,,,"",""
ball,1,2.6,St Helena,S Crowie,A Yon,G Sesay,0,1,1,,,,,"",""
ball,1,2.7,St Helena,S Crowie,A Yon,G Sesay,0,0,,,,,,"",""
ball,1,3.1,St Helena,A Yon,S Crowie,S Conteh,0,0,,,,,,"",""
ball,1,3.2,St Helena,A Yon,S Crowie,S Conteh,1,0,,,,,,"",""
ball,1,3.3,St Helena,S Crowie,A Yon,S Conteh,0,0,,,,,,"",""
ball,1,3.4,St Helena,S Crowie,A Yon,S Conteh,1,0,,,,,,"",""
ball,1,3.5,St Helena,A Yon,S Crowie,S Conteh,1,0,,,,,,"",""
ball,1,3.6,St Helena,S Crowie,A Yon,S Conteh,1,0,,,,,,"",""
ball,1,4.1,St Helena,S Crowie,A Yon,A Gbla,4,0,,,,,,"",""
ball,1,4.2,St Helena,S Crowie,A Yon,A Gbla,0,0,,,,,,"",""
ball,1,4.3,St Helena,S Crowie,A Yon,A Gbla,1,0,,,,,,"",""
ball,1,4.4,St Helena,A Yon,S Crowie,A Gbla,1,0,,,,,,"",""
ball,1,4.5,St Helena,S Crowie,A Yon,A Gbla,4,0,,,,,,"",""
ball,1,4.6,St Helena,S Crowie,A Yon,A Gbla,1,0,,,,,,"",""
ball,1,5.1,St Helena,S Crowie,A Yon,C Bah,1,0,,,,,,"",""
ball,1,5.2,St Helena,A Yon,S Crowie,C Bah,0,0,,,,,,"",""
ball,1,5.3,St Helena,A Yon,S Crowie,C Bah,0,0,,,,,,"",""
ball,1,5.4,St Helena,A Yon,S Crowie,C Bah,1,0,,,,,,"",""
ball,1,5.5,St Helena,S Crowie,A Yon,C Bah,1,0,,,,,,"",""
ball,1,5.6,St Helena,A Yon,S Crowie,C Bah,0,0,,,,,,"",""
ball,1,6.1,St Helena,S Crowie,A Yon,G Ngegba,0,0,,,,,,"",""
ball,1,6.2,St Helena,S Crowie,A Yon,G Ngegba,1,0,,,,,,"",""
ball,1,6.3,St Helena,A Yon,S Crowie,G Ngegba,0,0,,,,,,"",""
ball,1,6.4,St Helena,A Yon,S Crowie,G Ngegba,1,0,,,,,,"",""
ball,1,6.5,St Helena,S Crowie,A Yon,G Ngegba,0,0,,,,,,"",""
ball,1,6.6,St Helena,S Crowie,A Yon,G Ngegba,0,0,,,,,,bowled,S Crowie
ball,1,7.1,St Helena,A Yon,Delroy Leo,R Coker,1,0,,,,,,"",""
ball,1,7.2,St Helena,Delroy Leo,A Yon,R Coker,0,0,,,,,,"",""
ball,1,7.3,St Helena,Delroy Leo,A Yon,R Coker,0,0,,,,,,"",""
ball,1,7.4,St Helena,Delroy Leo,A Yon,R Coker,0,0,,,,,,"",""
ball,1,7.5,St Helena,Delroy Leo,A Yon,R Coker,1,0,,,,,,"",""
ball,1,7.6,St Helena,A Yon,Delroy Leo,R Coker,1,0,,,,,,"",""
ball,1,8.1,St Helena,A Yon,Delroy Leo,G Ngegba,0,0,,,,,,"",""
ball,1,8.2,St Helena,A Yon,Delroy Leo,G Ngegba,1,0,,,,,,"",""
ball,1,8.3,St Helena,Delroy Leo,A Yon,G Ngegba,1,0,,,,,,"",""
ball,1,8.4,St Helena,A Yon,Delroy Leo,G Ngegba,0,0,,,,,,"",""
ball,1,8.5,St Helena,A Yon,Delroy Leo,G Ngegba,1,0,,,,,,"",""
