version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Philippines
info,gender,male
info,season,2025/26
info,date,2025/12/09
info,event,SEA Games Men's Twenty20 Cricket Competition
info,match_number,2
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Philippines
info,toss_decision,field
info,umpire,AK Rana
info,umpire,Hardeep Jadeja
info,reserve_umpire,A Natarajan
info,tv_umpire,V Kalidas
info,match_referee,Suresh Singh
info,winner,Malaysia
info,winner_runs,114
info,player,Malaysia,Muhammad Haziq Aiman
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Syed Aziz
info,player,Malaysia,S Muniandy
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,M Syahadat Ramli
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Amir Khan
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,Pavandeep Singh
info,player,Philippines,ASF Sirah
info,player,Philippines,DC Smith
info,player,Philippines,M Podosky
info,player,Philippines,A Donovan
info,player,Philippines,N Tanner
info,player,Philippines,J Tuffin
info,player,Philippines,HER Tyler
info,player,Philippines,Rhys Burinaga
info,player,Philippines,JEA Doctora
info,player,Philippines,GR Russ
info,player,Philippines,CJ Stamp
info,registry,people,A Donovan,02888f23
info,registry,people,A Natarajan,a2b73ae0
info,registry,people,AK Rana,562d74d0
info,registry,people,ASF Sirah,06bcade5
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Amir Khan,a7bc0f3d
info,registry,people,CJ Stamp,abca6c23
info,registry,people,DC Smith,a968d39b
info,registry,people,GR Russ,1f28fdfd
info,registry,people,HER Tyler,0ba9de33
info,registry,people,Hardeep Jadeja,552cf5a2
info,registry,people,J Tuffin,8069f81f
info,registry,people,JEA Doctora,43449b1e
info,registry,people,M Podosky,c46999c7
info,registry,people,M Syahadat Ramli,5efa8af3
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Muhammad Haziq Aiman,1f13eba1
info,registry,people,N Tanner,5f5efae1
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,Rhys Burinaga,a6cbe67b
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,Suresh Singh,073de6f9
info,registry,people,Syed Aziz,6667067e
info,registry,people,V Kalidas,42d76418
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Zubaidi Zulkifle,dca8273d
ball,1,0.1,Malaysia,Muhammad Haziq Aiman,Zubaidi Zulkifle,Rhys Burinaga,0,0,,,,,,"",""
ball,1,0.2,Malaysia,Muhammad Haziq Aiman,Zubaidi Zulkifle,Rhys Burinaga,0,0,,,,,,"",""
ball,1,0.3,Malaysia,Muhammad Haziq Aiman,Zubaidi Zulkifle,Rhys Burinaga,0,0,,,,,,"",""
ball,1,0.4,Malaysia,Muhammad Haziq Aiman,Zubaidi Zulkifle,Rhys Burinaga,0,0,,,,,,"",""
ball,1,0.5,Malaysia,Muhammad Haziq Aiman,Zubaidi Zulkifle,Rhys Burinaga,0,0,,,,,,"",""
ball,1,0.6,Malaysia,Muhammad Haziq Aiman,Zubaidi Zulkifle,Rhys Burinaga,0,0,,,,,,"",""
ball,1,1.1,Malaysia,Zubaidi Zulkifle,Muhammad Haziq Aiman,J Tuffin,0,0,,,,,,"",""
ball,1,1.2,Malaysia,Zubaidi Zulkifle,Muhammad Haziq Aiman,J Tuffin,1,0,,,,,,"",""
ball,1,1.3,Malaysia,Muhammad Haziq Aiman,Zubaidi Zulkifle,J Tuffin,0,0,,,,,,"",""
ball,1,1.4,Malaysia,Muhammad Haziq Aiman,Zubaidi Zulkifle,J Tuffin,6,0,,,,,,"",""
ball,1,1.5,Malaysia,Muhammad Haziq Aiman,Zubaidi Zulkifle,J Tuffin,0,0,,,,,,"",""
ball,1,1.6,Malaysia,Muhammad Haziq Aiman,Zubaidi Zulkifle,J Tuffin,2,0,,,,,,"",""
ball,1,2.1,Malaysia,Zubaidi Zulkifle,Muhammad Haziq Aiman,A Donovan,4,0,,,,,,"",""
ball,1,2.2,Malaysia,Zubaidi Zulkifle,Muhammad Haziq Aiman,A Donovan,1,0,,,,,,"",""
ball,1,2.3,Malaysia,Muhammad Haziq Aiman,Zubaidi Zulkifle,A Donovan,1,0,,,,,,"",""
ball,1,2.4,Malaysia,Zubaidi Zulkifle,Muhammad Haziq Aiman,A Donovan,1,0,,,,,,"",""
ball,1,2.5,Malaysia,Muhammad Haziq Aiman,Zubaidi Zulkifle,A Donovan,1,0,,,,,,"",""
ball,1,2.6,Malaysia,Zubaidi Zulkifle,Muhammad Haziq Aiman,A Donovan,4,0,,,,,,"",""
ball,1,3.1,Malaysia,Muhammad Haziq Aiman,Zubaidi Zulkifle,J Tuffin,1,0,,,,,,"",""
