version,1.7.0
info,balls_per_over,6
info,team,Ivory Coast
info,team,Eswatini
info,gender,male
info,season,2024/25
info,date,2024/11/27
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C
info,match_number,12
info,venue,"Nigeria Cricket Federation Oval 2, Abuja"
info,city,Abuja
info,toss_winner,Ivory Coast
info,toss_decision,bat
info,player_of_match,R Sandeep
info,umpire,Aasif Iqbal
info,umpire,S Dambanevana
info,reserve_umpire,A Jacobs
info,match_referee,O Chirombe
info,winner,Eswatini
info,winner_wickets,8
info,player,Ivory Coast,OK Mohamed
info,player,Ivory Coast,D Issiaka
info,player,Ivory Coast,KMA Aziz
info,player,Ivory Coast,KY Wilfried
info,player,Ivory Coast,LKW Ezechiel
info,player,Ivory Coast,MC Alex
info,player,Ivory Coast,DKJ Claude
info,player,Ivory Coast,AK Roger
info,player,Ivory Coast,QF Djakaridja
info,player,Ivory Coast,PK Dimitri
info,player,Ivory Coast,O Issouf
info,player,Eswatini,Adil Butt
info,player,Eswatini,M Khojbariya
info,player,Eswatini,T Sandeep
info,player,Eswatini,R Sandeep
info,player,Eswatini,J Suleman
info,player,Eswatini,Umair Qasim
info,player,Eswatini,M Magagula
info,player,Eswatini,M Jele
info,player,Eswatini,S Jele
info,player,Eswatini,BM Dlamini
info,player,Eswatini,TW Dlamini
info,registry,people,A Jacobs,70d117de
info,registry,people,AK Roger,1f6f321d
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Adil Butt,fde53ec1
info,registry,people,BM Dlamini,1d0afa06
info,registry,people,D Issiaka,933b30c9
info,registry,people,DKJ Claude,096601c5
info,registry,people,J Suleman,cacd240a
info,registry,people,KMA Aziz,e8cfd743
info,registry,people,KY Wilfried,5e72608f
info,registry,people,LKW Ezechiel,f80bd415
info,registry,people,M Jele,1a8cedc8
info,registry,people,M Khojbariya,e1631e47
info,registry,people,M Magagula,7a787b98
info,registry,people,MC Alex,3a200eb2
info,registry,people,O Chirombe,6345307f
info,registry,people,O Issouf,5d656f48
info,registry,people,OK Mohamed,3cb42681
info,registry,people,PK Dimitri,7e665859
info,registry,people,QF Djakaridja,9ae09b37
info,registry,people,R Sandeep,175937f6
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Jele,1c5c65d6
info,registry,people,T Sandeep,b794a78d
info,registry,people,TW Dlamini,a1cdd009
info,registry,people,Umair Qasim,e086735b
ball,1,0.1,Ivory Coast,OK Mohamed,D Issiaka,Adil Butt,0,0,,,,,,"",""
ball,1,0.2,Ivory Coast,OK Mohamed,D Issiaka,Adil Butt,0,0,,,,,,"",""
ball,1,0.3,Ivory Coast,OK Mohamed,D Issiaka,Adil Butt,0,0,,,,,,"",""
ball,1,0.4,Ivory Coast,OK Mohamed,D Issiaka,Adil Butt,0,0,,,,,,"",""
ball,1,0.5,Ivory Coast,OK Mohamed,D Issiaka,Adil Butt,0,0,,,,,,"",""
ball,1,0.6,Ivory Coast,OK Mohamed,D Issiaka,Adil Butt,0,0,,,,,,"",""
ball,1,1.1,Ivory Coast,D Issiaka,OK Mohamed,R Sandeep,0,0,,,,,,"",""
ball,1,1.2,Ivory Coast,D Issiaka,OK Mohamed,R Sandeep,0,0,,,,,,"",""
ball,1,1.3,Ivory Coast,D Issiaka,OK Mohamed,R Sandeep,0,0,,,,,,"",""
ball,1,1.4,Ivory Coast,D Issiaka,OK Mohamed,R Sandeep,0,0,,,,,,"",""
ball,1,1.5,Ivory Coast,D Issiaka,OK Mohamed,R Sandeep,0,0,,,,,,"",""
ball,1,1.6,Ivory Coast,D Issiaka,OK Mohamed,R Sandeep,0,0,,,,,,"",""
ball,1,2.1,Ivory Coast,OK Mohamed,D Issiaka,Adil Butt,0,0,,,,,,run out,D Issiaka
ball,1,2.2,Ivory Coast,KMA Aziz,OK Mohamed,Adil Butt,0,0,,,,,,"",""
ball,1,2.3,Ivory Coast,KMA Aziz,OK Mohamed,Adil Butt,0,0,,,,,,"",""
ball,1,2.4,Ivory Coast,KMA Aziz,OK Mohamed,Adil Butt,0,5,5,,,,,"",""
ball,1,2.5,Ivory Coast,KMA Aziz,OK Mohamed,Adil Butt,0,0,,,,,,"",""
ball,1,2.6,Ivory Coast,KMA Aziz,OK Mohamed,Adil Butt,4,0,,,,,,"",""
ball,1,2.7,Ivory Coast,KMA Aziz,OK Mohamed,Adil Butt,0,1,1,,,,,"",""
ball,1,2.8,Ivory Coast,KMA Aziz,OK Mohamed,Adil Butt,0,0,,,,,,"",""
ball,1,3.1,Ivory Coast,OK Mohamed,KMA Aziz,R Sandeep,0,0,,,,,,"",""
ball,1,3.2,Ivory Coast,OK Mohamed,KMA Aziz,R Sandeep,0,0,,,,,,"",""
