version,1.7.0
info,balls_per_over,6
info,team,West Indies
info,team,India
info,gender,male
info,season,2023
info,date,2023/08/03
info,event,India tour of West Indies and United States of America
info,match_number,1
info,venue,"Brian Lara Stadium, Tarouba, Trinidad"
info,city,Tarouba
info,toss_winner,West Indies
info,toss_decision,bat
info,player_of_match,JO Holder
info,umpire,GO Brathwaite
info,umpire,PA Gustard
info,reserve_umpire,LS Reifer
info,tv_umpire,N Duguid
info,match_referee,RB Richardson
info,winner,West Indies
info,winner_runs,4
info,player,West Indies,BA King
info,player,West Indies,KR Mayers
info,player,West Indies,J Charles
info,player,West Indies,N Pooran
info,player,West Indies,R Powell
info,player,West Indies,SO Hetmyer
info,player,West Indies,R Shepherd
info,player,West Indies,JO Holder
info,player,West Indies,AJ Hosein
info,player,West Indies,AS Joseph
info,player,West Indies,OC McCoy
info,player,India,Ishan Kishan
info,player,India,Shubman Gill
info,player,India,SA Yadav
info,player,India,Tilak Varma
info,player,India,HH Pandya
info,player,India,SV Samson
info,player,India,AR Patel
info,player,India,Kuldeep Yadav
info,player,India,Arshdeep Singh
info,player,India,YS Chahal
info,player,India,Mukesh Kumar
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AR Patel,2e171977
info,registry,people,AS Joseph,b0946605
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,BA King,7fca84b7
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Ishan Kishan,752f7486
info,registry,people,J Charles,09a9d073
info,registry,people,JO Holder,0f721006
info,registry,people,KR Mayers,73c18486
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,LS Reifer,5dee559a
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,N Duguid,64495506
info,registry,people,N Pooran,3241e3fd
info,registry,people,OC McCoy,529eb9e0
info,registry,people,PA Gustard,25bcf808
info,registry,people,R Powell,650d5e49
info,registry,people,R Shepherd,c5aef772
info,registry,people,RB Richardson,410e2f12
info,registry,people,SA Yadav,271f83cd
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,West Indies,BA King,KR Mayers,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.2,West Indies,BA King,KR Mayers,Arshdeep Singh,2,0,,,,,,"",""
ball,1,0.3,West Indies,BA King,KR Mayers,Arshdeep Singh,4,0,,,,,,"",""
ball,1,0.4,West Indies,BA King,KR Mayers,Arshdeep Singh,1,0,,,,,,"",""
ball,1,0.5,West Indies,KR Mayers,BA King,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.6,West Indies,KR Mayers,BA King,Arshdeep Singh,0,0,,,,,,"",""
ball,1,1.1,West Indies,BA King,KR Mayers,Mukesh Kumar,0,0,,,,,,"",""
ball,1,1.2,West Indies,BA King,KR Mayers,Mukesh Kumar,4,0,,,,,,"",""
ball,1,1.3,West Indies,BA King,KR Mayers,Mukesh Kumar,4,0,,,,,,"",""
ball,1,1.4,West Indies,BA King,KR Mayers,Mukesh Kumar,0,0,,,,,,"",""
ball,1,1.5,West Indies,BA King,KR Mayers,Mukesh Kumar,1,0,,,,,,"",""
ball,1,1.6,West Indies,KR Mayers,BA King,Mukesh Kumar,0,0,,,,,,"",""
ball,1,2.1,West Indies,BA King,KR Mayers,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.2,West Indies,BA King,KR Mayers,Arshdeep Singh,4,0,,,,,,"",""
ball,1,2.3,West Indies,BA King,KR Mayers,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.4,West Indies,BA King,KR Mayers,Arshdeep Singh,1,0,,,,,,"",""
ball,1,2.5,West Indies,KR Mayers,BA King,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.6,West Indies,KR Mayers,BA King,Arshdeep Singh,0,0,,,,,,"",""
ball,1,3.1,West Indies,BA King,KR Mayers,AR Patel,1,0,,,,,,"",""
ball,1,3.2,West Indies,KR Mayers,BA King,AR Patel,1,0,,,,,,"",""
ball,1,3.3,West Indies,BA King,KR Mayers,AR Patel,0,0,,,,,,"",""
ball,1,3.4,West Indies,BA King,KR Mayers,AR Patel,6,0,,,,,,"",""
ball,1,3.5,West Indies,BA King,KR Mayers,AR Patel,0,0,,,,,,"",""
ball,1,3.6,West Indies,BA King,KR Mayers,AR Patel,0,0,,,,,,"",""
