version,1.7.0
info,balls_per_over,6
info,team,Myanmar
info,team,Hong Kong
info,gender,male
info,season,2024
info,date,2024/08/30
info,event,ICC Men's T20 World Cup Asia Qualifier A
info,match_number,2
info,venue,"YSD-UKM Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Hong Kong
info,toss_decision,field
info,player_of_match,Anas Khan
info,umpire,BB Pradhan
info,umpire,Faisal Afridi
info,reserve_umpire,V Kalidas
info,match_referee,V Narayan Kutty
info,winner,Hong Kong
info,winner_wickets,9
info,player,Myanmar,KK Lin Thu
info,player,Myanmar,H Lin Aung
info,player,Myanmar,Thuya Aung
info,player,Myanmar,Pyae Phyo Wai
info,player,Myanmar,Paing Danu
info,player,Myanmar,H Lin Oo
info,player,Myanmar,Khin Aye
info,player,Myanmar,Y Naing Tun
info,player,Myanmar,Nyeing Cham Soe
info,player,Myanmar,Nay Lin Htun
info,player,Myanmar,Myat Thu Aung
info,player,Hong Kong,JJ Atkinson
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Anas Khan
info,player,Hong Kong,Ateeq Iqbal
info,player,Hong Kong,A Shukla
info,player,Hong Kong,Babar Hayat
info,registry,people,A Shukla,a1e80d06
info,registry,people,Anas Khan,66a7f213
info,registry,people,Ateeq Iqbal,29b322c7
info,registry,people,BB Pradhan,8603d942
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,H Lin Aung,c343a8c6
info,registry,people,H Lin Oo,2e005bfd
info,registry,people,JJ Atkinson,bf2d865c
info,registry,people,KK Lin Thu,6cf75582
info,registry,people,Khin Aye,ad2efd29
info,registry,people,M Coetzee,3f149080
info,registry,people,Myat Thu Aung,cebbf3c9
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nay Lin Htun,5319f95b
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,Nyeing Cham Soe,45b5ce8d
info,registry,people,Paing Danu,1eb5affb
info,registry,people,Pyae Phyo Wai,09e86895
info,registry,people,Thuya Aung,2e092d2c
info,registry,people,V Kalidas,42d76418
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,Y Naing Tun,97b109d2
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zeeshan Ali,987187b9
ball,1,0.1,Myanmar,KK Lin Thu,H Lin Aung,A Shukla,0,0,,,,,,"",""
ball,1,0.2,Myanmar,KK Lin Thu,H Lin Aung,A Shukla,2,0,,,,,,"",""
ball,1,0.3,Myanmar,KK Lin Thu,H Lin Aung,A Shukla,2,0,,,,,,"",""
ball,1,0.4,Myanmar,KK Lin Thu,H Lin Aung,A Shukla,0,0,,,,,,"",""
ball,1,0.5,Myanmar,KK Lin Thu,H Lin Aung,A Shukla,0,0,,,,,,"",""
ball,1,0.6,Myanmar,KK Lin Thu,H Lin Aung,A Shukla,0,0,,,,,,"",""
ball,1,1.1,Myanmar,H Lin Aung,KK Lin Thu,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.2,Myanmar,H Lin Aung,KK Lin Thu,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.3,Myanmar,H Lin Aung,KK Lin Thu,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.4,Myanmar,H Lin Aung,KK Lin Thu,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.5,Myanmar,H Lin Aung,KK Lin Thu,Ateeq Iqbal,1,0,,,,,,"",""
ball,1,1.6,Myanmar,KK Lin Thu,H Lin Aung,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,2.1,Myanmar,H Lin Aung,KK Lin Thu,A Shukla,1,0,,,,,,"",""
ball,1,2.2,Myanmar,KK Lin Thu,H Lin Aung,A Shukla,0,0,,,,,,"",""
ball,1,2.3,Myanmar,KK Lin Thu,H Lin Aung,A Shukla,0,0,,,,,,"",""
ball,1,2.4,Myanmar,KK Lin Thu,H Lin Aung,A Shukla,4,0,,,,,,"",""
ball,1,2.5,Myanmar,KK Lin Thu,H Lin Aung,A Shukla,0,0,,,,,,"",""
ball,1,2.6,Myanmar,KK Lin Thu,H Lin Aung,A Shukla,2,0,,,,,,"",""
ball,1,3.1,Myanmar,H Lin Aung,KK Lin Thu,Ateeq Iqbal,1,0,,,,,,"",""
ball,1,3.2,Myanmar,KK Lin Thu,H Lin Aung,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,3.3,Myanmar,KK Lin Thu,H Lin Aung,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,3.4,Myanmar,KK Lin Thu,H Lin Aung,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,3.5,Myanmar,KK Lin Thu,H Lin Aung,Ateeq Iqbal,1,0,,,,,,"",""
ball,1,3.6,Myanmar,H Lin Aung,KK Lin Thu,Ateeq Iqbal,1,0,,,,,,"",""
ball,1,4.1,Myanmar,H Lin Aung,KK Lin Thu,Anas Khan,1,0,,,,,,"",""
