version,1.7.0
info,balls_per_over,6
info,team,Gambia
info,team,Mozambique
info,gender,male
info,season,2024/25
info,date,2024/10/24
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,15
info,venue,"Ruaraka Sports Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Gambia
info,toss_decision,bat
info,player_of_match,F Damiao Couana
info,umpire,D Odhiambo
info,umpire,P Sizara
info,reserve_umpire,IO Oyieko
info,match_referee,ET Dube
info,winner,Mozambique
info,winner_wickets,6
info,player,Gambia,Muhammed Manga
info,player,Gambia,Asim Ashraf
info,player,Gambia,AM Rajpurohit
info,player,Gambia,Abubacarr Kuyateh
info,player,Gambia,F Campbell
info,player,Gambia,Ismaila Tanba
info,player,Gambia,Andre Jarju
info,player,Gambia,Ousman Bah
info,player,Gambia,B Jaye
info,player,Gambia,M Jobarteh
info,player,Gambia,Shan Siddiqui
info,player,Mozambique,JJ Huo
info,player,Mozambique,LI Salomone
info,player,Mozambique,VE Tembo
info,player,Mozambique,F Damiao Couana
info,player,Mozambique,FA Cossa
info,player,Mozambique,AA Navicha
info,player,Mozambique,MF Manjate
info,player,Mozambique,FFZ Nhaduate
info,player,Mozambique,JM Joao
info,player,Mozambique,DV Macome
info,player,Mozambique,CB Roposo
info,registry,people,AA Navicha,5c805a60
info,registry,people,AM Rajpurohit,06b8bdb3
info,registry,people,Abubacarr Kuyateh,0ec45a9a
info,registry,people,Andre Jarju,53dd7d8e
info,registry,people,Asim Ashraf,ca47f0fb
info,registry,people,B Jaye,063d0e83
info,registry,people,CB Roposo,31f01815
info,registry,people,D Odhiambo,45994517
info,registry,people,DV Macome,af4c15c5
info,registry,people,ET Dube,4c0891bc
info,registry,people,F Campbell,02c3024c
info,registry,people,F Damiao Couana,2c535f08
info,registry,people,FA Cossa,3b52d247
info,registry,people,FFZ Nhaduate,a82e0db7
info,registry,people,IO Oyieko,de4828fa
info,registry,people,Ismaila Tanba,180e2c15
info,registry,people,JJ Huo,d816fc1c
info,registry,people,JM Joao,2ef6c852
info,registry,people,LI Salomone,a7b67d5d
info,registry,people,M Jobarteh,4a2ce060
info,registry,people,MF Manjate,882fd091
info,registry,people,Muhammed Manga,6084f6ee
info,registry,people,Ousman Bah,95c214dd
info,registry,people,P Sizara,5d45bb7f
info,registry,people,Shan Siddiqui,e2b86f12
info,registry,people,VE Tembo,1439a13c
ball,1,0.1,Gambia,Muhammed Manga,Asim Ashraf,F Damiao Couana,0,0,,,,,,"",""
ball,1,0.2,Gambia,Muhammed Manga,Asim Ashraf,F Damiao Couana,2,0,,,,,,"",""
ball,1,0.3,Gambia,Muhammed Manga,Asim Ashraf,F Damiao Couana,1,0,,,,,,"",""
ball,1,0.4,Gambia,Asim Ashraf,Muhammed Manga,F Damiao Couana,0,0,,,,,,"",""
ball,1,0.5,Gambia,Asim Ashraf,Muhammed Manga,F Damiao Couana,0,0,,,,,,"",""
ball,1,0.6,Gambia,Asim Ashraf,Muhammed Manga,F Damiao Couana,0,1,,,,1,,"",""
ball,1,1.1,Gambia,Asim Ashraf,Muhammed Manga,DV Macome,0,4,,,,4,,"",""
ball,1,1.2,Gambia,Asim Ashraf,Muhammed Manga,DV Macome,0,0,,,,,,"",""
ball,1,1.3,Gambia,Asim Ashraf,Muhammed Manga,DV Macome,0,1,,,,1,,"",""
ball,1,1.4,Gambia,Muhammed Manga,Asim Ashraf,DV Macome,0,0,,,,,,"",""
ball,1,1.5,Gambia,Muhammed Manga,Asim Ashraf,DV Macome,0,0,,,,,,"",""
ball,1,1.6,Gambia,Muhammed Manga,Asim Ashraf,DV Macome,0,0,,,,,,"",""
ball,1,2.1,Gambia,Asim Ashraf,Muhammed Manga,F Damiao Couana,1,0,,,,,,"",""
ball,1,2.2,Gambia,Muhammed Manga,Asim Ashraf,F Damiao Couana,4,0,,,,,,"",""
ball,1,2.3,Gambia,Muhammed Manga,Asim Ashraf,F Damiao Couana,1,0,,,,,,"",""
ball,1,2.4,Gambia,Asim Ashraf,Muhammed Manga,F Damiao Couana,0,0,,,,,,"",""
ball,1,2.5,Gambia,Asim Ashraf,Muhammed Manga,F Damiao Couana,1,1,,1,,,,"",""
ball,1,2.6,Gambia,Muhammed Manga,Asim Ashraf,F Damiao Couana,2,0,,,,,,"",""
ball,1,2.7,Gambia,Muhammed Manga,Asim Ashraf,F Damiao Couana,0,0,,,,,,"",""
ball,1,3.1,Gambia,Asim Ashraf,Muhammed Manga,DV Macome,1,0,,,,,,"",""
ball,1,3.2,Gambia,Muhammed Manga,Asim Ashraf,DV Macome,4,0,,,,,,"",""
ball,1,3.3,Gambia,Muhammed Manga,Asim Ashraf,DV Macome,4,0,,,,,,"",""
ball,1,3.4,Gambia,Muhammed Manga,Asim Ashraf,DV Macome,0,0,,,,,,"",""
ball,1,3.5,Gambia,Muhammed Manga,Asim Ashraf,DV Macome,0,0,,,,,,"",""
ball,1,3.6,Gambia,Muhammed Manga,Asim Ashraf,DV Macome,0,0,,,,,,"",""
ball,1,4.1,Gambia,Asim Ashraf,Muhammed Manga,JJ Huo,1,0,,,,,,"",""
