version,1.7.0
info,balls_per_over,6
info,team,Bahamas
info,team,Argentina
info,gender,male
info,season,2024/25
info,date,2024/12/08
info,event,ICC Men's T20 World Cup Sub Regional Americas Qualifier
info,match_number,10
info,venue,"Hurlingham Club Ground, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Bahamas
info,toss_decision,bat
info,player_of_match,Festus Benn
info,umpire,C La Borde
info,umpire,Vijaya Mallela
info,reserve_umpire,H Grewal
info,match_referee,Phil Whitticase
info,winner,Bahamas
info,winner_runs,18
info,player,Bahamas,M Taylor
info,player,Bahamas,K Hinds
info,player,Bahamas,E Duff
info,player,Bahamas,D Wheatley
info,player,Bahamas,J Jemison
info,player,Bahamas,Festus Benn
info,player,Bahamas,Rudolph Fox
info,player,Bahamas,Sandeep Goud
info,player,Bahamas,R Davson
info,player,Bahamas,A Harris
info,player,Bahamas,DG Weakley
info,player,Argentina,Lucas Rossi
info,player,Argentina,Guido Angeletti
info,player,Argentina,P Baron
info,player,Argentina,A Kirschbaum
info,player,Argentina,T Rossi
info,player,Argentina,AAP Rivero
info,player,Argentina,A Ferguson
info,player,Argentina,A Mustafa
info,player,Argentina,H Fennell
info,player,Argentina,Manuel Iturbe
info,player,Argentina,Santiago Iturbe
info,registry,people,A Ferguson,4a8d1b14
info,registry,people,A Harris,bbafa5d6
info,registry,people,A Kirschbaum,d953bf92
info,registry,people,A Mustafa,a4571ba9
info,registry,people,AAP Rivero,1911dcbc
info,registry,people,C La Borde,32157f67
info,registry,people,D Wheatley,04539335
info,registry,people,DG Weakley,224a9f5e
info,registry,people,E Duff,b7873c81
info,registry,people,Festus Benn,de6b3760
info,registry,people,Guido Angeletti,6d6f52fc
info,registry,people,H Fennell,0d38ab25
info,registry,people,H Grewal,1172f36e
info,registry,people,J Jemison,ce1abd25
info,registry,people,K Hinds,a268c07b
info,registry,people,Lucas Rossi,2064e555
info,registry,people,M Taylor,92075cdc
info,registry,people,Manuel Iturbe,bddbf5ec
info,registry,people,P Baron,c6d1b1e4
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,R Davson,7804d401
info,registry,people,Rudolph Fox,fd1041d2
info,registry,people,Sandeep Goud,c83ef4d6
info,registry,people,Santiago Iturbe,851b0636
info,registry,people,T Rossi,5470418a
info,registry,people,Vijaya Mallela,85b6244a
ball,1,0.1,Bahamas,M Taylor,K Hinds,A Kirschbaum,4,0,,,,,,"",""
ball,1,0.2,Bahamas,M Taylor,K Hinds,A Kirschbaum,2,0,,,,,,"",""
ball,1,0.3,Bahamas,M Taylor,K Hinds,A Kirschbaum,0,0,,,,,,"",""
ball,1,0.4,Bahamas,M Taylor,K Hinds,A Kirschbaum,4,0,,,,,,"",""
ball,1,0.5,Bahamas,M Taylor,K Hinds,A Kirschbaum,0,0,,,,,,"",""
ball,1,0.6,Bahamas,M Taylor,K Hinds,A Kirschbaum,1,0,,,,,,"",""
ball,1,1.1,Bahamas,M Taylor,K Hinds,H Fennell,1,0,,,,,,"",""
ball,1,1.2,Bahamas,K Hinds,M Taylor,H Fennell,0,0,,,,,,"",""
ball,1,1.3,Bahamas,K Hinds,M Taylor,H Fennell,0,0,,,,,,"",""
ball,1,1.4,Bahamas,K Hinds,M Taylor,H Fennell,4,0,,,,,,"",""
ball,1,1.5,Bahamas,K Hinds,M Taylor,H Fennell,0,0,,,,,,"",""
ball,1,1.6,Bahamas,K Hinds,M Taylor,H Fennell,0,0,,,,,,"",""
ball,1,2.1,Bahamas,M Taylor,K Hinds,T Rossi,0,1,1,,,,,"",""
ball,1,2.2,Bahamas,M Taylor,K Hinds,T Rossi,1,0,,,,,,"",""
ball,1,2.3,Bahamas,K Hinds,M Taylor,T Rossi,0,0,,,,,,caught,K Hinds
ball,1,2.4,Bahamas,E Duff,M Taylor,T Rossi,0,0,,,,,,"",""
ball,1,2.5,Bahamas,E Duff,M Taylor,T Rossi,0,0,,,,,,"",""
ball,1,2.6,Bahamas,E Duff,M Taylor,T Rossi,1,0,,,,,,"",""
ball,1,2.7,Bahamas,M Taylor,E Duff,T Rossi,0,0,,,,,,"",""
ball,1,3.1,Bahamas,E Duff,M Taylor,H Fennell,0,0,,,,,,"",""
ball,1,3.2,Bahamas,E Duff,M Taylor,H Fennell,1,0,,,,,,"",""
ball,1,3.3,Bahamas,M Taylor,E Duff,H Fennell,0,0,,,,,,"",""
ball,1,3.4,Bahamas,M Taylor,E Duff,H Fennell,4,0,,,,,,"",""
ball,1,3.5,Bahamas,M Taylor,E Duff,H Fennell,0,0,,,,,,"",""
ball,1,3.6,Bahamas,M Taylor,E Duff,H Fennell,0,0,,,,,,"",""
