version,1.7.0
info,balls_per_over,6
info,team,Cameroon
info,team,Malawi
info,gender,male
info,season,2024
info,date,2024/09/25
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,12
info,venue,University of Dar-es-Salaam Ground
info,city,Dar-es-Salaam
info,toss_winner,Malawi
info,toss_decision,field
info,player_of_match,MA Baig
info,umpire,D Odhiambo
info,umpire,Patric Makumbi
info,reserve_umpire,Aasif Iqbal
info,match_referee,S Wadvalla
info,winner,Malawi
info,winner_wickets,9
info,player,Cameroon,AR Balla
info,player,Cameroon,I Tchakou
info,player,Cameroon,BN Toube
info,player,Cameroon,RD Atangana
info,player,Cameroon,AN Toube
info,player,Cameroon,DB Loic
info,player,Cameroon,JB Abega
info,player,Cameroon,AN Aminou
info,player,Cameroon,FJ Mpegna
info,player,Cameroon,VF Bomnyuy
info,player,Cameroon,SYS Assegon
info,player,Malawi,D Kansonkho
info,player,Malawi,G Kansonkho
info,player,Malawi,Sami Sohail
info,player,Malawi,GM Ntambalika
info,player,Malawi,D Jakiel
info,player,Malawi,A Limdawala
info,player,Malawi,MA Baig
info,player,Malawi,M Choamba
info,player,Malawi,B Pondani
info,player,Malawi,P Zuze
info,player,Malawi,SZ Vayani
info,registry,people,A Limdawala,2bcbcac3
info,registry,people,AN Aminou,6d9d2de7
info,registry,people,AN Toube,7f929ebe
info,registry,people,AR Balla,4b83e65a
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,B Pondani,e5117568
info,registry,people,BN Toube,75f3aa00
info,registry,people,D Jakiel,8b7ce771
info,registry,people,D Kansonkho,45ca12a7
info,registry,people,D Odhiambo,45994517
info,registry,people,DB Loic,01679383
info,registry,people,FJ Mpegna,d3893060
info,registry,people,G Kansonkho,f3ca5af8
info,registry,people,GM Ntambalika,8c8a3f08
info,registry,people,I Tchakou,4d2b96b4
info,registry,people,JB Abega,b7abb123
info,registry,people,M Choamba,5570c4c1
info,registry,people,MA Baig,89394502
info,registry,people,P Zuze,04420914
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,RD Atangana,490f475a
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SYS Assegon,be48d2e5
info,registry,people,SZ Vayani,a4afc486
info,registry,people,Sami Sohail,602ebd4c
info,registry,people,VF Bomnyuy,3bc18521
ball,1,0.1,Cameroon,AR Balla,I Tchakou,D Jakiel,0,0,,,,,,"",""
ball,1,0.2,Cameroon,AR Balla,I Tchakou,D Jakiel,0,0,,,,,,"",""
ball,1,0.3,Cameroon,AR Balla,I Tchakou,D Jakiel,1,0,,,,,,"",""
ball,1,0.4,Cameroon,I Tchakou,AR Balla,D Jakiel,4,0,,,,,,"",""
ball,1,0.5,Cameroon,I Tchakou,AR Balla,D Jakiel,0,0,,,,,,"",""
ball,1,0.6,Cameroon,I Tchakou,AR Balla,D Jakiel,0,0,,,,,,caught,I Tchakou
ball,1,1.1,Cameroon,AR Balla,BN Toube,B Pondani,0,0,,,,,,"",""
ball,1,1.2,Cameroon,AR Balla,BN Toube,B Pondani,0,0,,,,,,"",""
ball,1,1.3,Cameroon,AR Balla,BN Toube,B Pondani,1,0,,,,,,"",""
ball,1,1.4,Cameroon,BN Toube,AR Balla,B Pondani,0,0,,,,,,"",""
ball,1,1.5,Cameroon,BN Toube,AR Balla,B Pondani,0,0,,,,,,"",""
ball,1,1.6,Cameroon,BN Toube,AR Balla,B Pondani,0,1,1,,,,,"",""
ball,1,1.7,Cameroon,BN Toube,AR Balla,B Pondani,0,0,,,,,,"",""
ball,1,2.1,Cameroon,AR Balla,BN Toube,D Jakiel,0,0,,,,,,"",""
ball,1,2.2,Cameroon,AR Balla,BN Toube,D Jakiel,0,0,,,,,,"",""
ball,1,2.3,Cameroon,AR Balla,BN Toube,D Jakiel,0,0,,,,,,"",""
ball,1,2.4,Cameroon,AR Balla,BN Toube,D Jakiel,0,0,,,,,,"",""
ball,1,2.5,Cameroon,AR Balla,BN Toube,D Jakiel,0,0,,,,,,caught,AR Balla
ball,1,2.6,Cameroon,RD Atangana,BN Toube,D Jakiel,0,0,,,,,,"",""
ball,1,3.1,Cameroon,BN Toube,RD Atangana,B Pondani,4,0,,,,,,"",""
ball,1,3.2,Cameroon,BN Toube,RD Atangana,B Pondani,0,0,,,,,,"",""
ball,1,3.3,Cameroon,BN Toube,RD Atangana,B Pondani,0,0,,,,,,"",""
ball,1,3.4,Cameroon,BN Toube,RD Atangana,B Pondani,1,0,,,,,,"",""
ball,1,3.5,Cameroon,RD Atangana,BN Toube,B Pondani,0,0,,,,,,"",""
