version,1.7.0
info,balls_per_over,6
info,team,Oman
info,team,Kuwait
info,gender,male
info,season,2024
info,date,2024/04/17
info,event,ACC Men's Premier Cup
info,match_number,20
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
info,city,Al Amarat
info,toss_winner,Kuwait
info,toss_decision,field
info,player_of_match,Zeeshan Maqsood
info,umpire,Abdul Jabbar
info,umpire,VK Jha
info,reserve_umpire,Ahmed Shah Durrani
info,tv_umpire,Shiju Sam
info,match_referee,Selim Shahid
info,winner,Oman
info,winner_runs,46
info,player,Oman,KH Prajapati
info,player,Oman,Naseem Khushi
info,player,Oman,Aqib Ilyas
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Khalid Kail
info,player,Oman,Ayan Khan
info,player,Oman,PS Athavale
info,player,Oman,Rafiullah
info,player,Oman,Shakeel Ahmed
info,player,Oman,Fayyaz Butt
info,player,Oman,Bilal Khan
info,player,Kuwait,CV Anto
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,Adnan Idrees
info,player,Kuwait,Usman Patel
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Sayed Monib
info,player,Kuwait,Nimish Lathief
info,player,Kuwait,Ilyas Ahmed
info,registry,people,Abdul Jabbar,3f4b9ae5
info,registry,people,Adnan Idrees,0e34c23a
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Aqib Ilyas,b3b39bed
info,registry,people,Ayan Khan,44d6a8b8
info,registry,people,Bilal Khan,dcdb87f2
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,CV Anto,c01ca5af
info,registry,people,Fayyaz Butt,bd9fbd51
info,registry,people,Ilyas Ahmed,42a01b52
info,registry,people,KH Prajapati,c4e73ff1
info,registry,people,Khalid Kail,3ee90b67
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Naseem Khushi,c63671e9
info,registry,people,Nimish Lathief,b561e8ea
info,registry,people,PS Athavale,c2f12310
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Rafiullah,369cc49c
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Selim Shahid,b478bce3
info,registry,people,Shakeel Ahmed,e29e9c12
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,Usman Patel,415c6ccf
info,registry,people,VK Jha,5d46eb72
info,registry,people,Yasin Patel,ecdd8d60
info,registry,people,Zeeshan Maqsood,34464143
ball,1,0.1,Oman,KH Prajapati,Naseem Khushi,Yasin Patel,1,0,,,,,,"",""
ball,1,0.2,Oman,Naseem Khushi,KH Prajapati,Yasin Patel,4,0,,,,,,"",""
ball,1,0.3,Oman,Naseem Khushi,KH Prajapati,Yasin Patel,4,0,,,,,,"",""
ball,1,0.4,Oman,Naseem Khushi,KH Prajapati,Yasin Patel,4,0,,,,,,"",""
ball,1,0.5,Oman,Naseem Khushi,KH Prajapati,Yasin Patel,0,0,,,,,,"",""
ball,1,0.6,Oman,Naseem Khushi,KH Prajapati,Yasin Patel,1,0,,,,,,"",""
ball,1,1.1,Oman,Naseem Khushi,KH Prajapati,Ilyas Ahmed,0,0,,,,,,"",""
ball,1,1.2,Oman,Naseem Khushi,KH Prajapati,Ilyas Ahmed,0,0,,,,,,"",""
ball,1,1.3,Oman,Naseem Khushi,KH Prajapati,Ilyas Ahmed,0,0,,,,,,"",""
ball,1,1.4,Oman,Naseem Khushi,KH Prajapati,Ilyas Ahmed,0,0,,,,,,run out,Naseem Khushi
ball,1,1.5,Oman,Aqib Ilyas,KH Prajapati,Ilyas Ahmed,2,0,,,,,,"",""
ball,1,1.6,Oman,Aqib Ilyas,KH Prajapati,Ilyas Ahmed,1,0,,,,,,"",""
ball,1,2.1,Oman,Aqib Ilyas,KH Prajapati,Yasin Patel,1,0,,,,,,"",""
ball,1,2.2,Oman,KH Prajapati,Aqib Ilyas,Yasin Patel,4,0,,,,,,"",""
ball,1,2.3,Oman,KH Prajapati,Aqib Ilyas,Yasin Patel,0,0,,,,,,"",""
ball,1,2.4,Oman,KH Prajapati,Aqib Ilyas,Yasin Patel,0,0,,,,,,"",""
ball,1,2.5,Oman,KH Prajapati,Aqib Ilyas,Yasin Patel,0,0,,,,,,caught,KH Prajapati
ball,1,2.6,Oman,Zeeshan Maqsood,Aqib Ilyas,Yasin Patel,0,0,,,,,,"",""
ball,1,3.1,Oman,Aqib Ilyas,Zeeshan Maqsood,Ilyas Ahmed,1,0,,,,,,"",""
ball,1,3.2,Oman,Zeeshan Maqsood,Aqib Ilyas,Ilyas Ahmed,1,0,,,,,,"",""
ball,1,3.3,Oman,Aqib Ilyas,Zeeshan Maqsood,Ilyas Ahmed,0,0,,,,,,"",""
ball,1,3.4,Oman,Aqib Ilyas,Zeeshan Maqsood,Ilyas Ahmed,0,0,,,,,,"",""
ball,1,3.5,Oman,Aqib Ilyas,Zeeshan Maqsood,Ilyas Ahmed,0,0,,,,,,"",""
