version,1.7.0
info,balls_per_over,6
info,team,Thailand
info,team,Qatar
info,gender,male
info,season,2024/25
info,date,2024/11/19
info,event,ICC Men's T20 World Cup Asia Qualifier B
info,match_number,1
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,Qatar
info,toss_decision,field
info,player_of_match,Mohammad Ahnaff
info,umpire,Akbar Ali
info,umpire,VG Rathi
info,reserve_umpire,Ahmed Shah Durrani
info,match_referee,Ali Naqvi
info,winner,Qatar
info,winner_wickets,5
info,player,Thailand,AP Yadav
info,player,Thailand,C Chatphaisan
info,player,Thailand,Y Saranonnakkun
info,player,Thailand,S Desungnoen
info,player,Thailand,AV Lazarus
info,player,Thailand,N Salekar
info,player,Thailand,J Coetzee
info,player,Thailand,S Rungrueang
info,player,Thailand,K Senamontree
info,player,Thailand,N Senamontree
info,player,Thailand,A Kalasi
info,player,Qatar,I Liyanage
info,player,Qatar,Saqlain Arshad
info,player,Qatar,Mohammad Ahnaff
info,player,Qatar,Mohammad Rizlan
info,player,Qatar,Muhammad Tanveer
info,player,Qatar,MM Baig
info,player,Qatar,Ikramullah Khan
info,player,Qatar,Muhammad Jabir
info,player,Qatar,H Rathod
info,player,Qatar,Mohammed Nadeem
info,player,Qatar,Nouman Sarwar
info,registry,people,A Kalasi,8930a2a6
info,registry,people,AP Yadav,a5501504
info,registry,people,AV Lazarus,30c917bf
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Akbar Ali,e753931d
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,C Chatphaisan,85c56be8
info,registry,people,H Rathod,1f943bef
info,registry,people,I Liyanage,826e1017
info,registry,people,Ikramullah Khan,c6e1354c
info,registry,people,J Coetzee,3ad06915
info,registry,people,K Senamontree,e553e27f
info,registry,people,MM Baig,add288ea
info,registry,people,Mohammad Ahnaff,9b85a13a
info,registry,people,Mohammad Rizlan,82afc034
info,registry,people,Mohammed Nadeem,856cbb1e
info,registry,people,Muhammad Jabir,b67af1c4
info,registry,people,Muhammad Tanveer,aef39fe4
info,registry,people,N Salekar,54403333
info,registry,people,N Senamontree,44e00a4c
info,registry,people,Nouman Sarwar,6adabee6
info,registry,people,Owais Ahmed,cef52835
info,registry,people,S Desungnoen,3eb26dc4
info,registry,people,S Rungrueang,35ae9e8a
info,registry,people,Saqlain Arshad,71ad618b
info,registry,people,VG Rathi,144e5b16
info,registry,people,Y Saranonnakkun,9c93c0a3
ball,1,0.1,Thailand,AP Yadav,C Chatphaisan,Muhammad Jabir,0,0,,,,,,"",""
ball,1,0.2,Thailand,AP Yadav,C Chatphaisan,Muhammad Jabir,0,1,,,,1,,"",""
ball,1,0.3,Thailand,C Chatphaisan,AP Yadav,Muhammad Jabir,3,0,,,,,,"",""
ball,1,0.4,Thailand,AP Yadav,C Chatphaisan,Muhammad Jabir,0,0,,,,,,"",""
ball,1,0.5,Thailand,AP Yadav,C Chatphaisan,Muhammad Jabir,1,0,,,,,,"",""
ball,1,0.6,Thailand,C Chatphaisan,AP Yadav,Muhammad Jabir,0,0,,,,,,"",""
ball,1,1.1,Thailand,AP Yadav,C Chatphaisan,MM Baig,2,0,,,,,,"",""
ball,1,1.2,Thailand,AP Yadav,C Chatphaisan,MM Baig,0,0,,,,,,"",""
ball,1,1.3,Thailand,AP Yadav,C Chatphaisan,MM Baig,0,0,,,,,,"",""
ball,1,1.4,Thailand,AP Yadav,C Chatphaisan,MM Baig,0,0,,,,,,"",""
ball,1,1.5,Thailand,AP Yadav,C Chatphaisan,MM Baig,2,0,,,,,,"",""
ball,1,1.6,Thailand,AP Yadav,C Chatphaisan,MM Baig,0,0,,,,,,"",""
ball,1,2.1,Thailand,C Chatphaisan,AP Yadav,Muhammad Jabir,0,0,,,,,,"",""
ball,1,2.2,Thailand,C Chatphaisan,AP Yadav,Muhammad Jabir,0,0,,,,,,"",""
ball,1,2.3,Thailand,C Chatphaisan,AP Yadav,Muhammad Jabir,0,0,,,,,,"",""
ball,1,2.4,Thailand,C Chatphaisan,AP Yadav,Muhammad Jabir,0,1,1,,,,,"",""
ball,1,2.5,Thailand,C Chatphaisan,AP Yadav,Muhammad Jabir,0,0,,,,,,"",""
ball,1,2.6,Thailand,C Chatphaisan,AP Yadav,Muhammad Jabir,0,0,,,,,,"",""
ball,1,2.7,Thailand,C Chatphaisan,AP Yadav,Muhammad Jabir,0,1,,1,,,,"",""
ball,1,2.8,Thailand,C Chatphaisan,AP Yadav,Muhammad Jabir,0,0,,,,,,"",""
ball,1,3.1,Thailand,AP Yadav,C Chatphaisan,MM Baig,1,0,,,,,,"",""
ball,1,3.2,Thailand,C Chatphaisan,AP Yadav,MM Baig,0,0,,,,,,caught,C Chatphaisan
ball,1,3.3,Thailand,Y Saranonnakkun,AP Yadav,MM Baig,0,0,,,,,,"",""
ball,1,3.4,Thailand,Y Saranonnakkun,AP Yadav,MM Baig,0,0,,,,,,"",""
ball,1,3.5,Thailand,Y Saranonnakkun,AP Yadav,MM Baig,0,0,,,,,,"",""
ball,1,3.6,Thailand,Y Saranonnakkun,AP Yadav,MM Baig,4,0,,,,,,"",""
ball,1,4.1,Thailand,AP Yadav,Y Saranonnakkun,Nouman Sarwar,4,0,,,,,,"",""
ball,1,4.2,Thailand,AP Yadav,Y Saranonnakkun,Nouman Sarwar,0,1,,,,1,,"",""
ball,1,4.3,Thailand,Y Saranonnakkun,AP Yadav,Nouman Sarwar,0,1,1,,,,,"",""
ball,1,4.4,Thailand,Y Saranonnakkun,AP Yadav,Nouman Sarwar,0,0,,,,,,"",""
ball,1,4.5,Thailand,Y Saranonnakkun,AP Yadav,Nouman Sarwar,2,0,,,,,,"",""
ball,1,4.6,Thailand,Y Saranonnakkun,AP Yadav,Nouman Sarwar,0,1,,,,1,,"",""
ball,1,4.7,Thailand,AP Yadav,Y Saranonnakkun,Nouman Sarwar,1,0,,,,,,"",""
ball,1,5.1,Thailand,AP Yadav,Y Saranonnakkun,Ikramullah Khan,2,0,,,,,,"",""
ball,1,5.2,Thailand,AP Yadav,Y Saranonnakkun,Ikramullah Khan,0,0,,,,,,"",""
ball,1,5.3,Thailand,AP Yadav,Y Saranonnakkun,Ikramullah Khan,1,0,,,,,,"",""
ball,1,5.4,Thailand,Y Saranonnakkun,AP Yadav,Ikramullah Khan,0,0,,,,,,"",""
