version,1.7.0
info,balls_per_over,6
info,team,Ireland
info,team,Zimbabwe
info,gender,male
info,season,2022/23
info,date,2023/01/12
info,event,Ireland tour of Zimbabwe
info,match_number,1
info,venue,Harare Sports Club
info,city,Harare
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,RP Burl
info,umpire,I Chabi
info,umpire,L Rusere
info,reserve_umpire,C Phiri
info,tv_umpire,F Mutizwa
info,match_referee,AJ Pycroft
info,winner,Zimbabwe
info,winner_wickets,5
info,player,Ireland,A Balbirnie
info,player,Ireland,GR Adair
info,player,Ireland,ST Doheny
info,player,Ireland,HT Tector
info,player,Ireland,C Campher
info,player,Ireland,GH Dockrell
info,player,Ireland,TE Kane
info,player,Ireland,GJ Delany
info,player,Ireland,MR Adair
info,player,Ireland,F Hand
info,player,Ireland,BJ McCarthy
info,player,Zimbabwe,CR Ervine
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,GS Ballance
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,C Madande
info,player,Zimbabwe,B Evans
info,player,Zimbabwe,WP Masakadza
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,TL Chatara
info,registry,people,A Balbirnie,6ef13460
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,B Evans,e7e86505
info,registry,people,BJ McCarthy,3766056b
info,registry,people,C Campher,478a63e7
info,registry,people,C Madande,3560a786
info,registry,people,C Phiri,ade73404
info,registry,people,CR Ervine,c96311d4
info,registry,people,F Hand,e3fe4b49
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GJ Delany,33b3d2df
info,registry,people,GR Adair,4ec96094
info,registry,people,GS Ballance,755a77c6
info,registry,people,HT Tector,59ea70a4
info,registry,people,I Chabi,5e39110e
info,registry,people,L Rusere,6a4734ae
info,registry,people,MR Adair,fc55ec67
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,SC Williams,afe57f7a
info,registry,people,ST Doheny,4992d6f6
info,registry,people,T Marumani,3d5d51a5
info,registry,people,TE Kane,af28816c
info,registry,people,TL Chatara,5bbabe59
info,registry,people,W Madhevere,a879b92c
info,registry,people,WP Masakadza,4bc0a378
ball,1,0.1,Ireland,A Balbirnie,GR Adair,TL Chatara,0,0,,,,,,"",""
ball,1,0.2,Ireland,A Balbirnie,GR Adair,TL Chatara,1,0,,,,,,"",""
ball,1,0.3,Ireland,GR Adair,A Balbirnie,TL Chatara,0,0,,,,,,"",""
ball,1,0.4,Ireland,GR Adair,A Balbirnie,TL Chatara,1,0,,,,,,"",""
ball,1,0.5,Ireland,A Balbirnie,GR Adair,TL Chatara,0,0,,,,,,"",""
ball,1,0.6,Ireland,A Balbirnie,GR Adair,TL Chatara,0,0,,,,,,"",""
ball,1,1.1,Ireland,GR Adair,A Balbirnie,R Ngarava,0,0,,,,,,"",""
ball,1,1.2,Ireland,GR Adair,A Balbirnie,R Ngarava,4,0,,,,,,"",""
ball,1,1.3,Ireland,GR Adair,A Balbirnie,R Ngarava,0,0,,,,,,"",""
ball,1,1.4,Ireland,GR Adair,A Balbirnie,R Ngarava,0,0,,,,,,bowled,GR Adair
ball,1,1.5,Ireland,ST Doheny,A Balbirnie,R Ngarava,2,0,,,,,,"",""
ball,1,1.6,Ireland,ST Doheny,A Balbirnie,R Ngarava,0,0,,,,,,"",""
ball,1,2.1,Ireland,A Balbirnie,ST Doheny,TL Chatara,4,0,,,,,,"",""
ball,1,2.2,Ireland,A Balbirnie,ST Doheny,TL Chatara,0,0,,,,,,"",""
ball,1,2.3,Ireland,A Balbirnie,ST Doheny,TL Chatara,0,0,,,,,,caught,A Balbirnie
ball,1,2.4,Ireland,HT Tector,ST Doheny,TL Chatara,0,0,,,,,,"",""
ball,1,2.5,Ireland,HT Tector,ST Doheny,TL Chatara,0,0,,,,,,"",""
ball,1,2.6,Ireland,HT Tector,ST Doheny,TL Chatara,0,0,,,,,,"",""
ball,1,3.1,Ireland,ST Doheny,HT Tector,B Evans,0,0,,,,,,"",""
ball,1,3.2,Ireland,ST Doheny,HT Tector,B Evans,0,0,,,,,,"",""
ball,1,3.3,Ireland,ST Doheny,HT Tector,B Evans,0,0,,,,,,"",""
ball,1,3.4,Ireland,ST Doheny,HT Tector,B Evans,0,0,,,,,,"",""
ball,1,3.5,Ireland,ST Doheny,HT Tector,B Evans,1,0,,,,,,"",""
ball,1,3.6,Ireland,HT Tector,ST Doheny,B Evans,1,0,,,,,,"",""
