version,1.7.0
info,balls_per_over,6
info,team,Oman
info,team,England
info,gender,male
info,season,2024
info,date,2024/06/13
info,event,ICC Men's T20 World Cup
info,match_number,28
info,venue,"Sir Vivian Richards Stadium, North Sound, Antigua"
info,city,North Sound
info,toss_winner,England
info,toss_decision,field
info,player_of_match,AU Rashid
info,umpire,Asif Yaqoob
info,umpire,L Rusere
info,reserve_umpire,Rashid Riaz
info,tv_umpire,Nitin Menon
info,match_referee,AJ Pycroft
info,winner,England
info,winner_wickets,8
info,player,Oman,PS Athavale
info,player,Oman,KH Prajapati
info,player,Oman,Aqib Ilyas
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Khalid Kail
info,player,Oman,Ayan Khan
info,player,Oman,Shoaib Khan
info,player,Oman,Mehran Khan
info,player,Oman,Fayyaz Butt
info,player,Oman,Kaleemullah
info,player,Oman,Bilal Khan
info,player,England,PD Salt
info,player,England,JC Buttler
info,player,England,WG Jacks
info,player,England,JM Bairstow
info,player,England,HC Brook
info,player,England,MM Ali
info,player,England,LS Livingstone
info,player,England,JC Archer
info,player,England,AU Rashid
info,player,England,MA Wood
info,player,England,RJW Topley
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,AU Rashid,249d60c9
info,registry,people,Aqib Ilyas,b3b39bed
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,Ayan Khan,44d6a8b8
info,registry,people,Bilal Khan,dcdb87f2
info,registry,people,Fayyaz Butt,bd9fbd51
info,registry,people,HC Brook,4ae1755b
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JM Bairstow,abb83e27
info,registry,people,KH Prajapati,c4e73ff1
info,registry,people,Kaleemullah,72253b87
info,registry,people,Khalid Kail,3ee90b67
info,registry,people,L Rusere,6a4734ae
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MA Wood,8d92a2c3
info,registry,people,MM Ali,bb351c23
info,registry,people,Mehran Khan,d7bfcc0b
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PD Salt,3d284ca3
info,registry,people,PS Athavale,c2f12310
info,registry,people,RJW Topley,8db7f47f
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,Shoaib Khan,21afb939
info,registry,people,WG Jacks,9caf69a1
info,registry,people,Zeeshan Maqsood,34464143
ball,1,0.1,Oman,PS Athavale,KH Prajapati,RJW Topley,1,0,,,,,,"",""
ball,1,0.2,Oman,KH Prajapati,PS Athavale,RJW Topley,0,0,,,,,,"",""
ball,1,0.3,Oman,KH Prajapati,PS Athavale,RJW Topley,0,0,,,,,,"",""
ball,1,0.4,Oman,KH Prajapati,PS Athavale,RJW Topley,0,0,,,,,,"",""
ball,1,0.5,Oman,KH Prajapati,PS Athavale,RJW Topley,0,0,,,,,,"",""
ball,1,0.6,Oman,KH Prajapati,PS Athavale,RJW Topley,0,0,,,,,,"",""
ball,1,1.1,Oman,PS Athavale,KH Prajapati,JC Archer,0,1,1,,,,,"",""
ball,1,1.2,Oman,PS Athavale,KH Prajapati,JC Archer,4,0,,,,,,"",""
ball,1,1.3,Oman,PS Athavale,KH Prajapati,JC Archer,0,0,,,,,,caught,PS Athavale
ball,1,1.4,Oman,Aqib Ilyas,KH Prajapati,JC Archer,0,0,,,,,,"",""
ball,1,1.5,Oman,Aqib Ilyas,KH Prajapati,JC Archer,4,0,,,,,,"",""
ball,1,1.6,Oman,Aqib Ilyas,KH Prajapati,JC Archer,1,0,,,,,,"",""
ball,1,1.7,Oman,KH Prajapati,Aqib Ilyas,JC Archer,0,0,,,,,,"",""
ball,1,2.1,Oman,Aqib Ilyas,KH Prajapati,RJW Topley,0,0,,,,,,"",""
ball,1,2.2,Oman,Aqib Ilyas,KH Prajapati,RJW Topley,0,0,,,,,,"",""
ball,1,2.3,Oman,Aqib Ilyas,KH Prajapati,RJW Topley,1,0,,,,,,"",""
ball,1,2.4,Oman,KH Prajapati,Aqib Ilyas,RJW Topley,1,0,,,,,,"",""
ball,1,2.5,Oman,Aqib Ilyas,KH Prajapati,RJW Topley,0,0,,,,,,"",""
ball,1,2.6,Oman,Aqib Ilyas,KH Prajapati,RJW Topley,1,0,,,,,,"",""
ball,1,3.1,Oman,Aqib Ilyas,KH Prajapati,JC Archer,1,0,,,,,,"",""
ball,1,3.2,Oman,KH Prajapati,Aqib Ilyas,JC Archer,1,0,,,,,,"",""
ball,1,3.3,Oman,Aqib Ilyas,KH Prajapati,JC Archer,0,0,,,,,,caught,Aqib Ilyas
ball,1,3.4,Oman,Zeeshan Maqsood,KH Prajapati,JC Archer,0,0,,,,,,"",""
