version,1.7.0
info,balls_per_over,6
info,team,Indonesia
info,team,Myanmar
info,gender,male
info,season,2024/25
info,date,2024/11/17
info,event,Myanmar tour of Indonesia
info,match_number,5
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Indonesia
info,toss_decision,bat
info,player_of_match,IK Gamantika
info,umpire,F Shony
info,umpire,Yousuf Wadu
info,winner,Indonesia
info,winner_runs,114
info,player,Indonesia,KD Kesuma
info,player,Indonesia,FFJ Heo
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,PR Surve
info,player,Indonesia,IK Gamantika
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,GD Arta
info,player,Indonesia,F Banunaek
info,player,Indonesia,AA Rahayu
info,player,Myanmar,Paing Danu
info,player,Myanmar,Pyae Phyo Wai
info,player,Myanmar,KK Lin Thu
info,player,Myanmar,Swann Htet Ko Ko
info,player,Myanmar,H Lin Aung
info,player,Myanmar,Khin Aye
info,player,Myanmar,Thuya Aung
info,player,Myanmar,Aung Ko Ko
info,player,Myanmar,Nyeing Cham Soe
info,player,Myanmar,Hein Zin Aung
info,player,Myanmar,SMHH Aung
info,registry,people,AA Rahayu,2327fdc7
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Anjar Tadarus,72275237
info,registry,people,Aung Ko Ko,648d060e
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,F Shony,85712af4
info,registry,people,FFJ Heo,c73c75f9
info,registry,people,GD Arta,e969e580
info,registry,people,H Lin Aung,c343a8c6
info,registry,people,Hein Zin Aung,3543e384
info,registry,people,IK Gamantika,4d7c5b56
info,registry,people,IKEG Artawan,190957d2
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,KK Lin Thu,6cf75582
info,registry,people,Khin Aye,ad2efd29
info,registry,people,Nyeing Cham Soe,45b5ce8d
info,registry,people,PR Surve,206efeb1
info,registry,people,Paing Danu,1eb5affb
info,registry,people,Pyae Phyo Wai,09e86895
info,registry,people,SMHH Aung,0544b8a9
info,registry,people,Swann Htet Ko Ko,9ee21ee4
info,registry,people,Thuya Aung,2e092d2c
info,registry,people,Yousuf Wadu,cf41005c
ball,1,0.1,Indonesia,KD Kesuma,FFJ Heo,Khin Aye,0,0,,,,,,"",""
ball,1,0.2,Indonesia,KD Kesuma,FFJ Heo,Khin Aye,4,0,,,,,,"",""
ball,1,0.3,Indonesia,KD Kesuma,FFJ Heo,Khin Aye,0,0,,,,,,"",""
ball,1,0.4,Indonesia,KD Kesuma,FFJ Heo,Khin Aye,0,0,,,,,,"",""
ball,1,0.5,Indonesia,KD Kesuma,FFJ Heo,Khin Aye,1,0,,,,,,"",""
ball,1,0.6,Indonesia,FFJ Heo,KD Kesuma,Khin Aye,0,0,,,,,,"",""
ball,1,1.1,Indonesia,KD Kesuma,FFJ Heo,H Lin Aung,0,0,,,,,,run out,FFJ Heo
ball,1,1.2,Indonesia,KD Kesuma,Anjar Tadarus,H Lin Aung,0,0,,,,,,"",""
ball,1,1.3,Indonesia,KD Kesuma,Anjar Tadarus,H Lin Aung,4,0,,,,,,"",""
ball,1,1.4,Indonesia,KD Kesuma,Anjar Tadarus,H Lin Aung,4,0,,,,,,"",""
ball,1,1.5,Indonesia,KD Kesuma,Anjar Tadarus,H Lin Aung,1,0,,,,,,"",""
ball,1,1.6,Indonesia,Anjar Tadarus,KD Kesuma,H Lin Aung,0,1,1,,,,,"",""
ball,1,1.7,Indonesia,Anjar Tadarus,KD Kesuma,H Lin Aung,1,0,,,,,,"",""
ball,1,2.1,Indonesia,Anjar Tadarus,KD Kesuma,Khin Aye,0,0,,,,,,"",""
ball,1,2.2,Indonesia,Anjar Tadarus,KD Kesuma,Khin Aye,2,0,,,,,,"",""
ball,1,2.3,Indonesia,Anjar Tadarus,KD Kesuma,Khin Aye,1,0,,,,,,"",""
ball,1,2.4,Indonesia,KD Kesuma,Anjar Tadarus,Khin Aye,0,0,,,,,,"",""
ball,1,2.5,Indonesia,KD Kesuma,Anjar Tadarus,Khin Aye,4,0,,,,,,"",""
ball,1,2.6,Indonesia,KD Kesuma,Anjar Tadarus,Khin Aye,0,0,,,,,,"",""
ball,1,3.1,Indonesia,Anjar Tadarus,KD Kesuma,H Lin Aung,4,0,,,,,,"",""
ball,1,3.2,Indonesia,Anjar Tadarus,KD Kesuma,H Lin Aung,0,0,,,,,,"",""
ball,1,3.3,Indonesia,Anjar Tadarus,KD Kesuma,H Lin Aung,0,1,,,,1,,"",""
ball,1,3.4,Indonesia,KD Kesuma,Anjar Tadarus,H Lin Aung,6,0,,,,,,"",""
ball,1,3.5,Indonesia,KD Kesuma,Anjar Tadarus,H Lin Aung,1,0,,,,,,"",""
ball,1,3.6,Indonesia,Anjar Tadarus,KD Kesuma,H Lin Aung,0,0,,,,,,caught,Anjar Tadarus
ball,1,4.1,Indonesia,KD Kesuma,PR Surve,Khin Aye,2,0,,,,,,"",""
ball,1,4.2,Indonesia,KD Kesuma,PR Surve,Khin Aye,0,0,,,,,,"",""
ball,1,4.3,Indonesia,KD Kesuma,PR Surve,Khin Aye,1,0,,,,,,"",""
ball,1,4.4,Indonesia,PR Surve,KD Kesuma,Khin Aye,0,0,,,,,,"",""
ball,1,4.5,Indonesia,PR Surve,KD Kesuma,Khin Aye,0,0,,,,,,"",""
ball,1,4.6,Indonesia,PR Surve,KD Kesuma,Khin Aye,0,0,,,,,,"",""
ball,1,5.1,Indonesia,KD Kesuma,PR Surve,H Lin Aung,0,0,,,,,,caught,KD Kesuma
ball,1,5.2,Indonesia,IK Gamantika,PR Surve,H Lin Aung,0,0,,,,,,"",""
ball,1,5.3,Indonesia,IK Gamantika,PR Surve,H Lin Aung,1,0,,,,,,"",""
