version,1.7.0
info,balls_per_over,6
info,team,Rwanda
info,team,Botswana
info,gender,male
info,season,2024/25
info,date,2024/12/11
info,event,Africa Continental Cup
info,match_number,13
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Botswana
info,toss_decision,field
info,player_of_match,E Rukiriza
info,umpire,Habib Enesi
info,umpire,Patric Makumbi
info,reserve_umpire,IO Oyieko
info,match_referee,ET Dube
info,winner,Rwanda
info,winner_runs,25
info,player,Rwanda,O Manishimwe
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,I Niyomugabo
info,player,Rwanda,D Gumyusenge
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,RJ Pierre
info,player,Rwanda,E Rukiriza
info,player,Rwanda,M Akayezu
info,player,Rwanda,E Kubwimana
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,Muhammad Nadir
info,player,Botswana,K Motlanka
info,player,Botswana,V Balakrishnan
info,player,Botswana,M Kasselman
info,player,Botswana,R Nehonde
info,player,Botswana,T Perera
info,player,Botswana,P Silas
info,player,Botswana,M Badenhorst
info,player,Botswana,K Piet
info,player,Botswana,M Mooketsi
info,player,Botswana,B Khumalo
info,player,Botswana,B Kgosiemang
info,registry,people,B Kgosiemang,059ec7a5
info,registry,people,B Khumalo,33ab1f1c
info,registry,people,D Gumyusenge,eeb78e0a
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,E Kubwimana,bfc7799f
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,ET Dube,4c0891bc
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,I Niyomugabo,72bf5103
info,registry,people,IO Oyieko,de4828fa
info,registry,people,K Motlanka,21549344
info,registry,people,K Piet,39fd9295
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,M Badenhorst,8a22e5f0
info,registry,people,M Kasselman,c6889eb6
info,registry,people,M Mooketsi,008a024c
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,P Silas,9f2e1944
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R Nehonde,4393e047
info,registry,people,RJ Pierre,4fc115af
info,registry,people,T Perera,456397e5
info,registry,people,V Balakrishnan,0c1da0c4
info,registry,people,Z Bimenyimana,ba57fb08
ball,1,0.1,Rwanda,O Manishimwe,D Ndikubwimana,B Kgosiemang,0,0,,,,,,"",""
ball,1,0.2,Rwanda,O Manishimwe,D Ndikubwimana,B Kgosiemang,2,0,,,,,,"",""
ball,1,0.3,Rwanda,O Manishimwe,D Ndikubwimana,B Kgosiemang,1,0,,,,,,"",""
ball,1,0.4,Rwanda,D Ndikubwimana,O Manishimwe,B Kgosiemang,1,0,,,,,,"",""
ball,1,0.5,Rwanda,O Manishimwe,D Ndikubwimana,B Kgosiemang,1,0,,,,,,"",""
ball,1,0.6,Rwanda,D Ndikubwimana,O Manishimwe,B Kgosiemang,1,0,,,,,,"",""
ball,1,1.1,Rwanda,D Ndikubwimana,O Manishimwe,B Khumalo,2,0,,,,,,"",""
ball,1,1.2,Rwanda,D Ndikubwimana,O Manishimwe,B Khumalo,1,0,,,,,,"",""
ball,1,1.3,Rwanda,O Manishimwe,D Ndikubwimana,B Khumalo,0,1,,,1,,,"",""
ball,1,1.4,Rwanda,D Ndikubwimana,O Manishimwe,B Khumalo,4,0,,,,,,"",""
ball,1,1.5,Rwanda,D Ndikubwimana,O Manishimwe,B Khumalo,0,0,,,,,,"",""
ball,1,1.6,Rwanda,D Ndikubwimana,O Manishimwe,B Khumalo,4,0,,,,,,"",""
ball,1,2.1,Rwanda,O Manishimwe,D Ndikubwimana,B Kgosiemang,0,0,,,,,,"",""
ball,1,2.2,Rwanda,O Manishimwe,D Ndikubwimana,B Kgosiemang,1,0,,,,,,"",""
ball,1,2.3,Rwanda,D Ndikubwimana,O Manishimwe,B Kgosiemang,2,0,,,,,,"",""
ball,1,2.4,Rwanda,D Ndikubwimana,O Manishimwe,B Kgosiemang,1,0,,,,,,"",""
ball,1,2.5,Rwanda,O Manishimwe,D Ndikubwimana,B Kgosiemang,1,0,,,,,,"",""
ball,1,2.6,Rwanda,D Ndikubwimana,O Manishimwe,B Kgosiemang,6,0,,,,,,"",""
ball,1,3.1,Rwanda,O Manishimwe,D Ndikubwimana,B Khumalo,4,0,,,,,,"",""
ball,1,3.2,Rwanda,O Manishimwe,D Ndikubwimana,B Khumalo,4,0,,,,,,"",""
ball,1,3.3,Rwanda,O Manishimwe,D Ndikubwimana,B Khumalo,0,0,,,,,,"",""
