version,1.7.0
info,balls_per_over,6
info,team,Norway
info,team,Jersey
info,gender,male
info,season,2024
info,date,2024/07/14
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,Jersey
info,toss_decision,field
info,player_of_match,B Ward
info,umpire,Jonathan Kennedy
info,umpire,M Burns
info,reserve_umpire,M Jameson
info,match_referee,H Pack
info,winner,Jersey
info,winner_wickets,6
info,player,Norway,Raza Iqbal
info,player,Norway,Khizer Ahmed
info,player,Norway,Walid Ghauri
info,player,Norway,Mandeep Singh
info,player,Norway,Ali Saleem
info,player,Norway,Javed Maroofkhail
info,player,Norway,Wahidullah Sahak
info,player,Norway,Sher Sahak
info,player,Norway,Qamar Mushtaque
info,player,Norway,Vinay Ravi
info,player,Norway,AJ Parmar
info,player,Jersey,H Carlyon
info,player,Jersey,NA Greenwood
info,player,Jersey,AM Tribe
info,player,Jersey,JW Jenner
info,player,Jersey,ZM Tribe
info,player,Jersey,C Brennan
info,player,Jersey,B Ward
info,player,Jersey,J Sumerauer
info,player,Jersey,JE Dunford
info,player,Jersey,CW Perchard
info,player,Jersey,D Birrell
info,registry,people,AJ Parmar,94113d54
info,registry,people,AM Tribe,86f84b37
info,registry,people,Ali Saleem,661e8a03
info,registry,people,B Ward,9e0bd203
info,registry,people,C Brennan,80f9fd4f
info,registry,people,CW Perchard,9f998ed8
info,registry,people,D Birrell,aea11d1d
info,registry,people,H Carlyon,42bf1b7d
info,registry,people,H Pack,fed53c91
info,registry,people,J Sumerauer,0b581ed6
info,registry,people,JE Dunford,89a7dd4a
info,registry,people,JW Jenner,32a8161e
info,registry,people,Javed Maroofkhail,909d9fac
info,registry,people,Jonathan Kennedy,f7ad4494
info,registry,people,Khizer Ahmed,723ca856
info,registry,people,M Burns,b3bd0666
info,registry,people,M Jameson,bdf1ffe3
info,registry,people,Mandeep Singh,dc39e9ab
info,registry,people,NA Greenwood,7ca68967
info,registry,people,Qamar Mushtaque,fc362c5d
info,registry,people,Raza Iqbal,eee46f77
info,registry,people,Sher Sahak,8299b9a2
info,registry,people,Vinay Ravi,9c181b99
info,registry,people,Wahidullah Sahak,6913e38e
info,registry,people,Walid Ghauri,331e137f
info,registry,people,ZM Tribe,96fe3e9f
ball,1,0.1,Norway,Raza Iqbal,Khizer Ahmed,D Birrell,0,0,,,,,,"",""
ball,1,0.2,Norway,Raza Iqbal,Khizer Ahmed,D Birrell,0,0,,,,,,"",""
ball,1,0.3,Norway,Raza Iqbal,Khizer Ahmed,D Birrell,0,0,,,,,,"",""
ball,1,0.4,Norway,Raza Iqbal,Khizer Ahmed,D Birrell,6,0,,,,,,"",""
ball,1,0.5,Norway,Raza Iqbal,Khizer Ahmed,D Birrell,0,1,,1,,,,"",""
ball,1,0.6,Norway,Raza Iqbal,Khizer Ahmed,D Birrell,0,0,,,,,,"",""
ball,1,0.7,Norway,Raza Iqbal,Khizer Ahmed,D Birrell,0,0,,,,,,"",""
ball,1,1.1,Norway,Khizer Ahmed,Raza Iqbal,J Sumerauer,2,0,,,,,,"",""
ball,1,1.2,Norway,Khizer Ahmed,Raza Iqbal,J Sumerauer,0,0,,,,,,"",""
ball,1,1.3,Norway,Khizer Ahmed,Raza Iqbal,J Sumerauer,1,0,,,,,,"",""
ball,1,1.4,Norway,Raza Iqbal,Khizer Ahmed,J Sumerauer,0,0,,,,,,"",""
ball,1,1.5,Norway,Raza Iqbal,Khizer Ahmed,J Sumerauer,0,0,,,,,,caught,Raza Iqbal
ball,1,1.6,Norway,Walid Ghauri,Khizer Ahmed,J Sumerauer,0,0,,,,,,"",""
ball,1,2.1,Norway,Khizer Ahmed,Walid Ghauri,D Birrell,0,0,,,,,,"",""
ball,1,2.2,Norway,Khizer Ahmed,Walid Ghauri,D Birrell,1,0,,,,,,"",""
ball,1,2.3,Norway,Walid Ghauri,Khizer Ahmed,D Birrell,0,0,,,,,,"",""
ball,1,2.4,Norway,Walid Ghauri,Khizer Ahmed,D Birrell,4,0,,,,,,"",""
ball,1,2.5,Norway,Walid Ghauri,Khizer Ahmed,D Birrell,1,0,,,,,,"",""
ball,1,2.6,Norway,Khizer Ahmed,Walid Ghauri,D Birrell,4,0,,,,,,"",""
ball,1,3.1,Norway,Walid Ghauri,Khizer Ahmed,J Sumerauer,0,0,,,,,,"",""
ball,1,3.2,Norway,Walid Ghauri,Khizer Ahmed,J Sumerauer,1,0,,,,,,"",""
ball,1,3.3,Norway,Khizer Ahmed,Walid Ghauri,J Sumerauer,1,0,,,,,,"",""
ball,1,3.4,Norway,Walid Ghauri,Khizer Ahmed,J Sumerauer,0,1,,,,1,,"",""
ball,1,3.5,Norway,Khizer Ahmed,Walid Ghauri,J Sumerauer,1,0,,,,,,"",""
ball,1,3.6,Norway,Walid Ghauri,Khizer Ahmed,J Sumerauer,0,0,,,,,,"",""
ball,1,4.1,Norway,Khizer Ahmed,Walid Ghauri,NA Greenwood,4,0,,,,,,"",""
ball,1,4.2,Norway,Khizer Ahmed,Walid Ghauri,NA Greenwood,0,0,,,,,,"",""
ball,1,4.3,Norway,Khizer Ahmed,Walid Ghauri,NA Greenwood,1,0,,,,,,"",""
ball,1,4.4,Norway,Walid Ghauri,Khizer Ahmed,NA Greenwood,1,0,,,,,,"",""
ball,1,4.5,Norway,Khizer Ahmed,Walid Ghauri,NA Greenwood,0,1,,,,1,,"",""
ball,1,4.6,Norway,Walid Ghauri,Khizer Ahmed,NA Greenwood,0,0,,,,,,"",""
ball,1,5.1,Norway,Khizer Ahmed,Walid Ghauri,D Birrell,1,0,,,,,,"",""
ball,1,5.2,Norway,Walid Ghauri,Khizer Ahmed,D Birrell,0,0,,,,,,caught,Walid Ghauri
ball,1,5.3,Norway,Mandeep Singh,Khizer Ahmed,D Birrell,0,0,,,,,,"",""
ball,1,5.4,Norway,Mandeep Singh,Khizer Ahmed,D Birrell,1,0,,,,,,"",""
ball,1,5.5,Norway,Khizer Ahmed,Mandeep Singh,D Birrell,0,0,,,,,,"",""
ball,1,5.6,Norway,Khizer Ahmed,Mandeep Singh,D Birrell,0,0,,,,,,caught,Khizer Ahmed
ball,1,6.1,Norway,Mandeep Singh,Ali Saleem,B Ward,0,0,,,,,,"",""
ball,1,6.2,Norway,Mandeep Singh,Ali Saleem,B Ward,1,0,,,,,,"",""
ball,1,6.3,Norway,Ali Saleem,Mandeep Singh,B Ward,1,0,,,,,,"",""
ball,1,6.4,Norway,Mandeep Singh,Ali Saleem,B Ward,0,0,,,,,,"",""
ball,1,6.5,Norway,Mandeep Singh,Ali Saleem,B Ward,1,0,,,,,,"",""
ball,1,6.6,Norway,Ali Saleem,Mandeep Singh,B Ward,1,0,,,,,,"",""
ball,1,7.1,Norway,Ali Saleem,Mandeep Singh,CW Perchard,0,0,,,,,,"",""
ball,1,7.2,Norway,Ali Saleem,Mandeep Singh,CW Perchard,0,0,,,,,,caught,Ali Saleem
ball,1,7.3,Norway,Javed Maroofkhail,Mandeep Singh,CW Perchard,0,0,,,,,,"",""
ball,1,7.4,Norway,Javed Maroofkhail,Mandeep Singh,CW Perchard,0,0,,,,,,"",""
ball,1,7.5,Norway,Javed Maroofkhail,Mandeep Singh,CW Perchard,0,0,,,,,,"",""
ball,1,7.6,Norway,Javed Maroofkhail,Mandeep Singh,CW Perchard,0,0,,,,,,"",""
ball,1,8.1,Norway,Mandeep Singh,Javed Maroofkhail,B Ward,0,0,,,,,,"",""
ball,1,8.2,Norway,Mandeep Singh,Javed Maroofkhail,B Ward,0,0,,,,,,"",""
ball,1,8.3,Norway,Mandeep Singh,Javed Maroofkhail,B Ward,0,0,,,,,,caught,Mandeep Singh
ball,1,8.4,Norway,Wahidullah Sahak,Javed Maroofkhail,B Ward,0,0,,,,,,"",""
ball,1,8.5,Norway,Wahidullah Sahak,Javed Maroofkhail,B Ward,0,0,,,,,,caught,Wahidullah Sahak
ball,1,8.6,Norway,Sher Sahak,Javed Maroofkhail,B Ward,0,0,,,,,,"",""
ball,1,9.1,Norway,Javed Maroofkhail,Sher Sahak,CW Perchard,0,0,,,,,,"",""
