version,1.7.0
info,balls_per_over,6
info,team,Germany
info,team,Sweden
info,gender,male
info,season,2024
info,date,2024/07/09
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier
info,match_number,7
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,Germany
info,toss_decision,bat
info,player_of_match,H Singh
info,umpire,Jonathan Kennedy
info,umpire,N Bathi
info,reserve_umpire,DH Mclean
info,match_referee,H Pack
info,winner,Germany
info,winner_runs,2
info,player,Germany,B Kohler-Cadmore
info,player,Germany,V Ganesan
info,player,Germany,Musaddiq Ahmed
info,player,Germany,Faisal Mubashir
info,player,Germany,H Singh
info,player,Germany,Fayaz Khan
info,player,Germany,Muslim Yar
info,player,Germany,Sajid Liaqat
info,player,Germany,Sachin Mandy
info,player,Germany,Zahid Zadran
info,player,Germany,Ghulam Ahmadi
info,player,Sweden,A Mundra
info,player,Sweden,Imal Zuwak
info,player,Sweden,Abdur Rahman Sudais
info,player,Sweden,Choudry Share Ali
info,player,Sweden,SKR Mallidi
info,player,Sweden,Khalid Zahid
info,player,Sweden,Abdul Naser Baluch
info,player,Sweden,Saeed Ahmed
info,player,Sweden,Samiullah Rahmani
info,player,Sweden,Hamid Mahmood
info,player,Sweden,Zaker Taqawi
info,registry,people,A Mundra,30ffaf85
info,registry,people,Abdul Naser Baluch,6a88d66d
info,registry,people,Abdur Rahman Sudais,edaae5f4
info,registry,people,B Kohler-Cadmore,209e91e6
info,registry,people,Choudry Share Ali,5c037734
info,registry,people,DH Mclean,281d4749
info,registry,people,Faisal Mubashir,ad5342dc
info,registry,people,Fayaz Khan,373954ca
info,registry,people,Ghulam Ahmadi,2dfe0612
info,registry,people,H Pack,fed53c91
info,registry,people,H Singh,8209da53
info,registry,people,Hamid Mahmood,5332fc2f
info,registry,people,Imal Zuwak,1283e17b
info,registry,people,Jonathan Kennedy,f7ad4494
info,registry,people,Khalid Zahid,5c93efb1
info,registry,people,Muslim Yar,37d8d19a
info,registry,people,Musaddiq Ahmed,f8fb7e7b
info,registry,people,N Bathi,96a0edf9
info,registry,people,SKR Mallidi,74d82e24
info,registry,people,Sachin Mandy,501fca0d
info,registry,people,Saeed Ahmed,63d6e16e
info,registry,people,Sajid Liaqat,b1b99a1a
info,registry,people,Samiullah Rahmani,d5c38041
info,registry,people,V Ganesan,baa7dd37
info,registry,people,Zahid Zadran,a819f6c8
info,registry,people,Zaker Taqawi,d7074ddc
ball,1,0.1,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,4,0,,,,,,"",""
ball,1,0.2,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,0,0,,,,,,"",""
ball,1,0.3,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,0,0,,,,,,"",""
ball,1,0.4,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,0,0,,,,,,"",""
ball,1,0.5,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,0,0,,,,,,"",""
ball,1,0.6,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,0,0,,,,,,"",""
ball,1,1.1,Germany,V Ganesan,B Kohler-Cadmore,Khalid Zahid,0,1,,1,,,,"",""
ball,1,1.2,Germany,V Ganesan,B Kohler-Cadmore,Khalid Zahid,4,0,,,,,,"",""
ball,1,1.3,Germany,V Ganesan,B Kohler-Cadmore,Khalid Zahid,0,0,,,,,,"",""
ball,1,1.4,Germany,V Ganesan,B Kohler-Cadmore,Khalid Zahid,0,0,,,,,,"",""
ball,1,1.5,Germany,V Ganesan,B Kohler-Cadmore,Khalid Zahid,0,1,1,,,,,"",""
ball,1,1.6,Germany,V Ganesan,B Kohler-Cadmore,Khalid Zahid,0,0,,,,,,"",""
ball,1,1.7,Germany,V Ganesan,B Kohler-Cadmore,Khalid Zahid,2,0,,,,,,"",""
ball,1,1.8,Germany,V Ganesan,B Kohler-Cadmore,Khalid Zahid,0,0,,,,,,"",""
ball,1,2.1,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,6,0,,,,,,"",""
ball,1,2.2,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,1,0,,,,,,"",""
ball,1,2.3,Germany,V Ganesan,B Kohler-Cadmore,Abdul Naser Baluch,1,0,,,,,,"",""
ball,1,2.4,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,0,0,,,,,,"",""
ball,1,2.5,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,4,0,,,,,,"",""
ball,1,2.6,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,1,0,,,,,,"",""
ball,1,3.1,Germany,B Kohler-Cadmore,V Ganesan,Khalid Zahid,6,0,,,,,,"",""
ball,1,3.2,Germany,B Kohler-Cadmore,V Ganesan,Khalid Zahid,0,1,1,,,,,"",""
ball,1,3.3,Germany,B Kohler-Cadmore,V Ganesan,Khalid Zahid,1,0,,,,,,"",""
ball,1,3.4,Germany,V Ganesan,B Kohler-Cadmore,Khalid Zahid,0,0,,,,,,"",""
ball,1,3.5,Germany,V Ganesan,B Kohler-Cadmore,Khalid Zahid,4,0,,,,,,"",""
ball,1,3.6,Germany,V Ganesan,B Kohler-Cadmore,Khalid Zahid,0,0,,,,,,"",""
ball,1,3.7,Germany,V Ganesan,B Kohler-Cadmore,Khalid Zahid,4,0,,,,,,"",""
ball,1,4.1,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,0,0,,,,,,"",""
ball,1,4.2,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,4,0,,,,,,"",""
ball,1,4.3,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,0,0,,,,,,"",""
ball,1,4.4,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,4,0,,,,,,"",""
ball,1,4.5,Germany,B Kohler-Cadmore,V Ganesan,Abdul Naser Baluch,1,0,,,,,,"",""
ball,1,4.6,Germany,V Ganesan,B Kohler-Cadmore,Abdul Naser Baluch,1,0,,,,,,"",""
