version,1.7.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Namibia
info,gender,female
info,season,2023/24
info,date,2023/12/16
info,event,ICC Women's T20 World Cup Africa Region Qualifier
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Namibia
info,toss_decision,field
info,player_of_match,P Marange
info,umpire,LDVV Silva
info,umpire,Habib Enesi
info,reserve_umpire,Patric Makumbi
info,match_referee,O Chirombe
info,winner,Zimbabwe
info,winner_runs,86
info,player,Zimbabwe,M Musonda
info,player,Zimbabwe,M Mupachikwa
info,player,Zimbabwe,CS Mugeri-Tiripano
info,player,Zimbabwe,A Ndiraya
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,J Nkomo
info,player,Zimbabwe,CT Dhururu
info,player,Zimbabwe,N Gwanzura
info,player,Zimbabwe,L Tshuma
info,player,Zimbabwe,N Sibanda
info,player,Zimbabwe,P Marange
info,player,Namibia,SA Wittmann
info,player,Namibia,Yasmeen Khan
info,player,Namibia,JA Diergaardt
info,player,Namibia,M Gorases
info,player,Namibia,SN Shihepo
info,player,Namibia,E Van Zyl
info,player,Namibia,KA Green
info,player,Namibia,M Mwatile
info,player,Namibia,I van Zyl
info,player,Namibia,N Benjamin
info,player,Namibia,V Hamunyela
info,registry,people,A Ndiraya,c8e6bddd
info,registry,people,CS Mugeri-Tiripano,99c86133
info,registry,people,CT Dhururu,8d7fba79
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,I van Zyl,44c3cb6d
info,registry,people,J Nkomo,36dfa62e
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,K Ndlovu,8d25271a
info,registry,people,KA Green,fa9fdefa
info,registry,people,L Tshuma,f281dd00
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mupachikwa,6657b319
info,registry,people,M Musonda,94b52754
info,registry,people,M Mwatile,92b9e9af
info,registry,people,N Benjamin,58317766
info,registry,people,N Gwanzura,9c2e3040
info,registry,people,N Sibanda,edf62a25
info,registry,people,O Chirombe,6345307f
info,registry,people,P Marange,a4f1fdd4
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,V Hamunyela,d758a366
info,registry,people,Yasmeen Khan,ade5c0c0
ball,1,0.1,Zimbabwe,M Musonda,M Mupachikwa,I van Zyl,0,0,,,,,,"",""
ball,1,0.2,Zimbabwe,M Musonda,M Mupachikwa,I van Zyl,0,1,1,,,,,"",""
ball,1,0.3,Zimbabwe,M Musonda,M Mupachikwa,I van Zyl,4,0,,,,,,"",""
ball,1,0.4,Zimbabwe,M Musonda,M Mupachikwa,I van Zyl,1,0,,,,,,"",""
ball,1,0.5,Zimbabwe,M Mupachikwa,M Musonda,I van Zyl,0,0,,,,,,"",""
ball,1,0.6,Zimbabwe,M Mupachikwa,M Musonda,I van Zyl,1,0,,,,,,"",""
ball,1,0.7,Zimbabwe,M Musonda,M Mupachikwa,I van Zyl,0,0,,,,,,"",""
ball,1,1.1,Zimbabwe,M Mupachikwa,M Musonda,KA Green,1,0,,,,,,"",""
ball,1,1.2,Zimbabwe,M Musonda,M Mupachikwa,KA Green,1,0,,,,,,"",""
ball,1,1.3,Zimbabwe,M Mupachikwa,M Musonda,KA Green,0,0,,,,,,"",""
ball,1,1.4,Zimbabwe,M Mupachikwa,M Musonda,KA Green,0,0,,,,,,"",""
ball,1,1.5,Zimbabwe,M Mupachikwa,M Musonda,KA Green,0,0,,,,,,"",""
ball,1,1.6,Zimbabwe,M Mupachikwa,M Musonda,KA Green,0,0,,,,,,"",""
ball,1,2.1,Zimbabwe,M Musonda,M Mupachikwa,N Benjamin,4,0,,,,,,"",""
ball,1,2.2,Zimbabwe,M Musonda,M Mupachikwa,N Benjamin,4,0,,,,,,"",""
ball,1,2.3,Zimbabwe,M Musonda,M Mupachikwa,N Benjamin,0,0,,,,,,"",""
ball,1,2.4,Zimbabwe,M Musonda,M Mupachikwa,N Benjamin,0,0,,,,,,"",""
ball,1,2.5,Zimbabwe,M Musonda,M Mupachikwa,N Benjamin,1,0,,,,,,"",""
ball,1,2.6,Zimbabwe,M Mupachikwa,M Musonda,N Benjamin,2,0,,,,,,"",""
ball,1,3.1,Zimbabwe,M Musonda,M Mupachikwa,KA Green,0,5,5,,,,,"",""
ball,1,3.2,Zimbabwe,M Musonda,M Mupachikwa,KA Green,4,0,,,,,,"",""
ball,1,3.3,Zimbabwe,M Musonda,M Mupachikwa,KA Green,0,0,,,,,,"",""
ball,1,3.4,Zimbabwe,M Musonda,M Mupachikwa,KA Green,0,0,,,,,,"",""
ball,1,3.5,Zimbabwe,M Musonda,M Mupachikwa,KA Green,1,0,,,,,,"",""
ball,1,3.6,Zimbabwe,M Mupachikwa,M Musonda,KA Green,0,0,,,,,,"",""
ball,1,3.7,Zimbabwe,M Mupachikwa,M Musonda,KA Green,4,0,,,,,,"",""
ball,1,4.1,Zimbabwe,M Musonda,M Mupachikwa,V Hamunyela,1,0,,,,,,"",""
ball,1,4.2,Zimbabwe,M Mupachikwa,M Musonda,V Hamunyela,0,0,,,,,,"",""
ball,1,4.3,Zimbabwe,M Mupachikwa,M Musonda,V Hamunyela,1,0,,,,,,"",""
ball,1,4.4,Zimbabwe,M Musonda,M Mupachikwa,V Hamunyela,1,0,,,,,,"",""
ball,1,4.5,Zimbabwe,M Mupachikwa,M Musonda,V Hamunyela,2,0,,,,,,"",""
ball,1,4.6,Zimbabwe,M Mupachikwa,M Musonda,V Hamunyela,1,0,,,,,,"",""
ball,1,5.1,Zimbabwe,M Mupachikwa,M Musonda,KA Green,0,0,,,,,,"",""
ball,1,5.2,Zimbabwe,M Mupachikwa,M Musonda,KA Green,1,0,,,,,,"",""
ball,1,5.3,Zimbabwe,M Musonda,M Mupachikwa,KA Green,0,0,,,,,,"",""
ball,1,5.4,Zimbabwe,M Musonda,M Mupachikwa,KA Green,0,0,,,,,,lbw,M Musonda
ball,1,5.5,Zimbabwe,CS Mugeri-Tiripano,M Mupachikwa,KA Green,0,0,,,,,,"",""
ball,1,5.6,Zimbabwe,CS Mugeri-Tiripano,M Mupachikwa,KA Green,0,1,1,,,,,"",""
ball,1,5.7,Zimbabwe,CS Mugeri-Tiripano,M Mupachikwa,KA Green,0,0,,,,,,"",""
ball,1,6.1,Zimbabwe,M Mupachikwa,CS Mugeri-Tiripano,V Hamunyela,1,0,,,,,,"",""
ball,1,6.2,Zimbabwe,CS Mugeri-Tiripano,M Mupachikwa,V Hamunyela,2,0,,,,,,"",""
