version,1.7.0
info,balls_per_over,6
info,team,Pakistan
info,team,New Zealand
info,gender,male
info,season,2024/25
info,date,2025/03/26
info,event,Pakistan tour of New Zealand
info,match_number,5
info,venue,"Sky Stadium, Wellington"
info,city,Wellington
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,JDS Neesham
info,umpire,SB Haig
info,umpire,WR Knights
info,reserve_umpire,CM Brown
info,tv_umpire,C Black
info,match_referee,JJ Crowe
info,winner,New Zealand
info,winner_wickets,8
info,player,Pakistan,Mohammad Haris
info,player,Pakistan,Hassan Nawaz
info,player,Pakistan,Omair Yousuf
info,player,Pakistan,Agha Salman
info,player,Pakistan,Usman Khan
info,player,Pakistan,Abdul Samad
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Jahandad Khan
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Sufiyan Muqeem
info,player,Pakistan,Mohammad Ali
info,player,New Zealand,TL Seifert
info,player,New Zealand,FH Allen
info,player,New Zealand,MS Chapman
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,JDS Neesham
info,player,New Zealand,MJ Hay
info,player,New Zealand,MG Bracewell
info,player,New Zealand,IS Sodhi
info,player,New Zealand,JA Duffy
info,player,New Zealand,BV Sears
info,player,New Zealand,W O'Rourke
info,registry,people,Abdul Samad,8e554b6b
info,registry,people,Agha Salman,89c16049
info,registry,people,BV Sears,e1891e00
info,registry,people,C Black,75b42f71
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,FH Allen,bf74b130
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Hassan Nawaz,26a8b2fe
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JA Duffy,dadbdb68
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JJ Crowe,2e760301
info,registry,people,Jahandad Khan,22d73540
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MJ Hay,732f711b
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mohammad Ali,a86a37ab
info,registry,people,Mohammad Haris,ff3f6fc1
info,registry,people,Omair Yousuf,f8e3c0f8
info,registry,people,SB Haig,811655b3
info,registry,people,Shadab Khan,9de62878
info,registry,people,Sufiyan Muqeem,4277234d
info,registry,people,TL Seifert,4663bd23
info,registry,people,Usman Khan,bafb9238
info,registry,people,W O'Rourke,cb9b8664
info,registry,people,WR Knights,63cbf8d8
ball,1,0.1,Pakistan,Mohammad Haris,Hassan Nawaz,W O'Rourke,0,1,1,,,,,"",""
ball,1,0.2,Pakistan,Mohammad Haris,Hassan Nawaz,W O'Rourke,0,1,1,,,,,"",""
ball,1,0.3,Pakistan,Mohammad Haris,Hassan Nawaz,W O'Rourke,2,0,,,,,,"",""
ball,1,0.4,Pakistan,Mohammad Haris,Hassan Nawaz,W O'Rourke,0,0,,,,,,"",""
ball,1,0.5,Pakistan,Mohammad Haris,Hassan Nawaz,W O'Rourke,0,0,,,,,,"",""
ball,1,0.6,Pakistan,Mohammad Haris,Hassan Nawaz,W O'Rourke,0,0,,,,,,"",""
ball,1,0.7,Pakistan,Mohammad Haris,Hassan Nawaz,W O'Rourke,0,0,,,,,,"",""
ball,1,0.8,Pakistan,Mohammad Haris,Hassan Nawaz,W O'Rourke,0,0,,,,,,"",""
ball,1,1.1,Pakistan,Hassan Nawaz,Mohammad Haris,JA Duffy,0,0,,,,,,"",""
ball,1,1.2,Pakistan,Hassan Nawaz,Mohammad Haris,JA Duffy,0,1,1,,,,,"",""
ball,1,1.3,Pakistan,Hassan Nawaz,Mohammad Haris,JA Duffy,0,0,,,,,,"",""
ball,1,1.4,Pakistan,Hassan Nawaz,Mohammad Haris,JA Duffy,0,0,,,,,,caught,Hassan Nawaz
ball,1,1.5,Pakistan,Omair Yousuf,Mohammad Haris,JA Duffy,0,0,,,,,,"",""
ball,1,1.6,Pakistan,Omair Yousuf,Mohammad Haris,JA Duffy,2,0,,,,,,"",""
ball,1,1.7,Pakistan,Omair Yousuf,Mohammad Haris,JA Duffy,1,0,,,,,,"",""
ball,1,2.1,Pakistan,Omair Yousuf,Mohammad Haris,W O'Rourke,0,0,,,,,,"",""
ball,1,2.2,Pakistan,Omair Yousuf,Mohammad Haris,W O'Rourke,0,0,,,,,,"",""
ball,1,2.3,Pakistan,Omair Yousuf,Mohammad Haris,W O'Rourke,0,1,1,,,,,"",""
ball,1,2.4,Pakistan,Omair Yousuf,Mohammad Haris,W O'Rourke,0,0,,,,,,"",""
ball,1,2.5,Pakistan,Omair Yousuf,Mohammad Haris,W O'Rourke,1,0,,,,,,"",""
ball,1,2.6,Pakistan,Mohammad Haris,Omair Yousuf,W O'Rourke,4,0,,,,,,"",""
ball,1,2.7,Pakistan,Mohammad Haris,Omair Yousuf,W O'Rourke,0,0,,,,,,"",""
ball,1,3.1,Pakistan,Omair Yousuf,Mohammad Haris,JA Duffy,1,0,,,,,,"",""
ball,1,3.2,Pakistan,Mohammad Haris,Omair Yousuf,JA Duffy,0,0,,,,,,"",""
ball,1,3.3,Pakistan,Mohammad Haris,Omair Yousuf,JA Duffy,0,0,,,,,,"",""
ball,1,3.4,Pakistan,Mohammad Haris,Omair Yousuf,JA Duffy,4,0,,,,,,"",""
ball,1,3.5,Pakistan,Mohammad Haris,Omair Yousuf,JA Duffy,0,0,,,,,,"",""
