version,1.7.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Kuwait
info,gender,male
info,season,2022/23
info,date,2023/03/09
info,event,Quadrangular Twenty20 Series (Hong Kong)
info,match_number,4
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,Kuwait
info,toss_decision,field
info,player_of_match,Haroon Arshad
info,umpire,SJ D'Cruz
info,umpire,Tabarak Dar
info,reserve_umpire,S Vachha
info,match_referee,N Hemlani
info,winner,Hong Kong
info,winner_runs,11
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,KD Shah
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,A Gorawara
info,player,Hong Kong,Haroon Arshad
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Raag Kapur
info,player,Hong Kong,Mohammad Ghazanfar
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,Adnan Idrees
info,player,Kuwait,Usman Patel
info,player,Kuwait,Ali Zaheer
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Shiraz Khan
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Sayed Monib
info,player,Kuwait,Mohamed Shafeeq
info,player,Kuwait,Shahrukh Quddus
info,registry,people,A Gorawara,c6b11959
info,registry,people,Adnan Idrees,0e34c23a
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Ali Zaheer,04ed04d2
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Haroon Arshad,be0f9ce9
info,registry,people,KD Shah,d5ae21a2
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mohamed Shafeeq,ff13b10c
info,registry,people,Mohammad Ghazanfar,00321fff
info,registry,people,N Hemlani,bcc5904a
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Raag Kapur,296358c9
info,registry,people,S Vachha,4d156994
info,registry,people,SJ D'Cruz,ed62962b
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Shahrukh Quddus,a80cc0cc
info,registry,people,Shiraz Khan,f310704c
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Usman Patel,415c6ccf
info,registry,people,Yasim Murtaza,c9d05f1a
ball,1,0.1,Hong Kong,Nizakat Khan,Anshuman Rath,Shahrukh Quddus,0,0,,,,,,"",""
ball,1,0.2,Hong Kong,Nizakat Khan,Anshuman Rath,Shahrukh Quddus,1,0,,,,,,"",""
ball,1,0.3,Hong Kong,Anshuman Rath,Nizakat Khan,Shahrukh Quddus,0,1,1,,,,,"",""
ball,1,0.4,Hong Kong,Anshuman Rath,Nizakat Khan,Shahrukh Quddus,0,0,,,,,,"",""
ball,1,0.5,Hong Kong,Anshuman Rath,Nizakat Khan,Shahrukh Quddus,2,0,,,,,,"",""
ball,1,0.6,Hong Kong,Anshuman Rath,Nizakat Khan,Shahrukh Quddus,4,0,,,,,,"",""
ball,1,0.7,Hong Kong,Anshuman Rath,Nizakat Khan,Shahrukh Quddus,0,4,,,,4,,"",""
ball,1,1.1,Hong Kong,Nizakat Khan,Anshuman Rath,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,1.2,Hong Kong,Anshuman Rath,Nizakat Khan,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,1.3,Hong Kong,Nizakat Khan,Anshuman Rath,Mohamed Shafeeq,4,0,,,,,,"",""
ball,1,1.4,Hong Kong,Nizakat Khan,Anshuman Rath,Mohamed Shafeeq,4,0,,,,,,"",""
ball,1,1.5,Hong Kong,Nizakat Khan,Anshuman Rath,Mohamed Shafeeq,4,0,,,,,,"",""
ball,1,1.6,Hong Kong,Nizakat Khan,Anshuman Rath,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.1,Hong Kong,Anshuman Rath,Nizakat Khan,Shahrukh Quddus,0,1,1,,,,,"",""
ball,1,2.2,Hong Kong,Anshuman Rath,Nizakat Khan,Shahrukh Quddus,0,0,,,,,,"",""
ball,1,2.3,Hong Kong,Anshuman Rath,Nizakat Khan,Shahrukh Quddus,1,0,,,,,,"",""
ball,1,2.4,Hong Kong,Nizakat Khan,Anshuman Rath,Shahrukh Quddus,6,0,,,,,,"",""
ball,1,2.5,Hong Kong,Nizakat Khan,Anshuman Rath,Shahrukh Quddus,0,0,,,,,,caught,Nizakat Khan
ball,1,2.6,Hong Kong,Babar Hayat,Anshuman Rath,Shahrukh Quddus,1,0,,,,,,"",""
ball,1,2.7,Hong Kong,Anshuman Rath,Babar Hayat,Shahrukh Quddus,4,0,,,,,,"",""
ball,1,3.1,Hong Kong,Babar Hayat,Anshuman Rath,Sayed Monib,0,0,,,,,,"",""
