version,1.7.0
info,balls_per_over,6
info,team,India
info,team,Sri Lanka
info,gender,male
info,season,2022/23
info,date,2023/01/03
info,event,Sri Lanka tour of India
info,match_number,1
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,DJ Hooda
info,umpire,AK Chaudhary
info,umpire,KN Ananthapadmanabhan
info,reserve_umpire,R Pandit
info,tv_umpire,J Madanagopal
info,match_referee,J Srinath
info,winner,India
info,winner_runs,2
info,player,India,Ishan Kishan
info,player,India,Shubman Gill
info,player,India,SA Yadav
info,player,India,SV Samson
info,player,India,HH Pandya
info,player,India,DJ Hooda
info,player,India,AR Patel
info,player,India,HV Patel
info,player,India,Shivam Mavi
info,player,India,Umran Malik
info,player,India,YS Chahal
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,PBB Rajapaksa
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,C Karunaratne
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,CAK Rajitha
info,player,Sri Lanka,D Madushanka
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,AR Patel,2e171977
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,C Karunaratne,fb3e0d39
info,registry,people,CAK Rajitha,8012d0b8
info,registry,people,D Madushanka,de7d833e
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,DM de Silva,7d608e12
info,registry,people,HH Pandya,dbe50b21
info,registry,people,HV Patel,f986ca1a
info,registry,people,Ishan Kishan,752f7486
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Srinath,bad31fac
info,registry,people,KIC Asalanka,732c038e
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,M Theekshana,f24c6701
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,P Nissanka,8ee36b18
info,registry,people,PBB Rajapaksa,6c882e9a
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,R Pandit,8a604384
info,registry,people,SA Yadav,271f83cd
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Shivam Mavi,c38d3503
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Umran Malik,81c08fa3
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,India,Ishan Kishan,Shubman Gill,CAK Rajitha,2,0,,,,,,"",""
ball,1,0.2,India,Ishan Kishan,Shubman Gill,CAK Rajitha,0,0,,,,,,"",""
ball,1,0.3,India,Ishan Kishan,Shubman Gill,CAK Rajitha,6,0,,,,,,"",""
ball,1,0.4,India,Ishan Kishan,Shubman Gill,CAK Rajitha,0,1,1,,,,,"",""
ball,1,0.5,India,Ishan Kishan,Shubman Gill,CAK Rajitha,0,0,,,,,,"",""
ball,1,0.6,India,Ishan Kishan,Shubman Gill,CAK Rajitha,4,0,,,,,,"",""
ball,1,0.7,India,Ishan Kishan,Shubman Gill,CAK Rajitha,4,0,,,,,,"",""
ball,1,1.1,India,Shubman Gill,Ishan Kishan,D Madushanka,0,1,1,,,,,"",""
ball,1,1.2,India,Shubman Gill,Ishan Kishan,D Madushanka,4,0,,,,,,"",""
ball,1,1.3,India,Shubman Gill,Ishan Kishan,D Madushanka,0,0,,,,,,"",""
ball,1,1.4,India,Shubman Gill,Ishan Kishan,D Madushanka,2,0,,,,,,"",""
ball,1,1.5,India,Shubman Gill,Ishan Kishan,D Madushanka,1,0,,,,,,"",""
ball,1,1.6,India,Ishan Kishan,Shubman Gill,D Madushanka,0,0,,,,,,"",""
ball,1,1.7,India,Ishan Kishan,Shubman Gill,D Madushanka,1,0,,,,,,"",""
ball,1,2.1,India,Ishan Kishan,Shubman Gill,M Theekshana,0,0,,,,,,"",""
ball,1,2.2,India,Ishan Kishan,Shubman Gill,M Theekshana,1,0,,,,,,"",""
ball,1,2.3,India,Shubman Gill,Ishan Kishan,M Theekshana,0,0,,,,,,lbw,Shubman Gill
ball,1,2.4,India,SA Yadav,Ishan Kishan,M Theekshana,1,0,,,,,,"",""
ball,1,2.5,India,Ishan Kishan,SA Yadav,M Theekshana,0,0,,,,,,"",""
ball,1,2.6,India,Ishan Kishan,SA Yadav,M Theekshana,1,0,,,,,,"",""
ball,1,3.1,India,Ishan Kishan,SA Yadav,D Madushanka,1,0,,,,,,"",""
ball,1,3.2,India,SA Yadav,Ishan Kishan,D Madushanka,0,0,,,,,,"",""
ball,1,3.3,India,SA Yadav,Ishan Kishan,D Madushanka,0,0,,,,,,"",""
ball,1,3.4,India,SA Yadav,Ishan Kishan,D Madushanka,4,0,,,,,,"",""
ball,1,3.5,India,SA Yadav,Ishan Kishan,D Madushanka,0,0,,,,,,"",""
ball,1,3.6,India,SA Yadav,Ishan Kishan,D Madushanka,0,0,,,,,,"",""
ball,1,4.1,India,Ishan Kishan,SA Yadav,M Theekshana,1,0,,,,,,"",""
ball,1,4.2,India,SA Yadav,Ishan Kishan,M Theekshana,0,0,,,,,,"",""
ball,1,4.3,India,SA Yadav,Ishan Kishan,M Theekshana,1,0,,,,,,"",""
ball,1,4.4,India,Ishan Kishan,SA Yadav,M Theekshana,1,0,,,,,,"",""
ball,1,4.5,India,SA Yadav,Ishan Kishan,M Theekshana,1,0,,,,,,"",""
ball,1,4.6,India,Ishan Kishan,SA Yadav,M Theekshana,0,0,,,,,,"",""
ball,1,5.1,India,SA Yadav,Ishan Kishan,C Karunaratne,0,0,,,,,,caught,SA Yadav
ball,1,5.2,India,SV Samson,Ishan Kishan,C Karunaratne,0,1,1,,,,,"",""
ball,1,5.3,India,SV Samson,Ishan Kishan,C Karunaratne,0,0,,,,,,"",""
ball,1,5.4,India,SV Samson,Ishan Kishan,C Karunaratne,0,0,,,,,,"",""
ball,1,5.5,India,SV Samson,Ishan Kishan,C Karunaratne,1,0,,,,,,"",""
ball,1,5.6,India,Ishan Kishan,SV Samson,C Karunaratne,0,0,,,,,,"",""
ball,1,5.7,India,Ishan Kishan,SV Samson,C Karunaratne,1,0,,,,,,"",""
ball,1,6.1,India,Ishan Kishan,SV Samson,DM de Silva,0,0,,,,,,"",""
ball,1,6.2,India,Ishan Kishan,SV Samson,DM de Silva,1,0,,,,,,"",""
ball,1,6.3,India,SV Samson,Ishan Kishan,DM de Silva,2,0,,,,,,"",""
ball,1,6.4,India,SV Samson,Ishan Kishan,DM de Silva,2,0,,,,,,"",""
ball,1,6.5,India,SV Samson,Ishan Kishan,DM de Silva,0,0,,,,,,caught,SV Samson
ball,1,6.6,India,HH Pandya,Ishan Kishan,DM de Silva,1,0,,,,,,"",""
ball,1,7.1,India,HH Pandya,Ishan Kishan,C Karunaratne,4,0,,,,,,"",""
ball,1,7.2,India,HH Pandya,Ishan Kishan,C Karunaratne,4,0,,,,,,"",""
ball,1,7.3,India,HH Pandya,Ishan Kishan,C Karunaratne,0,0,,,,,,"",""
ball,1,7.4,India,HH Pandya,Ishan Kishan,C Karunaratne,2,0,,,,,,"",""
ball,1,7.5,India,HH Pandya,Ishan Kishan,C Karunaratne,1,0,,,,,,"",""
ball,1,7.6,India,Ishan Kishan,HH Pandya,C Karunaratne,0,0,,,,,,"",""
ball,1,8.1,India,HH Pandya,Ishan Kishan,PWH de Silva,4,0,,,,,,"",""
ball,1,8.2,India,HH Pandya,Ishan Kishan,PWH de Silva,0,0,,,,,,"",""
ball,1,8.3,India,HH Pandya,Ishan Kishan,PWH de Silva,1,0,,,,,,"",""
ball,1,8.4,India,Ishan Kishan,HH Pandya,PWH de Silva,1,0,,,,,,"",""
ball,1,8.5,India,HH Pandya,Ishan Kishan,PWH de Silva,0,0,,,,,,"",""
ball,1,8.6,India,HH Pandya,Ishan Kishan,PWH de Silva,0,0,,,,,,"",""
ball,1,9.1,India,Ishan Kishan,HH Pandya,CAK Rajitha,6,0,,,,,,"",""
ball,1,9.2,India,Ishan Kishan,HH Pandya,CAK Rajitha,4,0,,,,,,"",""
