version,1.7.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Nepal
info,gender,male
info,season,2024
info,date,2024/04/15
info,event,ACC Men's Premier Cup
info,match_number,11
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,A Bohara
info,umpire,Abdul Jabbar
info,umpire,V Kalidas
info,reserve_umpire,Vinod Babu
info,tv_umpire,N D'Souza
info,match_referee,Hamim Khan
info,winner,Nepal
info,winner_wickets,8
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,A Shukla
info,player,Hong Kong,Dhananjay Rao
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,RK Paudel
info,player,Nepal,S Jora
info,player,Nepal,Kushal Malla
info,player,Nepal,DS Airee
info,player,Nepal,Gulsan Jha
info,player,Nepal,Karan KC
info,player,Nepal,Sompal Kami
info,player,Nepal,A Bohara
info,player,Nepal,LN Rajbanshi
info,registry,people,A Bohara,64fb6b15
info,registry,people,A Shukla,a1e80d06
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Abdul Jabbar,3f4b9ae5
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,DS Airee,1747ea18
info,registry,people,Dhananjay Rao,6a11facf
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,Hamim Khan,f82540a3
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,LN Rajbanshi,6ad2d5f7
info,registry,people,M Coetzee,3f149080
info,registry,people,N D'Souza,4b7f60af
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,RK Paudel,1a3cc554
info,registry,people,S Jora,156378d8
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,V Kalidas,42d76418
info,registry,people,Vinod Babu,37e6187d
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zeeshan Ali,987187b9
ball,1,0.1,Hong Kong,M Coetzee,Anshuman Rath,Karan KC,1,0,,,,,,"",""
ball,1,0.2,Hong Kong,Anshuman Rath,M Coetzee,Karan KC,0,0,,,,,,"",""
ball,1,0.3,Hong Kong,Anshuman Rath,M Coetzee,Karan KC,4,0,,,,,,"",""
ball,1,0.4,Hong Kong,Anshuman Rath,M Coetzee,Karan KC,0,0,,,,,,"",""
ball,1,0.5,Hong Kong,Anshuman Rath,M Coetzee,Karan KC,0,0,,,,,,"",""
ball,1,0.6,Hong Kong,Anshuman Rath,M Coetzee,Karan KC,0,0,,,,,,"",""
ball,1,1.1,Hong Kong,M Coetzee,Anshuman Rath,Sompal Kami,4,0,,,,,,"",""
ball,1,1.2,Hong Kong,M Coetzee,Anshuman Rath,Sompal Kami,0,0,,,,,,"",""
ball,1,1.3,Hong Kong,M Coetzee,Anshuman Rath,Sompal Kami,2,0,,,,,,"",""
ball,1,1.4,Hong Kong,M Coetzee,Anshuman Rath,Sompal Kami,0,0,,,,,,"",""
ball,1,1.5,Hong Kong,M Coetzee,Anshuman Rath,Sompal Kami,1,0,,,,,,"",""
ball,1,1.6,Hong Kong,Anshuman Rath,M Coetzee,Sompal Kami,0,0,,,,,,"",""
ball,1,2.1,Hong Kong,M Coetzee,Anshuman Rath,Karan KC,0,0,,,,,,caught,M Coetzee
ball,1,2.2,Hong Kong,Nizakat Khan,Anshuman Rath,Karan KC,4,0,,,,,,"",""
ball,1,2.3,Hong Kong,Nizakat Khan,Anshuman Rath,Karan KC,0,0,,,,,,"",""
ball,1,2.4,Hong Kong,Nizakat Khan,Anshuman Rath,Karan KC,1,0,,,,,,"",""
ball,1,2.5,Hong Kong,Anshuman Rath,Nizakat Khan,Karan KC,4,0,,,,,,"",""
ball,1,2.6,Hong Kong,Anshuman Rath,Nizakat Khan,Karan KC,0,0,,,,,,"",""
ball,1,3.1,Hong Kong,Nizakat Khan,Anshuman Rath,Sompal Kami,2,0,,,,,,"",""
ball,1,3.2,Hong Kong,Nizakat Khan,Anshuman Rath,Sompal Kami,0,1,,,,1,,"",""
ball,1,3.3,Hong Kong,Anshuman Rath,Nizakat Khan,Sompal Kami,0,0,,,,,,"",""
ball,1,3.4,Hong Kong,Anshuman Rath,Nizakat Khan,Sompal Kami,0,1,,,,1,,"",""
ball,1,3.5,Hong Kong,Nizakat Khan,Anshuman Rath,Sompal Kami,1,0,,,,,,"",""
