version,1.7.0
info,balls_per_over,6
info,team,Vanuatu
info,team,Kuwait
info,gender,male
info,season,2023/24
info,date,2024/03/07
info,event,Malaysia Open T20 Championship
info,match_number,6
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Kuwait
info,toss_decision,field
info,player_of_match,Mohamed Shafeeq
info,umpire,N Sivan
info,umpire,Nasir Ali
info,reserve_umpire,Sarika Prasad
info,tv_umpire,Tabarak Dar
info,match_referee,Ramesh Menon
info,winner,Kuwait
info,winner_wickets,8
info,player,Vanuatu,N Nipiko
info,player,Vanuatu,JD Allan
info,player,Vanuatu,PK Matautaava
info,player,Vanuatu,J Rasu
info,player,Vanuatu,JP Kaltapau
info,player,Vanuatu,R Tari
info,player,Vanuatu,W Wotu
info,player,Vanuatu,J Vira
info,player,Vanuatu,W Nalisa
info,player,Vanuatu,AL Stephen
info,player,Vanuatu,TL Cutler
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,CV Anto
info,player,Kuwait,Usman Patel
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Shiraz Khan
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Mohamed Shafeeq
info,player,Kuwait,Parvindar Kumar
info,player,Kuwait,Nimish Lathief
info,player,Kuwait,Sayed Monib
info,registry,people,AL Stephen,49f6d023
info,registry,people,CV Anto,c01ca5af
info,registry,people,J Rasu,1021b6e5
info,registry,people,J Vira,2090e94d
info,registry,people,JD Allan,3758028b
info,registry,people,JP Kaltapau,d8dccff5
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mohamed Shafeeq,ff13b10c
info,registry,people,N Nipiko,c498c510
info,registry,people,N Sivan,8f4a0102
info,registry,people,Nasir Ali,567675c8
info,registry,people,Nimish Lathief,b561e8ea
info,registry,people,PK Matautaava,af19aa66
info,registry,people,Parvindar Kumar,7a27bee5
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,R Tari,c4d19735
info,registry,people,Ramesh Menon,4ed80d22
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Shiraz Khan,f310704c
info,registry,people,TL Cutler,384fa385
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Usman Patel,415c6ccf
info,registry,people,W Nalisa,673be48f
info,registry,people,W Wotu,6b25ef46
info,registry,people,Yasin Patel,ecdd8d60
ball,1,0.1,Vanuatu,N Nipiko,JD Allan,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,0.2,Vanuatu,JD Allan,N Nipiko,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,0.3,Vanuatu,JD Allan,N Nipiko,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,0.4,Vanuatu,JD Allan,N Nipiko,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,0.5,Vanuatu,N Nipiko,JD Allan,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,0.6,Vanuatu,JD Allan,N Nipiko,Mohamed Shafeeq,0,1,1,,,,,"",""
ball,1,0.7,Vanuatu,JD Allan,N Nipiko,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,1.1,Vanuatu,N Nipiko,JD Allan,Yasin Patel,0,0,,,,,,"",""
ball,1,1.2,Vanuatu,N Nipiko,JD Allan,Yasin Patel,0,0,,,,,,"",""
ball,1,1.3,Vanuatu,N Nipiko,JD Allan,Yasin Patel,1,0,,,,,,"",""
ball,1,1.4,Vanuatu,JD Allan,N Nipiko,Yasin Patel,0,0,,,,,,"",""
ball,1,1.5,Vanuatu,JD Allan,N Nipiko,Yasin Patel,0,0,,,,,,"",""
ball,1,1.6,Vanuatu,JD Allan,N Nipiko,Yasin Patel,0,0,,,,,,"",""
ball,1,2.1,Vanuatu,N Nipiko,JD Allan,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.2,Vanuatu,N Nipiko,JD Allan,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.3,Vanuatu,N Nipiko,JD Allan,Mohamed Shafeeq,0,0,,,,,,caught,N Nipiko
ball,1,2.4,Vanuatu,PK Matautaava,JD Allan,Mohamed Shafeeq,0,1,,,,1,,"",""
ball,1,2.5,Vanuatu,JD Allan,PK Matautaava,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.6,Vanuatu,JD Allan,PK Matautaava,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,3.1,Vanuatu,PK Matautaava,JD Allan,Yasin Patel,0,0,,,,,,"",""
ball,1,3.2,Vanuatu,PK Matautaava,JD Allan,Yasin Patel,1,0,,,,,,"",""
ball,1,3.3,Vanuatu,JD Allan,PK Matautaava,Yasin Patel,4,0,,,,,,"",""
ball,1,3.4,Vanuatu,JD Allan,PK Matautaava,Yasin Patel,0,0,,,,,,"",""
ball,1,3.5,Vanuatu,JD Allan,PK Matautaava,Yasin Patel,6,0,,,,,,"",""
ball,1,3.6,Vanuatu,JD Allan,PK Matautaava,Yasin Patel,1,0,,,,,,"",""
ball,1,4.1,Vanuatu,JD Allan,PK Matautaava,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,4.2,Vanuatu,PK Matautaava,JD Allan,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,4.3,Vanuatu,PK Matautaava,JD Allan,Mohamed Shafeeq,4,0,,,,,,"",""
ball,1,4.4,Vanuatu,PK Matautaava,JD Allan,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,4.5,Vanuatu,PK Matautaava,JD Allan,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,4.6,Vanuatu,PK Matautaava,JD Allan,Mohamed Shafeeq,0,0,,,,,,caught,PK Matautaava
ball,1,5.1,Vanuatu,JD Allan,J Rasu,Parvindar Kumar,1,0,,,,,,"",""
ball,1,5.2,Vanuatu,J Rasu,JD Allan,Parvindar Kumar,0,0,,,,,,"",""
ball,1,5.3,Vanuatu,J Rasu,JD Allan,Parvindar Kumar,0,0,,,,,,"",""
ball,1,5.4,Vanuatu,J Rasu,JD Allan,Parvindar Kumar,1,0,,,,,,"",""
ball,1,5.5,Vanuatu,JD Allan,J Rasu,Parvindar Kumar,0,0,,,,,,"",""
ball,1,5.6,Vanuatu,JD Allan,J Rasu,Parvindar Kumar,1,0,,,,,,"",""
ball,1,6.1,Vanuatu,JD Allan,J Rasu,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,6.2,Vanuatu,JD Allan,J Rasu,Mohamed Shafeeq,1,0,,,,,,"",""
